 	ongondo	s'	est	réveillé	</S>
a66	0.436468	0.269109	0.150618	0.0855674	0.058237
a87	0.647119	0.210446	0.0697502	0.0321665	0.0405185
a23	0.662171	0.195539	0.0719808	0.0316338	0.0386756
a57	0.545433	0.162856	0.101968	0.0767022	0.113041
a13	0.44588	0.204396	0.134449	0.0916041	0.123671
a4	0.479371	0.215239	0.12842	0.0820614	0.0949093
a90	0.495317	0.226266	0.13081	0.0768399	0.0707674
a15	0.261083	0.223504	0.201519	0.205009	0.108886
a47	0.237236	0.251375	0.188124	0.201012	0.122253
a85	0.121171	0.166836	0.185224	0.29077	0.236
a92	0.143821	0.22773	0.206841	0.240134	0.181474
a37	0.193049	0.197877	0.185161	0.222527	0.201386
a43	0.243939	0.198012	0.175038	0.193906	0.189104
a0	0.120258	0.111449	0.165675	0.243272	0.359346
a21	0.0512326	0.0390036	0.107012	0.268136	0.534616
a12	0.0138026	0.0190875	0.104597	0.330854	0.531658
a98	0.0104721	0.0120111	0.0664364	0.308385	0.602695
a15	0.0033003	0.00520101	0.0444802	0.250731	0.696287
a90	0.00280294	0.0043139	0.0405832	0.243724	0.708576
a56	0.00441409	0.00620213	0.0418759	0.231652	0.715856
a0	0.00818267	0.0121316	0.061182	0.2682	0.650304
a11	0.016269	0.0179018	0.0663235	0.186737	0.712769
a66	0.0269017	0.0275866	0.075016	0.207239	0.663257
a13	0.0754985	0.059448	0.121047	0.24749	0.496517
a99	0.0564591	0.0558889	0.11569	0.251955	0.520007
a87	0.097747	0.0687149	0.120656	0.230242	0.48264
a23	0.430493	0.175583	0.132138	0.11679	0.144996
a87	0.177524	0.0886167	0.117267	0.214363	0.402229
</S>	0.0366114	0.0248494	0.0699031	0.250816	0.61782
