 	cet	homme	est	venu	payer	mon	dû	</S>
a66	0.183363	0.163682	0.177138	0.223421	0.210338	0.0302148	0.00792585	0.00391742
a87	0.397457	0.236727	0.136951	0.11481	0.0812616	0.0187856	0.00817495	0.00583331
a23	0.398041	0.235754	0.139155	0.120154	0.0751118	0.0178345	0.0076465	0.00630327
a83	0.40909	0.241407	0.150378	0.0924408	0.0556188	0.0188824	0.012689	0.019495
a70	0.254587	0.18609	0.160187	0.137342	0.132488	0.0399932	0.0379174	0.051395
a93	0.202406	0.206939	0.222968	0.169436	0.16059	0.0231251	0.00829827	0.00623749
a98	0.124321	0.169221	0.206572	0.180001	0.199086	0.0664601	0.0325524	0.0217867
a92	0.0780251	0.105423	0.132938	0.164621	0.29397	0.125751	0.0606615	0.0386104
a56	0.0503327	0.0657549	0.0959098	0.148611	0.314871	0.160067	0.0923184	0.0721357
a93	0.0826968	0.0945324	0.12025	0.143253	0.238109	0.15204	0.0905792	0.0785412
a75	0.0843636	0.0983488	0.129479	0.163721	0.235522	0.143584	0.0769795	0.0680015
a43	0.0396375	0.0503306	0.0756241	0.139737	0.240729	0.231957	0.124095	0.0978903
a34	0.0553873	0.0586091	0.0853987	0.14922	0.169903	0.153518	0.127522	0.200442
a75	0.0411898	0.0461419	0.0704391	0.139561	0.169754	0.183154	0.14923	0.20053
a92	0.0164459	0.0186187	0.0279294	0.0731897	0.104589	0.233132	0.228331	0.297764
a37	0.0174733	0.0184451	0.0251836	0.0612531	0.0951894	0.229079	0.236711	0.316666
a21	0.0149102	0.0126127	0.0155922	0.0294891	0.0505254	0.244083	0.271494	0.361293
a85	0.00653203	0.00552731	0.00599479	0.00924979	0.0162947	0.127713	0.30161	0.527078
a6	0.00495263	0.00473223	0.00633025	0.0118291	0.0235632	0.121727	0.203653	0.623212
a37	0.00243371	0.00181647	0.00221082	0.00493486	0.0133841	0.124598	0.274528	0.576094
a85	0.0023682	0.00133904	0.0012285	0.00180361	0.00302301	0.0554527	0.215543	0.719242
a47	0.000848213	0.000450902	0.000396521	0.000608887	0.00122228	0.0330598	0.203308	0.760105
a36	0.00148542	0.000879592	0.000773769	0.0013312	0.00301897	0.0424552	0.23698	0.713076
a2	0.0260146	0.0124996	0.00880968	0.0135235	0.0202252	0.0627525	0.215127	0.641048
a57	0.118328	0.0585469	0.0471111	0.0773424	0.0730103	0.0909682	0.165376	0.369317
a87	0.232853	0.141073	0.0989113	0.135093	0.123242	0.0841288	0.0919849	0.0927146
a23	0.214404	0.134617	0.0954976	0.145194	0.155825	0.126112	0.0763592	0.051991
a87	0.111897	0.0719013	0.0453725	0.0636194	0.0684786	0.168902	0.174166	0.295663
</S>	0.0184998	0.0104744	0.00681196	0.0119471	0.025826	0.117612	0.185699	0.623129
