 	essuie	tes	larmes	</S>
a66	0.504057	0.193046	0.151457	0.151439
a87	0.301735	0.216464	0.223052	0.258749
a97	0.698643	0.206308	0.0540489	0.0410006
a62	0.668861	0.220728	0.0617331	0.0486784
a21	0.859172	0.10931	0.0188088	0.0127099
a85	0.770241	0.167654	0.0401775	0.0219276
a47	0.460793	0.277065	0.164222	0.0979196
a36	0.209288	0.240218	0.257553	0.29294
a6	0.0764745	0.12946	0.297273	0.496792
a37	0.0561165	0.10195	0.278305	0.563628
a6	0.0152275	0.047618	0.244146	0.693008
a36	0.00554586	0.0233622	0.201528	0.769564
a2	0.0135167	0.0357621	0.256858	0.693863
a57	0.0313055	0.0737239	0.295341	0.59963
a97	0.110082	0.132898	0.270251	0.486769
a87	0.228075	0.207901	0.246872	0.317152
a97	0.233051	0.1921	0.248059	0.32679
a3	0.217176	0.148027	0.212843	0.421953
</S>	0.1737	0.133258	0.231776	0.461266
