 	aujourd'	hui	le	temps	est	doux	</S>
a66	0.254734	0.187253	0.144558	0.139801	0.112659	0.0905696	0.0704242
a82	0.225605	0.219661	0.17436	0.186576	0.106792	0.0616674	0.025338
a87	0.360409	0.259372	0.165358	0.138142	0.0480727	0.0198335	0.00881366
a97	0.294282	0.264443	0.174527	0.173214	0.0547337	0.0311362	0.00766388
a87	0.288322	0.269905	0.173099	0.178034	0.0551361	0.0280409	0.00746239
a97	0.287786	0.281979	0.177335	0.178504	0.0492213	0.0195581	0.00561701
a87	0.270905	0.263272	0.180871	0.184087	0.0628685	0.0283252	0.00967218
a23	0.294111	0.269049	0.172344	0.172511	0.0582921	0.0259348	0.00775807
a38	0.220897	0.217698	0.17121	0.190078	0.109435	0.0656844	0.0249977
a99	0.199075	0.184686	0.144431	0.147457	0.146959	0.13026	0.0471329
a0	0.140165	0.138126	0.123439	0.134173	0.174147	0.198674	0.0912749
a54	0.104373	0.11609	0.108726	0.118522	0.133406	0.209203	0.20968
a44	0.173107	0.154203	0.137246	0.127409	0.133854	0.146691	0.12749
a15	0.110541	0.102763	0.0989423	0.0963898	0.120682	0.201483	0.269199
a69	0.0934536	0.0817027	0.0858602	0.079815	0.11422	0.205856	0.339093
a53	0.0602753	0.0589355	0.0767611	0.0739736	0.111493	0.229253	0.389309
a93	0.0267075	0.0259756	0.0366964	0.0348003	0.073346	0.212487	0.589987
a4	0.00737174	0.00853502	0.0148363	0.0146052	0.0526318	0.200285	0.701734
a98	0.00263869	0.00249019	0.00514459	0.00540382	0.0350049	0.145855	0.803463
a50	0.00229934	0.00215053	0.00418473	0.00436196	0.0321275	0.139815	0.815061
a83	0.00374559	0.00343383	0.00517695	0.00727798	0.0306637	0.120655	0.829047
a9	0.00340868	0.00372094	0.00580776	0.00753672	0.0359449	0.123147	0.820434
a99	0.0422232	0.0270116	0.0276979	0.0251151	0.0486017	0.132152	0.697199
a97	0.140589	0.109101	0.103932	0.085405	0.08916	0.117826	0.353987
a10	0.125687	0.102538	0.107143	0.0965557	0.119433	0.165046	0.283598
a87	0.121262	0.115418	0.130808	0.120853	0.149255	0.168725	0.193679
</S>	0.103943	0.0998323	0.125165	0.126143	0.18457	0.199169	0.161177
