 	j'	irai	à	brazaville	après	demain	</S>
a85	0.494239	0.240284	0.119972	0.0516948	0.0313768	0.0325458	0.0298875
a66	0.632268	0.161264	0.0721495	0.0448149	0.0296638	0.0292337	0.0306061
a87	0.320694	0.147515	0.0875842	0.0605235	0.0835964	0.129313	0.170774
a23	0.463568	0.221224	0.14108	0.0719646	0.031201	0.0308003	0.040162
a79	0.545614	0.227216	0.101714	0.0367642	0.0175445	0.0256258	0.0455213
a75	0.40607	0.265538	0.20008	0.0586153	0.0173252	0.0182917	0.0340797
a5	0.140765	0.215521	0.285843	0.184931	0.0758228	0.0472042	0.0499132
a12	0.125601	0.244104	0.341286	0.175456	0.0494061	0.0301097	0.0340381
a18	0.0933713	0.165433	0.288199	0.256977	0.0983606	0.0482658	0.0493941
a75	0.058542	0.0908588	0.175657	0.271795	0.191454	0.101587	0.110106
a98	0.0661201	0.0962146	0.191394	0.282877	0.184168	0.0904012	0.0888252
a92	0.0683571	0.0812643	0.119285	0.183446	0.207969	0.149139	0.19054
a37	0.0646275	0.0527255	0.073076	0.139487	0.215283	0.207929	0.246872
a21	0.0347968	0.025513	0.0327686	0.0852646	0.217383	0.254498	0.349776
a47	0.0138477	0.00927032	0.010722	0.0281917	0.150275	0.302926	0.484767
a21	0.00679616	0.00471379	0.00575259	0.0175191	0.163499	0.342261	0.459458
a5	0.00295185	0.001945	0.00227041	0.00631672	0.0721351	0.288428	0.625953
a37	0.00161785	0.000995884	0.0012316	0.00377894	0.0486489	0.218985	0.724742
a36	0.000999113	0.00064834	0.000881572	0.00250013	0.0327491	0.169947	0.792275
a26	0.00163486	0.00142132	0.00201604	0.00417811	0.0326465	0.161849	0.796254
a82	0.0184517	0.0168389	0.0172285	0.0272888	0.0794036	0.188048	0.65274
a97	0.153617	0.0822212	0.045132	0.0469985	0.0853539	0.166542	0.420136
a10	0.305539	0.160014	0.0753113	0.0519931	0.067636	0.124866	0.21464
a38	0.14605	0.117532	0.0751892	0.0442609	0.0532958	0.171866	0.391805
a9	0.0404235	0.0289972	0.0172446	0.0148757	0.0436777	0.229382	0.625399
a3	0.0288984	0.0209687	0.0155913	0.0143293	0.0538208	0.24228	0.624111
a97	0.0330722	0.0269126	0.0227241	0.0194741	0.0514159	0.235381	0.61102
a87	0.0252414	0.0227902	0.0208265	0.0201422	0.0672963	0.256756	0.586947
a97	0.0334913	0.0342583	0.0294531	0.023662	0.0646893	0.241581	0.572865
a87	0.0194746	0.0183862	0.0160171	0.0160838	0.0686468	0.264286	0.597106
a97	0.0210897	0.0181705	0.013457	0.0143732	0.0729255	0.266414	0.59357
a87	0.0454944	0.0366099	0.0276277	0.027446	0.0925002	0.251655	0.518667
a97	0.040658	0.0346356	0.0260746	0.0246366	0.081026	0.254583	0.538387
a87	0.017438	0.0190408	0.0186985	0.0230183	0.09686	0.286042	0.538902
a97	0.0371513	0.0343249	0.0269015	0.0261	0.0902142	0.263297	0.522011
a87	0.0322663	0.0304759	0.0238164	0.025133	0.0947143	0.271178	0.522416
a97	0.0506148	0.0445753	0.032547	0.0323068	0.10127	0.255662	0.483024
a87	0.0156524	0.0160833	0.0142822	0.0177206	0.100419	0.317936	0.517907
a97	0.0213229	0.0235576	0.0204957	0.0235827	0.117547	0.317125	0.47637
a10	0.0522713	0.0325257	0.0200199	0.0243638	0.0993258	0.268043	0.50345
</S>	0.0250129	0.0265898	0.0248497	0.0329386	0.12795	0.303653	0.459006
