 	c'	est	lui	qui	a	élevé	cet	orphelin	</S>
a66	0.288013	0.266346	0.196739	0.124425	0.0492458	0.0287254	0.0210296	0.0127631	0.0127117
a87	0.34845	0.252289	0.135926	0.102598	0.0696176	0.0294662	0.0219928	0.0174149	0.0222459
a23	0.397306	0.223771	0.129808	0.095356	0.0494621	0.022962	0.0194687	0.0259688	0.035897
a87	0.291209	0.195811	0.112306	0.0827812	0.0338328	0.0147227	0.0271673	0.0761996	0.16597
a23	0.317355	0.201065	0.121584	0.102305	0.0539041	0.0264903	0.0305938	0.0520569	0.094646
a79	0.159366	0.0999657	0.0749154	0.0783659	0.0614964	0.0462168	0.0701482	0.157573	0.251953
a20	0.167676	0.16307	0.157536	0.151383	0.0903678	0.0343577	0.0366462	0.0722357	0.126728
a44	0.213367	0.201502	0.176811	0.161309	0.108745	0.0430564	0.0267118	0.0294891	0.0390083
a56	0.110599	0.147219	0.170295	0.194984	0.148216	0.0783415	0.0431515	0.0479632	0.0592313
a21	0.106457	0.130793	0.155794	0.202755	0.16746	0.0939654	0.0462774	0.0460927	0.050405
a85	0.0765559	0.0921652	0.117919	0.166237	0.164979	0.132781	0.0845245	0.080549	0.0842898
a6	0.0592935	0.0765255	0.104072	0.141006	0.157074	0.130242	0.107393	0.106643	0.117752
a0	0.0837607	0.0936769	0.116915	0.160844	0.151017	0.12639	0.0864454	0.0881973	0.092754
a56	0.0624438	0.0681293	0.0857716	0.114587	0.121308	0.123109	0.0973556	0.1476	0.179696
a93	0.0347003	0.0360872	0.0466844	0.0619794	0.0872651	0.149754	0.15551	0.193307	0.234713
a56	0.0233069	0.0226668	0.0275058	0.0351627	0.0590275	0.146418	0.201836	0.231917	0.25216
a43	0.00713148	0.00687228	0.00814816	0.0105955	0.0218608	0.0857683	0.20415	0.316273	0.3392
a75	0.00325395	0.0028464	0.00333016	0.00393877	0.00732434	0.0292091	0.124107	0.390004	0.435987
a6	0.00091571	0.000940163	0.00129096	0.0019054	0.00454623	0.0216412	0.0994354	0.37738	0.491945
a0	0.000646455	0.000630609	0.000873833	0.00123725	0.00259057	0.010762	0.0594432	0.377225	0.546591
a75	0.00126801	0.00103694	0.00112012	0.00105304	0.00201659	0.0120068	0.0841523	0.343898	0.553448
a85	0.000347802	0.000285575	0.000347059	0.000346809	0.00086414	0.00664145	0.0664753	0.315782	0.60891
a37	0.000299299	0.000246879	0.000304327	0.000379043	0.00087766	0.00505175	0.0414386	0.308121	0.643282
a70	0.00262149	0.00226593	0.00264845	0.00264176	0.00615682	0.0288283	0.129695	0.309691	0.515452
a13	0.00185264	0.00162705	0.00203588	0.00280732	0.00905977	0.042765	0.160462	0.322727	0.456664
a3	0.00323589	0.00236516	0.00290071	0.00409233	0.0129047	0.0409434	0.154767	0.330028	0.448763
a87	0.121638	0.0641008	0.0486574	0.0397269	0.0412586	0.0684891	0.134958	0.204354	0.276817
a23	0.409534	0.200171	0.111519	0.0802421	0.0495431	0.0363346	0.0362812	0.0341304	0.0422452
a87	0.117095	0.049275	0.0255438	0.0150686	0.0126841	0.0205722	0.0815779	0.259688	0.418495
a23	0.010447	0.00391638	0.00219044	0.00164789	0.00284296	0.0111354	0.0620151	0.342249	0.563556
</S>	0.0213539	0.00878845	0.00500315	0.00402019	0.00503474	0.0137544	0.0673783	0.329658	0.545009
