 	le	cultivateur	arrose	les	légu	mes	</S>
a23	0.64472	0.233782	0.0788582	0.0265547	0.00926907	0.00333958	0.00347676
a53	0.359445	0.164716	0.112283	0.0642033	0.0693134	0.100065	0.129974
a79	0.22458	0.185731	0.136229	0.090336	0.092768	0.116759	0.153597
a32	0.433829	0.280563	0.119288	0.067305	0.0460429	0.0266639	0.0263077
a75	0.360571	0.237257	0.129239	0.0866823	0.0632104	0.0586128	0.064428
a85	0.200594	0.223234	0.164865	0.148758	0.102697	0.0816987	0.0781529
a5	0.2331	0.216613	0.128738	0.12775	0.102718	0.0991106	0.0919702
a85	0.132359	0.142695	0.0949403	0.0811226	0.0986168	0.208464	0.241802
a47	0.0512056	0.0893446	0.101283	0.126493	0.168264	0.234758	0.228652
a37	0.0289673	0.0416483	0.0469565	0.0536574	0.111333	0.33873	0.378708
a54	0.0314689	0.0387099	0.0419145	0.0570898	0.108964	0.361646	0.360207
a47	0.00709099	0.0165726	0.0227371	0.0455037	0.109369	0.377686	0.42104
a79	0.00512627	0.0107627	0.016794	0.0312136	0.0848505	0.388747	0.462506
a47	0.00259229	0.00783453	0.0183265	0.0539949	0.135525	0.40652	0.375206
a36	0.0035734	0.00754054	0.0133195	0.0354347	0.121117	0.40497	0.414045
a37	0.00397295	0.00774929	0.0137808	0.0384793	0.131714	0.381151	0.423153
a70	0.00131453	0.00399422	0.00934985	0.0295607	0.106481	0.399194	0.450106
a54	0.0016968	0.00358617	0.00827608	0.0197898	0.0659312	0.39932	0.5014
a36	0.000760263	0.00182251	0.00432801	0.0128254	0.0424896	0.348659	0.589115
a2	0.00118521	0.00242016	0.00479382	0.0120611	0.0417401	0.338876	0.598924
a57	0.0069383	0.00906398	0.0183181	0.0297072	0.064608	0.284407	0.586958
a87	0.102956	0.0843204	0.107063	0.109994	0.108683	0.185145	0.301838
a23	0.478194	0.254757	0.113742	0.0625228	0.0334302	0.0270953	0.0302582
a87	0.192276	0.08501	0.0738816	0.120016	0.13522	0.189979	0.203617
</S>	0.0317272	0.0249375	0.0411856	0.0921822	0.169672	0.304401	0.335895
