 	ce	malade	vomit	du	sang	</S>
a66	0.500028	0.198105	0.109172	0.0645213	0.0609117	0.0672625
a87	0.157691	0.0916995	0.0702941	0.102975	0.225268	0.352072
a23	0.524983	0.112192	0.0594612	0.057156	0.104075	0.142133
a79	0.351871	0.131536	0.123592	0.125446	0.129662	0.137893
a69	0.323403	0.212791	0.19167	0.090464	0.0833455	0.098326
a58	0.357701	0.271112	0.184438	0.0683378	0.0511154	0.0672955
a53	0.35923	0.326483	0.157799	0.0611	0.0434114	0.0519764
a90	0.265843	0.300016	0.150281	0.0898735	0.0790973	0.114889
a56	0.283798	0.267432	0.142031	0.0996416	0.0878617	0.119236
a35	0.259829	0.19873	0.137675	0.130489	0.11856	0.154718
a56	0.267181	0.215761	0.14845	0.137787	0.105063	0.125757
a93	0.179829	0.152151	0.158052	0.184996	0.153477	0.171496
a70	0.175261	0.133135	0.124095	0.168936	0.17412	0.224453
a93	0.117826	0.0908079	0.114121	0.22529	0.206356	0.245598
a90	0.0498585	0.0479251	0.0806076	0.233861	0.26202	0.325729
a98	0.020782	0.0275766	0.0584053	0.245396	0.298474	0.349365
a47	0.0161874	0.0244174	0.0623751	0.201178	0.293487	0.402355
a37	0.015588	0.0212866	0.054898	0.177189	0.288228	0.44281
a93	0.00459593	0.00677647	0.0184556	0.0930336	0.273237	0.603901
a94	0.00288699	0.00446462	0.0114876	0.0699276	0.265441	0.645793
a66	0.0038128	0.00505123	0.0122193	0.0597446	0.231966	0.687206
a13	0.0277063	0.0220174	0.0327058	0.0920675	0.267033	0.55847
a3	0.072949	0.0543761	0.0593136	0.111412	0.2596	0.44235
a87	0.358062	0.133332	0.0813612	0.0887942	0.147028	0.191422
a23	0.350436	0.152297	0.0700787	0.079112	0.142324	0.205752
a87	0.0938531	0.0413508	0.0326211	0.0883817	0.255384	0.488409
</S>	0.0207882	0.0133424	0.0203119	0.104273	0.297781	0.543503
