 	il	travaille	avec	beaucoup	d'	adresse	</S>
a23	0.195718	0.172563	0.148068	0.116642	0.130637	0.14258	0.0937913
a97	0.175348	0.125301	0.143359	0.149333	0.138153	0.140496	0.128011
a99	0.163174	0.11553	0.126998	0.129458	0.132507	0.159709	0.172624
a30	0.192614	0.151356	0.149166	0.13704	0.134619	0.119364	0.115841
a53	0.215984	0.184902	0.136206	0.106361	0.113335	0.12228	0.120932
a76	0.335531	0.236623	0.128563	0.0882427	0.0654543	0.0712304	0.0743567
a14	0.378895	0.282305	0.147451	0.0904287	0.0429125	0.0317751	0.0262322
a35	0.392578	0.297363	0.147581	0.0804008	0.0353735	0.0274562	0.0192475
a14	0.339494	0.312302	0.152162	0.0858784	0.0436083	0.037092	0.0294637
a32	0.289325	0.289931	0.162895	0.0997778	0.0587898	0.0540656	0.0452152
a11	0.253039	0.258332	0.181203	0.11374	0.0669827	0.0679199	0.0587839
a75	0.255109	0.247241	0.18997	0.124375	0.0646753	0.0667745	0.0518558
a14	0.181295	0.203031	0.183116	0.143662	0.0964982	0.106059	0.0863391
a35	0.166181	0.155972	0.156778	0.147472	0.1243	0.138818	0.110478
a14	0.115942	0.111034	0.115434	0.131531	0.158075	0.204252	0.163731
a35	0.0843201	0.0897016	0.0964855	0.11633	0.166957	0.24383	0.202376
a98	0.0502868	0.0530962	0.0627956	0.0850265	0.171379	0.295067	0.282349
a14	0.044239	0.0516675	0.0644099	0.0888643	0.176473	0.281166	0.29318
a35	0.0354538	0.0433803	0.0582375	0.0848715	0.175775	0.281805	0.320477
a38	0.0190813	0.025382	0.0347374	0.0483474	0.127945	0.311247	0.433259
a75	0.00762732	0.0104915	0.0168708	0.0285495	0.0964038	0.33386	0.506197
a41	0.00979968	0.0143549	0.0263068	0.0410163	0.123631	0.32265	0.462241
a35	0.0057673	0.00911129	0.0197279	0.0384886	0.119726	0.349587	0.457591
a41	0.00541407	0.00748074	0.0151969	0.0294774	0.087283	0.325136	0.530012
a35	0.0061868	0.0082272	0.018637	0.0414408	0.128049	0.3585	0.438959
a38	0.00554642	0.00725226	0.0161743	0.0335856	0.104334	0.352193	0.480915
a24	0.00460975	0.00583438	0.012637	0.0240032	0.075126	0.330689	0.547101
a9	0.0050286	0.00640535	0.0133871	0.0254371	0.0875939	0.331387	0.530761
a87	0.0091494	0.0117657	0.0220759	0.0362581	0.0925687	0.291402	0.53678
</S>	0.00743063	0.00994519	0.015272	0.0262611	0.0979578	0.313661	0.529472
