 	ces	ignames-là	sont	grosses	</S>
a23	0.69866	0.122811	0.0724215	0.0556039	0.050504
a83	0.69524	0.134807	0.0639558	0.0601161	0.0458817
a0	0.458601	0.275568	0.130139	0.0725031	0.0631886
a75	0.603617	0.301568	0.0679031	0.0186714	0.00824043
a41	0.534153	0.382579	0.0597043	0.0169221	0.0066418
a37	0.419497	0.453571	0.0750737	0.0355891	0.0162694
a61	0.318229	0.351015	0.141174	0.119886	0.069697
a31	0.130655	0.243101	0.233657	0.255982	0.136605
a24	0.054155	0.15219	0.224637	0.339412	0.229607
a31	0.0663541	0.132724	0.170414	0.312257	0.318251
a62	0.0367773	0.0776817	0.124744	0.311987	0.448809
a21	0.0357055	0.0907278	0.157189	0.289576	0.426802
a47	0.0174421	0.048396	0.120751	0.247412	0.565999
a62	0.0156556	0.0763189	0.151464	0.247944	0.508618
a21	0.0058315	0.0365585	0.109105	0.236853	0.611652
a12	0.00431852	0.0260233	0.0711715	0.167033	0.731454
a18	0.00344817	0.0214506	0.0708372	0.184242	0.720022
a25	0.00266616	0.0135013	0.0437352	0.160354	0.779743
a82	0.00454581	0.0125993	0.0420561	0.154602	0.786197
a87	0.257026	0.103786	0.13204	0.174808	0.33234
a23	0.429623	0.162073	0.153358	0.120645	0.134301
a87	0.121654	0.0700175	0.14271	0.240652	0.424966
</S>	0.0359386	0.0610451	0.170352	0.262932	0.469732
