 	les	enfants	ont	renversé	de	l'	eau	dans	la	maison	</S>
a66	0.265332	0.196922	0.153918	0.0876454	0.0870415	0.0784839	0.0514478	0.0286367	0.0192036	0.0155559	0.0158134
a87	0.360507	0.237745	0.115558	0.0599424	0.0513829	0.0428254	0.029228	0.0220848	0.0242628	0.0275834	0.0288797
a23	0.397139	0.224143	0.15759	0.0663853	0.0413685	0.0258276	0.0182497	0.0142768	0.0148055	0.0181276	0.0220868
a54	0.213894	0.127635	0.0971661	0.0707275	0.0721055	0.0493497	0.0457054	0.0467703	0.0601231	0.0870519	0.129472
a6	0.232584	0.203969	0.132427	0.0874479	0.0755156	0.0660617	0.0593527	0.0469318	0.0369598	0.0293956	0.0293549
a47	0.147055	0.180268	0.169723	0.164252	0.0930313	0.0701141	0.0561307	0.0422055	0.0311361	0.0246919	0.0213927
a6	0.154977	0.223132	0.179717	0.158891	0.0804775	0.057572	0.048689	0.0357655	0.0244877	0.0192118	0.0170794
a37	0.138089	0.187822	0.167417	0.152695	0.082039	0.0652347	0.0622723	0.0516131	0.0366694	0.0299435	0.0262038
a26	0.168721	0.182671	0.156576	0.17889	0.113768	0.0634599	0.0454458	0.0330561	0.0228764	0.0180999	0.0164355
a43	0.083832	0.103217	0.141663	0.235611	0.176719	0.0895547	0.0557912	0.0396531	0.0278589	0.0228814	0.0232185
a11	0.0712619	0.0794051	0.121874	0.242164	0.172696	0.0963248	0.0590447	0.0465681	0.0380001	0.0348849	0.0377766
a75	0.0599296	0.0597098	0.0962598	0.206166	0.191411	0.11945	0.0727814	0.055755	0.0466461	0.0447811	0.0471109
a47	0.0239962	0.0302061	0.0473695	0.0969101	0.120209	0.132494	0.138927	0.124557	0.107341	0.0863115	0.0916778
a0	0.0165864	0.0153873	0.0315422	0.0827359	0.127667	0.149587	0.143352	0.117419	0.103643	0.097081	0.115
a54	0.0263009	0.0220024	0.0350115	0.0807346	0.130486	0.14895	0.138328	0.105311	0.0919451	0.0970168	0.123915
a37	0.00685667	0.00617453	0.0118377	0.0333394	0.0545244	0.0937845	0.140703	0.136804	0.150406	0.156776	0.208794
a61	0.00666367	0.00522561	0.00935417	0.0302925	0.0610335	0.093074	0.134676	0.125032	0.132714	0.158668	0.243268
a88	0.00824271	0.00661511	0.00937091	0.0197735	0.044002	0.0760302	0.133294	0.144311	0.162478	0.171813	0.224071
a71	0.0048002	0.00384381	0.00592281	0.0123744	0.0303157	0.0540262	0.0946271	0.121005	0.174504	0.211473	0.287108
a9	0.00565423	0.00340761	0.00411245	0.00810366	0.0169031	0.0319983	0.048889	0.0696983	0.137051	0.237456	0.436726
a87	0.0211172	0.0183642	0.0170969	0.0231346	0.0321244	0.0624452	0.0955166	0.0980565	0.135191	0.191417	0.305536
a23	0.110848	0.104224	0.0794472	0.0630393	0.0599752	0.0870699	0.102842	0.0837517	0.0862998	0.0990204	0.123482
a10	0.0430215	0.0341592	0.0286554	0.0255915	0.0298736	0.0648863	0.115007	0.130742	0.161397	0.176782	0.189885
a87	0.0110434	0.010583	0.0150552	0.0217426	0.023519	0.0534595	0.105031	0.13728	0.185413	0.214584	0.222288
</S>	0.0251658	0.0223709	0.0260742	0.0254185	0.0242401	0.04562	0.0802163	0.107914	0.153458	0.221188	0.268335
