 	la	femme	a	porté	une	robe	noire	car	elle	est	en	deuil	</S>
a97	0.13655	0.146492	0.160706	0.124528	0.110916	0.106553	0.0801367	0.0614878	0.0323826	0.020411	0.00992693	0.00600136	0.00390771
a79	0.218821	0.169269	0.142838	0.111843	0.051582	0.0535015	0.0619012	0.0640292	0.0311273	0.0288366	0.0227469	0.0240026	0.0195006
a4	0.156669	0.111223	0.0967106	0.112619	0.0913666	0.108466	0.0825317	0.0671679	0.0382473	0.037774	0.0308822	0.0357696	0.0305718
a96	0.185196	0.15363	0.138259	0.114955	0.0911066	0.100802	0.0633452	0.0467128	0.0249643	0.0256421	0.0222823	0.0193543	0.0137491
a75	0.150392	0.136519	0.146116	0.161837	0.157842	0.114585	0.0538461	0.0261861	0.0138812	0.0136521	0.0126477	0.00899583	0.00349948
a92	0.120484	0.118593	0.129738	0.146698	0.135405	0.110075	0.0638824	0.0457595	0.0270301	0.0286368	0.032697	0.0285449	0.0124562
a85	0.0824962	0.0889233	0.110393	0.134145	0.145849	0.134366	0.0816042	0.058825	0.0349915	0.0325755	0.0379828	0.0385471	0.0193021
a15	0.0994133	0.0965891	0.114115	0.134418	0.133019	0.116367	0.0768346	0.0546126	0.0378022	0.0284162	0.0324474	0.0403779	0.0355884
a20	0.0724126	0.0763973	0.10251	0.144973	0.194077	0.170437	0.0913408	0.0432082	0.0224164	0.0155194	0.0176532	0.0227763	0.0262788
a7	0.0466045	0.0537246	0.0759409	0.121143	0.184034	0.166982	0.110563	0.0597496	0.0362602	0.0236466	0.0273071	0.0404188	0.0536256
a15	0.042179	0.0546183	0.0745192	0.100834	0.167057	0.182429	0.12085	0.0614455	0.0368883	0.0277072	0.0309723	0.0409843	0.0595157
a98	0.0297659	0.0400547	0.0603871	0.095443	0.160244	0.172518	0.118762	0.0690708	0.0501427	0.0367526	0.0385701	0.048287	0.080002
a79	0.013812	0.0185706	0.0292663	0.0605097	0.118061	0.145088	0.130751	0.0942062	0.0795037	0.0546562	0.056335	0.0767693	0.122471
a37	0.0130984	0.0181141	0.0286442	0.0555806	0.123616	0.154585	0.148591	0.109641	0.0823588	0.0515281	0.0483678	0.0615326	0.104342
a75	0.0166524	0.0214202	0.0295582	0.0416827	0.0862461	0.140649	0.150322	0.111507	0.0822666	0.0570394	0.0586356	0.076391	0.12763
a6	0.00777088	0.0086054	0.0115759	0.0198207	0.0518219	0.105197	0.127706	0.116464	0.110199	0.0880219	0.0836825	0.096522	0.172613
a36	0.00614508	0.0061987	0.00810458	0.0139066	0.0349735	0.0787042	0.117688	0.129003	0.122376	0.0912963	0.0853557	0.0994957	0.206753
a26	0.0111	0.0105401	0.0115415	0.0139043	0.0235095	0.0600872	0.121163	0.129728	0.115267	0.0740643	0.0733405	0.102739	0.253014
