 	l'	avocat	qu'	on	m'	a	donné	est	devenu	mou	</S>
a66	0.182329	0.123996	0.0814915	0.0811594	0.106825	0.153922	0.148534	0.0699276	0.0291268	0.0135423	0.00914672
a87	0.323454	0.157602	0.0743635	0.0577712	0.0650358	0.0718542	0.0721723	0.0536973	0.0364711	0.0424407	0.0451376
a23	0.363021	0.13509	0.0618194	0.0555588	0.0631914	0.0808497	0.0826442	0.0645101	0.0390523	0.0300122	0.0242509
a10	0.246939	0.113051	0.0555628	0.0594312	0.0977217	0.120604	0.123417	0.0894093	0.051688	0.0247314	0.0174437
a75	0.205542	0.105602	0.0688177	0.0680712	0.0789464	0.0767834	0.0934051	0.0997837	0.106429	0.0584578	0.0381613
a79	0.187829	0.214111	0.105203	0.0831192	0.0550866	0.0549105	0.0703851	0.0488166	0.05648	0.0596659	0.0643933
a37	0.177868	0.192225	0.150482	0.121933	0.0861315	0.0764383	0.0667498	0.0351646	0.0289764	0.0246804	0.0393517
a93	0.112271	0.136359	0.14182	0.150158	0.144417	0.111307	0.0822794	0.0439222	0.0320339	0.0215648	0.0238675
a44	0.0838862	0.113909	0.148364	0.162791	0.164616	0.116911	0.0790972	0.0414512	0.0321424	0.0249258	0.0319075
a75	0.0565033	0.0878821	0.134993	0.166552	0.194387	0.141679	0.0979971	0.047025	0.026171	0.0208465	0.0259623
a5	0.0275075	0.0626295	0.139876	0.169873	0.199681	0.153596	0.108689	0.0563349	0.0298305	0.0211893	0.030794
a21	0.0375927	0.0681996	0.135184	0.167929	0.198707	0.158053	0.10959	0.0551616	0.0253949	0.0196638	0.0245232
a5	0.0210913	0.0368907	0.10042	0.146836	0.200837	0.174325	0.127031	0.0755789	0.0421172	0.0323996	0.0424747
a75	0.022897	0.0362445	0.0897528	0.127819	0.178819	0.170549	0.128319	0.0870236	0.0580675	0.0453877	0.0551207
a5	0.0128709	0.0227224	0.0643112	0.103358	0.162024	0.145308	0.103038	0.0705287	0.079282	0.0954171	0.141139
a37	0.0164036	0.0235186	0.0581003	0.0929143	0.150527	0.179936	0.153929	0.103259	0.0718741	0.0651898	0.0843473
a98	0.00970226	0.0132675	0.034117	0.0652143	0.127273	0.172412	0.165975	0.121966	0.0785347	0.0821555	0.129383
a47	0.00556824	0.00873544	0.0307079	0.0607428	0.112164	0.123408	0.105539	0.0795526	0.0838889	0.126764	0.26293
a92	0.00389104	0.00439582	0.012754	0.0248246	0.0441317	0.0663809	0.0758412	0.0773688	0.104237	0.162123	0.424052
a85	0.00356838	0.00434924	0.0111563	0.0203755	0.0348599	0.0596501	0.0743959	0.0846677	0.12481	0.187565	0.394602
a92	0.00336046	0.00371596	0.00948821	0.0168656	0.0256777	0.0354337	0.0420392	0.0543469	0.115991	0.219014	0.474068
a61	0.00200772	0.00234174	0.00560442	0.00996846	0.0159939	0.0297185	0.0422374	0.0652284	0.169583	0.249556	0.407761
a75	0.00174012	0.00182891	0.0039753	0.00665079	0.00830555	0.0132893	0.0201616	0.043473	0.144031	0.281389	0.475155
a79	0.000614685	0.00075547	0.0019226	0.00352489	0.00533575	0.0087121	0.0148257	0.0425115	0.157737	0.282725	0.481336
a90	0.000228956	0.000245335	0.000779381	0.00162027	0.00300866	0.00454151	0.00731493	0.021661	0.113377	0.289453	0.55777
a69	0.000303626	0.000331384	0.000800269	0.00145126	0.00257881	0.00441894	0.00775353	0.0210121	0.0944535	0.273617	0.59328
a58	0.000375968	0.000299622	0.000580413	0.000887857	0.0015077	0.00246055	0.00392023	0.0105481	0.05475	0.262795	0.661874
a82	0.0002915	0.000231957	0.000371722	0.000529986	0.000753302	0.0011111	0.00200344	0.00759282	0.0490674	0.290179	0.647868
a87	0.0177797	0.00883528	0.00749306	0.00859262	0.00917165	0.0124563	0.0220014	0.0545629	0.140514	0.290631	0.427962
a23	0.098421	0.0522062	0.0292217	0.0305143	0.0378808	0.0490986	0.0582365	0.0802269	0.127827	0.230157	0.20621
a87	0.0856947	0.0318198	0.0167917	0.0140101	0.0178219	0.0243538	0.029234	0.0457064	0.0883463	0.246987	0.399234
</S>	0.0312117	0.0134199	0.008418	0.00892522	0.0141178	0.0177431	0.0244941	0.0456038	0.099462	0.270205	0.466399
