 	celui	qui	vient	après	moi	va	ramasser	l'	argent	que	j'	ai	fait	tomber	</S>
a15	0.182142	0.141166	0.0841869	0.0665616	0.0749141	0.0709282	0.0550371	0.0553111	0.0634949	0.0612269	0.05375	0.0406041	0.0255154	0.0136616	0.0114999
a82	0.186178	0.103436	0.0546437	0.0628593	0.0871779	0.0743244	0.0741526	0.0737257	0.0729136	0.0697418	0.0595583	0.0352981	0.021721	0.0131561	0.0111136
a87	0.316264	0.181902	0.106249	0.0998256	0.115087	0.0608463	0.039158	0.0238695	0.0167311	0.0107666	0.0075589	0.0056873	0.00499299	0.00505357	0.00600785
a23	0.24911	0.189267	0.149494	0.121913	0.11445	0.075928	0.040206	0.0209205	0.0147321	0.00798295	0.00512007	0.0034778	0.00256712	0.00220506	0.00262533
a53	0.207277	0.167909	0.146286	0.126703	0.125358	0.080379	0.0478861	0.0271976	0.0176386	0.0094743	0.00743901	0.00721712	0.00745966	0.00870398	0.0130726
a44	0.213251	0.162177	0.134026	0.099924	0.0979908	0.0972819	0.055372	0.0407857	0.0274995	0.0159306	0.0130241	0.0107252	0.0102891	0.00978234	0.0119405
a90	0.11975	0.152539	0.161321	0.119174	0.117496	0.12554	0.0679196	0.0460447	0.0286487	0.0162314	0.0131084	0.00940764	0.0077261	0.00670988	0.00838454
a79	0.0640652	0.110098	0.139215	0.118642	0.113929	0.131577	0.094479	0.0810194	0.0561276	0.0280668	0.0203759	0.0132204	0.0106479	0.00838991	0.0101476
a44	0.0346864	0.0642512	0.0912866	0.0911968	0.101018	0.135025	0.109093	0.114973	0.0854245	0.0505942	0.0379485	0.027276	0.0214453	0.0155298	0.0202515
a56	0.0263794	0.0388579	0.0652067	0.0841896	0.0955284	0.121476	0.125088	0.146675	0.110892	0.0602292	0.041886	0.027789	0.0202029	0.0152691	0.0203314
a62	0.0335921	0.0414003	0.0552006	0.0810168	0.0995242	0.108911	0.125084	0.157339	0.126771	0.0660138	0.0418745	0.022796	0.014598	0.0110892	0.0147898
a75	0.0170373	0.0201164	0.027826	0.0600791	0.081776	0.0856708	0.12883	0.181038	0.160618	0.0959479	0.0595581	0.0331624	0.0190497	0.0131728	0.0161172
a85	0.00554529	0.00801458	0.01309	0.0332151	0.0417233	0.0490397	0.105361	0.149563	0.156807	0.135798	0.108046	0.0798078	0.0500569	0.0313593	0.0325725
a6	0.00567191	0.0078961	0.0114668	0.0312855	0.0383985	0.0459593	0.0956763	0.139055	0.150532	0.142553	0.118762	0.0886656	0.0546834	0.0350543	0.0343411
a36	0.00528219	0.00613187	0.00856512	0.0223446	0.0297595	0.0406236	0.081674	0.138622	0.16097	0.158654	0.118014	0.0901123	0.0554511	0.0401508	0.0436453
a25	0.00893974	0.00780541	0.00732962	0.0136359	0.0167825	0.0252842	0.0434303	0.075243	0.117417	0.156279	0.125392	0.118928	0.0867015	0.0814053	0.115427
a69	0.00775334	0.00811766	0.00882369	0.0147998	0.0168999	0.0233978	0.0584675	0.0956181	0.120943	0.155418	0.112577	0.105796	0.0785524	0.0739115	0.118924
a90	0.00864679	0.00840385	0.00777811	0.0115501	0.0135829	0.0203825	0.0475219	0.074889	0.0956939	0.140413	0.122582	0.125026	0.0987104	0.089222	0.135598
a56	0.00494014	0.0051745	0.00544437	0.0116919	0.0143344	0.0202956	0.0534368	0.0734144	0.0870497	0.123554	0.119461	0.129508	0.108899	0.101026	0.141771
a75	0.00593325	0.00506634	0.00435609	0.00748653	0.00807127	0.0117334	0.0281839	0.0394754	0.0476488	0.0798093	0.0876214	0.138215	0.163714	0.160551	0.212135
a47	0.00193407	0.00203992	0.00232219	0.00465036	0.0052241	0.0067854	0.01799	0.02426	0.0300498	0.0546203	0.069838	0.124303	0.167686	0.210477	0.27782
a31	0.00226134	0.00244952	0.00275929	0.00566063	0.00564009	0.00730897	0.0213711	0.0276795	0.0288766	0.0466568	0.0521106	0.099345	0.153196	0.230149	0.314535
a21	0.00481329	0.00329096	0.00251273	0.00337045	0.00310934	0.00423033	0.00865792	0.0113322	0.0121675	0.021869	0.0287627	0.0710623	0.141815	0.277401	0.405606
a75	0.00378097	0.00258381	0.00190242	0.00247732	0.00241537	0.0032635	0.00582584	0.00779758	0.00967975	0.0186157	0.0298615	0.0692219	0.13863	0.297993	0.405951
a6	0.00146329	0.00102443	0.000887396	0.00129367	0.00116408	0.00193505	0.00525965	0.00713902	0.00713314	0.0133423	0.0180867	0.0471668	0.115328	0.310049	0.468727
a37	0.000842321	0.000707951	0.000721184	0.00112296	0.00103057	0.00165528	0.00462046	0.00584503	0.00577435	0.0104479	0.0133677	0.0349274	0.0889787	0.290573	0.539386
a36	0.00450144	0.00335317	0.00320318	0.0050288	0.00434866	0.00556866	0.0133191	0.0141165	0.0107454	0.0150315	0.0144844	0.0299397	0.0752086	0.27094	0.530211
a27	0.054697	0.0323135	0.0214911	0.0234278	0.0232254	0.0275161	0.0472413	0.0494555	0.0306707	0.0349884	0.0289662	0.0364964	0.0624143	0.178008	0.349088
a57	0.18487	0.0924384	0.0466485	0.045041	0.0560007	0.0572734	0.0602686	0.0658073	0.0502158	0.0467533	0.0332	0.0321913	0.0387533	0.0713114	0.119227
a87	0.244297	0.164608	0.0969253	0.0779501	0.0870249	0.0809871	0.0689257	0.0469677	0.0312261	0.0225678	0.0145324	0.013146	0.0133835	0.016273	0.0211853
a23	0.213334	0.150654	0.0908997	0.0656608	0.0664721	0.076412	0.0775544	0.0654234	0.0427823	0.0360266	0.0277379	0.0227636	0.019582	0.0179497	0.0267484
a87	0.0911937	0.0742024	0.0507044	0.0455032	0.0545412	0.0709491	0.107132	0.0896576	0.0618881	0.0644347	0.0462515	0.0419585	0.044032	0.0634003	0.0941511
a23	0.035441	0.0344373	0.0342657	0.0389483	0.0433979	0.0473153	0.0802028	0.0835662	0.0617058	0.0617722	0.0426732	0.0393847	0.0508363	0.110754	0.235299
a87	0.0440528	0.0498228	0.0524551	0.050113	0.0505303	0.0612989	0.101182	0.0935613	0.0715136	0.0681341	0.0443876	0.0390467	0.044315	0.0773512	0.152235
</S>	0.0510363	0.0538472	0.0496426	0.0523653	0.0565828	0.0545801	0.0732234	0.0727954	0.0566195	0.053575	0.0380386	0.0357441	0.0451335	0.0928974	0.213919
