 	attends-moi	j'	arrive	</S>
a23	0.627921	0.203138	0.0996232	0.0693177
a24	0.440054	0.253596	0.17154	0.134809
a32	0.55629	0.223471	0.116557	0.103682
a41	0.655189	0.228018	0.0811316	0.0356611
a43	0.613761	0.241379	0.0981681	0.0466922
a41	0.39568	0.281367	0.196253	0.1267
a18	0.403592	0.279742	0.173504	0.143162
a41	0.223847	0.245039	0.269928	0.261186
a35	0.199436	0.187637	0.241389	0.371538
a24	0.111002	0.139859	0.249937	0.499201
a31	0.0692557	0.088697	0.225779	0.616268
a24	0.0520586	0.0722801	0.209902	0.665759
a21	0.0678979	0.0774307	0.202382	0.65229
a85	0.0467777	0.0707882	0.216228	0.666206
a14	0.0424552	0.0639209	0.207641	0.685982
a30	0.0648912	0.102564	0.253146	0.579399
a2	0.0862445	0.117584	0.237545	0.558626
a57	0.0304809	0.0595715	0.179781	0.730166
a87	0.096413	0.100893	0.205885	0.596809
</S>	0.0760247	0.102852	0.224741	0.596382
