 	ta	manière	de	faire	traverser	les	enfants	est	épouvantable	</S>
a66	0.316348	0.167394	0.106967	0.0719456	0.0577334	0.0729917	0.0786013	0.0577989	0.0379517	0.032269
a87	0.270445	0.118014	0.109606	0.0954216	0.0965765	0.0920148	0.0772873	0.0591936	0.0444194	0.037022
a23	0.378326	0.202705	0.120734	0.0767768	0.0579494	0.0342525	0.033428	0.0371857	0.0273122	0.031331
a62	0.273465	0.205019	0.153313	0.137572	0.0978677	0.0425851	0.0253738	0.0237996	0.01851	0.0224949
a21	0.319269	0.221957	0.173024	0.114531	0.0590004	0.0296546	0.0164833	0.0182283	0.0286145	0.0192373
a5	0.19001	0.229826	0.214992	0.170417	0.0834091	0.0451283	0.0192409	0.0160155	0.0175799	0.013382
a75	0.0994274	0.181737	0.243705	0.251258	0.111601	0.0486435	0.0192174	0.0131792	0.0152701	0.0159616
a5	0.0855648	0.140223	0.204812	0.253021	0.135889	0.0810238	0.033333	0.0178624	0.0239079	0.024363
a43	0.0579234	0.0937382	0.185633	0.278362	0.18321	0.098924	0.0329972	0.0151287	0.023126	0.0309577
a0	0.0506198	0.0757263	0.144255	0.243128	0.193125	0.111189	0.0478682	0.0272513	0.0445606	0.0622777
a21	0.0387712	0.0462061	0.0805631	0.156675	0.156283	0.129583	0.0864035	0.0613149	0.107536	0.136664
a85	0.0300213	0.030545	0.0502244	0.113568	0.160233	0.212436	0.136262	0.0748884	0.0833624	0.108459
a6	0.0174104	0.0151445	0.0214598	0.0461749	0.0783813	0.180927	0.142562	0.0879895	0.145476	0.264474
a98	0.0070258	0.00617491	0.0101239	0.0261947	0.0530093	0.13175	0.150132	0.11663	0.201089	0.29787
a85	0.00452787	0.00418602	0.00673714	0.0154132	0.0324161	0.0848316	0.119572	0.116276	0.220688	0.395352
a21	0.00275799	0.00225029	0.00334594	0.00753486	0.0150189	0.0391846	0.0613802	0.0956309	0.256223	0.516673
a47	0.00413199	0.00299589	0.00375013	0.00775252	0.0135595	0.0379868	0.0630079	0.131966	0.264067	0.470782
a61	0.00285076	0.00235783	0.00277521	0.00505106	0.00795483	0.0156177	0.0233277	0.0659401	0.261455	0.61267
a75	0.001121	0.00090322	0.001132	0.00209183	0.00374002	0.0088717	0.0160923	0.047721	0.271504	0.646823
a47	0.00049806	0.000325066	0.000429235	0.000970215	0.00195669	0.00545538	0.0134981	0.0461475	0.207472	0.723248
a7	0.00111603	0.000896687	0.00120742	0.00216904	0.00341847	0.00675701	0.0138742	0.042882	0.275747	0.651933
a84	0.0108642	0.0079704	0.00973569	0.0100382	0.0115391	0.0188435	0.0380187	0.0926823	0.297928	0.502379
a82	0.264778	0.0972565	0.0703128	0.0573603	0.0444971	0.0471207	0.0402074	0.0545237	0.110675	0.213268
a87	0.322752	0.123008	0.0655631	0.0443606	0.0342735	0.0356242	0.0371418	0.0539888	0.101525	0.181764
a23	0.247557	0.122703	0.068035	0.0456659	0.0392692	0.0442482	0.0544592	0.0914032	0.115889	0.17077
a87	0.0440782	0.0220258	0.0114338	0.00804482	0.00893243	0.0163237	0.0363897	0.102314	0.219336	0.531121
</S>	0.00442705	0.00259827	0.00222353	0.00241308	0.00329261	0.00735522	0.0190576	0.0607362	0.309053	0.588843
