 	leur	ainé	est	un	paralytique	</S>
a66	0.487447	0.237835	0.124699	0.0719422	0.0449037	0.0331732
a87	0.420868	0.216403	0.124113	0.0827801	0.112686	0.0431494
a23	0.35128	0.338686	0.172666	0.0577995	0.0650073	0.0145612
a79	0.269965	0.266266	0.148558	0.0879511	0.132053	0.095206
a54	0.388221	0.38526	0.133373	0.0476176	0.0276779	0.0178508
a92	0.338902	0.387448	0.18709	0.0525282	0.0211833	0.0128489
a56	0.248321	0.370514	0.25559	0.0671759	0.0406186	0.0177803
a75	0.192952	0.346625	0.276119	0.0936408	0.0671137	0.0235501
a98	0.164434	0.332794	0.241598	0.124706	0.0960064	0.0404617
a15	0.158867	0.183817	0.15152	0.181924	0.196361	0.127511
a98	0.0772853	0.121652	0.19463	0.215592	0.247985	0.142856
a47	0.103004	0.111939	0.201504	0.212426	0.233141	0.137986
a92	0.0305316	0.0479548	0.153282	0.241347	0.339919	0.186966
a5	0.0123322	0.0184973	0.0830396	0.183591	0.315403	0.387137
a43	0.00418665	0.00551077	0.0313041	0.0913248	0.23375	0.633923
a21	0.000910964	0.00129984	0.00593894	0.0330553	0.230451	0.728344
a12	0.00143711	0.00191399	0.0074057	0.0291829	0.138206	0.821854
a18	0.0007443	0.00100257	0.00676925	0.041988	0.209885	0.739611
a25	0.00495698	0.00647259	0.018547	0.0699416	0.275288	0.624793
a10	0.232875	0.151969	0.0895733	0.0842231	0.162205	0.279155
a87	0.344762	0.239948	0.140984	0.0845929	0.101648	0.0880654
a57	0.243704	0.190916	0.140468	0.11009	0.156458	0.158364
a87	0.0654622	0.0671421	0.0650152	0.109117	0.349903	0.34336
a23	0.0425801	0.0409399	0.0548889	0.128089	0.390628	0.342874
a99	0.00294943	0.00178767	0.00443577	0.0330727	0.291768	0.665986
a97	0.00669501	0.00655582	0.0246443	0.0921204	0.416799	0.453186
</S>	0.00749553	0.00747679	0.0245491	0.0904562	0.372807	0.497215
