 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
a23	0.226949	0.149571	0.0923027	0.0780319	0.0803699	0.0856439	0.0872677	0.0846927	0.0506266	0.0229317	0.0222432	0.0193708
a99	0.377108	0.212295	0.114462	0.0634638	0.0558534	0.0504693	0.0387995	0.0246075	0.011698	0.00984868	0.0146469	0.0267479
a83	0.232389	0.196342	0.172419	0.0964827	0.0676438	0.0531346	0.0394898	0.0239061	0.0187028	0.0221789	0.0256553	0.0516565
a99	0.433345	0.291271	0.158014	0.0461075	0.0195115	0.0127057	0.00706897	0.00493633	0.00476996	0.00572633	0.00726843	0.00927546
a38	0.344577	0.260278	0.181176	0.0849067	0.0477423	0.0294754	0.0137511	0.00835393	0.00580329	0.0064927	0.00738021	0.0100635
a14	0.188845	0.184692	0.17242	0.147172	0.117142	0.0761859	0.0403624	0.0254185	0.0141639	0.0107235	0.0101345	0.012741
a35	0.10423	0.133851	0.159211	0.161291	0.136766	0.108519	0.0746342	0.0548805	0.0257024	0.0174032	0.010178	0.0133339
a75	0.12041	0.156103	0.180832	0.157863	0.121364	0.0934901	0.0676692	0.0457571	0.0208653	0.0151339	0.00897896	0.0115331
a41	0.0949153	0.141126	0.170955	0.162002	0.125205	0.091369	0.0747377	0.0552522	0.0320763	0.0198305	0.0148325	0.0176985
a37	0.0779782	0.107965	0.144857	0.146647	0.136042	0.11702	0.101968	0.0701702	0.0312891	0.0180406	0.0200499	0.0279723
a96	0.0597987	0.0741537	0.116262	0.145243	0.171322	0.154649	0.12089	0.0772744	0.0268373	0.0133312	0.0150259	0.0252131
a62	0.0530604	0.061332	0.084221	0.10688	0.141924	0.159918	0.152116	0.11508	0.0466181	0.0207716	0.0229438	0.0351361
a71	0.0303902	0.0330625	0.0580718	0.0730982	0.124935	0.174226	0.196997	0.149574	0.0597749	0.025778	0.0257234	0.0483694
a9	0.0278122	0.027209	0.0529796	0.0674889	0.135118	0.179184	0.2059	0.143834	0.0633949	0.0276995	0.0263515	0.0430286
a99	0.0155217	0.0158236	0.0329207	0.0486924	0.124123	0.18524	0.238038	0.164001	0.0885327	0.0333064	0.0230969	0.0307029
a38	0.0177048	0.0185839	0.038132	0.0535303	0.119116	0.180954	0.237893	0.156215	0.0886465	0.0343638	0.0226673	0.0321942
a62	0.0492198	0.0408486	0.0633771	0.0610037	0.114955	0.147359	0.174854	0.111537	0.06868	0.044079	0.0482221	0.0758642
a21	0.0303133	0.0290298	0.0483744	0.0595127	0.102543	0.130495	0.155359	0.119049	0.0857462	0.0594054	0.0787601	0.101411
a41	0.0425136	0.0385761	0.0578902	0.0642865	0.0867438	0.0991017	0.128251	0.101427	0.077272	0.0647342	0.0884859	0.150718
a73	0.0279279	0.0265103	0.0410706	0.0438875	0.0572521	0.0768936	0.111665	0.094008	0.0844486	0.0881157	0.116275	0.231945
a26	0.0505465	0.0464537	0.0658678	0.0575261	0.0579769	0.0687448	0.0903171	0.0747719	0.0714564	0.093058	0.112302	0.210979
a57	0.0364266	0.0345612	0.0601287	0.0644537	0.0830138	0.0945208	0.12391	0.0975716	0.0933146	0.0847806	0.0973896	0.129929
a87	0.0243162	0.0190005	0.0233676	0.022171	0.0366015	0.0488701	0.0776673	0.066639	0.0935763	0.103228	0.211697	0.272865
a23	0.0191252	0.0144171	0.0150204	0.0134694	0.0192958	0.0277575	0.0474285	0.0492507	0.0820228	0.121585	0.271924	0.318704
a62	0.0114408	0.00841199	0.00714936	0.00582783	0.00828355	0.0112176	0.0248059	0.0258773	0.0446784	0.0766607	0.248484	0.527162
a96	0.0323826	0.0271499	0.029876	0.0253674	0.0266183	0.0248214	0.0297496	0.0226351	0.0236709	0.0572257	0.270462	0.430041
a70	0.041445	0.0318523	0.0354832	0.0330573	0.0322522	0.0273505	0.0304003	0.0257973	0.027448	0.0541169	0.219266	0.441532
a61	0.0394333	0.0284806	0.0365013	0.0384922	0.0431685	0.0402349	0.0416741	0.0355441	0.0356379	0.0561543	0.185865	0.418814
