 	le	dépeceur	est	en	train	d'	aiguiser	son	couteau	</S>
a66	0.314803	0.298838	0.145971	0.0928143	0.0654162	0.0308004	0.0180107	0.0123117	0.0114555	0.00958008
a87	0.371493	0.291066	0.130997	0.0890336	0.0520252	0.0205267	0.013431	0.00985393	0.0100847	0.0114885
a97	0.237817	0.24928	0.157542	0.119141	0.0763228	0.0487412	0.0285484	0.0238404	0.0288578	0.0299085
a79	0.276931	0.304662	0.14797	0.0931123	0.0589081	0.0366246	0.0200115	0.0181041	0.0189875	0.0246889
a69	0.31591	0.381055	0.143189	0.0773036	0.040944	0.0166149	0.00599596	0.00436	0.00571938	0.00890818
a4	0.359453	0.402275	0.10825	0.0616725	0.0374299	0.0140837	0.00513224	0.00347819	0.00403702	0.0041886
a94	0.266614	0.373717	0.127636	0.0791921	0.0567309	0.0384614	0.0214744	0.0124076	0.0124021	0.0113654
a21	0.231461	0.313528	0.141205	0.0914475	0.0696304	0.0499315	0.0386144	0.0245177	0.020417	0.0192475
a12	0.232057	0.294366	0.134567	0.0946986	0.0778897	0.0568838	0.04311	0.0257975	0.0205696	0.0200602
a31	0.222442	0.252892	0.126622	0.0954477	0.0855214	0.0684567	0.0564412	0.0344216	0.0278304	0.0299248
a61	0.180223	0.190192	0.138289	0.101454	0.0903008	0.0769077	0.0739551	0.0519826	0.0454414	0.0512554
a21	0.10868	0.122092	0.117111	0.10537	0.104478	0.104577	0.110066	0.0846679	0.0676715	0.075286
a92	0.0448861	0.0573687	0.0686494	0.0769296	0.0884596	0.119815	0.146099	0.134089	0.121214	0.142489
a98	0.00728292	0.0181927	0.0425644	0.0754978	0.0971379	0.140342	0.15977	0.162968	0.142858	0.153387
a79	0.0157319	0.0476877	0.0961023	0.112593	0.113722	0.122453	0.141664	0.122286	0.112316	0.115444
a90	0.010481	0.0323155	0.0844179	0.135762	0.14727	0.144195	0.139326	0.11301	0.0899283	0.103294
a92	0.0126983	0.029363	0.0713294	0.125508	0.143607	0.130975	0.118599	0.112751	0.106456	0.148714
a98	0.00739219	0.0149807	0.0364678	0.0811385	0.106139	0.125387	0.137993	0.138155	0.14692	0.205425
a85	0.00358769	0.00831464	0.0188225	0.0480817	0.0721023	0.101785	0.116304	0.13109	0.190682	0.30923
a6	0.00224878	0.004591	0.00913918	0.0246038	0.0440634	0.0745286	0.102779	0.13212	0.218899	0.387026
a36	0.00242249	0.00376599	0.00697502	0.0177382	0.0315112	0.0615346	0.0987604	0.149717	0.247977	0.379598
a27	0.000779823	0.000988845	0.00202205	0.00481144	0.00821002	0.0228969	0.0606716	0.153671	0.302085	0.443864
a62	0.0011719	0.00130836	0.00426636	0.00879299	0.010274	0.0206772	0.0456935	0.130671	0.282882	0.494263
a47	0.00137407	0.00197833	0.00437867	0.00971258	0.0132106	0.0327872	0.0579393	0.14593	0.275499	0.45719
a88	0.00117084	0.00185097	0.00344308	0.0071036	0.0100399	0.0267711	0.0532527	0.151281	0.301079	0.444008
a98	0.000457762	0.00065222	0.00151562	0.00359073	0.0049674	0.0158775	0.0371791	0.124319	0.28872	0.522721
a47	3.32727e-05	4.78006e-05	0.000118545	0.000412026	0.000881595	0.00508274	0.0182237	0.0937521	0.300945	0.580503
a36	0.000281258	0.000233832	0.000602167	0.00161597	0.00293499	0.0136597	0.040811	0.142732	0.324596	0.472533
a2	0.0150542	0.00969893	0.0199302	0.0290616	0.0327044	0.0595778	0.0914224	0.165226	0.248534	0.32879
a57	0.0692967	0.0527489	0.0649134	0.0718281	0.0716735	0.0784875	0.102375	0.13614	0.165043	0.187494
a10	0.18585	0.134539	0.0877803	0.0910811	0.068924	0.0557419	0.0676564	0.0893446	0.105359	0.113724
a97	0.112054	0.0891143	0.0724911	0.0927492	0.0833377	0.0853443	0.0973087	0.103015	0.127504	0.137081
a87	0.0825668	0.0636503	0.0593908	0.0845834	0.0817091	0.0954621	0.101334	0.0992381	0.147089	0.184976
a97	0.0242734	0.0151073	0.0182573	0.0351329	0.0414901	0.073329	0.102245	0.134878	0.225793	0.329493
a38	0.0273672	0.0251568	0.0299527	0.0489148	0.0509736	0.0765365	0.0925305	0.11122	0.199174	0.338174
a97	0.00546871	0.00450425	0.00732475	0.0179892	0.0250011	0.0553499	0.0860151	0.119734	0.244429	0.434185
</S>	0.00971783	0.00955899	0.0137555	0.0276279	0.0311162	0.0544531	0.0682321	0.100735	0.22983	0.454973
