 	elle	balaya	sous	le	lit	</S>
a23	0.293727	0.300301	0.0902719	0.0860777	0.0951633	0.134459
a79	0.215082	0.209406	0.11763	0.141212	0.165871	0.150799
a20	0.18118	0.220247	0.14248	0.135291	0.148978	0.171824
a73	0.283213	0.338496	0.158715	0.107061	0.0653816	0.047134
a69	0.4043	0.369856	0.112928	0.0627888	0.0319952	0.0181312
a76	0.381684	0.306196	0.106363	0.0796161	0.0639093	0.0622322
a35	0.303465	0.267698	0.149863	0.120175	0.0888085	0.0699901
a34	0.280021	0.196173	0.14578	0.149774	0.129376	0.0988754
a35	0.249985	0.18172	0.125162	0.143276	0.15389	0.145967
a25	0.149369	0.115645	0.115361	0.167535	0.220364	0.231726
a10	0.131664	0.119097	0.0962431	0.144238	0.220722	0.288036
a11	0.0872292	0.0786871	0.061643	0.101624	0.213931	0.456885
a75	0.0899514	0.0596731	0.0552285	0.0897642	0.208123	0.49726
a25	0.039059	0.0331159	0.0502687	0.110933	0.254231	0.512392
a90	0.0342184	0.0327471	0.0516383	0.10494	0.249049	0.527408
a38	0.0340388	0.0305668	0.0435546	0.0744144	0.200378	0.617048
a34	0.0166309	0.0137661	0.0269565	0.0638043	0.200145	0.678697
a47	0.0260346	0.0200198	0.034582	0.0854278	0.226982	0.606954
a62	0.0113096	0.00818122	0.0182486	0.0537941	0.197609	0.710858
a83	0.0112895	0.00768513	0.018479	0.05784	0.20368	0.701026
a9	0.021964	0.0146345	0.0279798	0.0718408	0.216444	0.647137
a99	0.0686673	0.0460682	0.068633	0.114268	0.220731	0.481632
a87	0.0503024	0.03063	0.0502586	0.094613	0.223137	0.551059
</S>	0.0359265	0.0289979	0.0590294	0.10174	0.231474	0.542832
