 	les	canards	marchent	dans	la	cour	</S>
a66	0.550291	0.249288	0.0690201	0.0228919	0.0351629	0.042088	0.0312581
a87	0.659883	0.283025	0.0250388	0.00738266	0.00687287	0.00934763	0.00844926
a23	0.658781	0.222165	0.0475452	0.0126485	0.0154562	0.0203179	0.0230866
a40	0.305066	0.208495	0.0620804	0.0409475	0.0867767	0.127888	0.168747
a36	0.556107	0.257782	0.0690611	0.0264074	0.0276751	0.0332479	0.0297187
a0	0.381574	0.355783	0.170275	0.0372892	0.0176838	0.019252	0.0181431
a12	0.282438	0.303388	0.212707	0.126993	0.0329827	0.023683	0.0178081
a56	0.13945	0.248038	0.300943	0.209352	0.0546106	0.0286852	0.0189226
a37	0.0899887	0.200077	0.307938	0.246857	0.0824072	0.0426328	0.0300998
a98	0.0336945	0.0668308	0.170718	0.357608	0.197197	0.102905	0.0710462
a47	0.00988879	0.040027	0.16037	0.302565	0.221442	0.174677	0.0910306
a92	0.00201231	0.00343485	0.0199352	0.249985	0.246967	0.268361	0.209304
a37	0.00181122	0.00274649	0.010829	0.16179	0.286478	0.312016	0.224329
a15	0.00199667	0.00253149	0.00608353	0.076356	0.223654	0.309041	0.380337
a25	0.000142184	0.00019378	0.00103385	0.0362364	0.159822	0.317136	0.485436
a79	0.000331231	0.000487734	0.00101286	0.0242927	0.110924	0.238872	0.62408
a75	0.00014558	0.000213331	0.000976127	0.0233333	0.101562	0.242658	0.631112
a5	0.000129341	0.000212412	0.00123676	0.0204056	0.111465	0.257746	0.608805
a18	0.000152803	0.000248407	0.00159228	0.0241413	0.105275	0.237435	0.631155
a71	0.000304421	0.000487873	0.00202837	0.0234779	0.102284	0.26093	0.610487
a3	0.00302622	0.00374345	0.00608919	0.0288684	0.142499	0.301609	0.514165
a87	0.148433	0.103428	0.0817947	0.113618	0.163094	0.185786	0.203846
a23	0.477364	0.287263	0.088812	0.0459978	0.0366383	0.033351	0.030574
a99	0.123209	0.132645	0.041911	0.0767037	0.126443	0.152171	0.346918
a97	0.0379332	0.0274174	0.0199017	0.0544763	0.154839	0.250663	0.454769
</S>	0.00619067	0.00549585	0.00673508	0.0486189	0.15909	0.256163	0.517706
