 	ils	sont	venus	pour	disputer	les	habits	du	mort	</S>
a87	0.101251	0.0935704	0.128755	0.224027	0.300934	0.0936213	0.0381955	0.0106498	0.00547537	0.00351968
a23	0.219606	0.143065	0.0854386	0.0532109	0.0810207	0.0858787	0.0814872	0.084496	0.0808815	0.0849151
a54	0.190184	0.161706	0.116403	0.104546	0.135933	0.067133	0.0652798	0.0502783	0.047549	0.0609878
a47	0.376502	0.214019	0.122129	0.0748877	0.0375653	0.0389754	0.0410361	0.0344523	0.0299813	0.0304513
a5	0.205043	0.202272	0.203253	0.188044	0.0945705	0.0436622	0.0242163	0.0126663	0.0113334	0.0149394
a61	0.192463	0.198505	0.222782	0.183606	0.0963547	0.0453597	0.0250186	0.0112004	0.0104925	0.0142177
a34	0.184819	0.184859	0.213241	0.204485	0.110097	0.0507408	0.0223461	0.00960388	0.00867625	0.0111316
a93	0.152571	0.156506	0.198489	0.209672	0.143876	0.0660941	0.0286174	0.014244	0.0128327	0.0170978
a13	0.151962	0.159836	0.201798	0.201162	0.130805	0.0601838	0.0308287	0.0190897	0.0180524	0.0262825
a9	0.116535	0.15115	0.205917	0.237958	0.151017	0.0682261	0.0270344	0.0144531	0.0128028	0.0149069
a38	0.0663844	0.0880997	0.148063	0.225167	0.156675	0.0999779	0.0522249	0.0423681	0.0513849	0.0696545
a34	0.0591679	0.0721513	0.117431	0.245075	0.198045	0.105104	0.045783	0.0384143	0.0493277	0.0695012
a93	0.0695845	0.0852842	0.157222	0.241754	0.16705	0.108998	0.065111	0.0368772	0.0312728	0.0368469
a34	0.0589705	0.0711086	0.123726	0.209391	0.155897	0.119864	0.0955445	0.0617479	0.0499204	0.0538292
a61	0.0519615	0.0597362	0.0928324	0.163646	0.134252	0.12585	0.126919	0.0994997	0.076402	0.0689018
a47	0.0466478	0.0477733	0.0700185	0.13602	0.127671	0.128757	0.133224	0.120587	0.0999914	0.08931
a66	0.0336747	0.0280451	0.0365601	0.0739103	0.110077	0.133001	0.149911	0.159421	0.143063	0.132336
a75	0.0074855	0.00604853	0.00691713	0.0198045	0.0722504	0.133728	0.134793	0.164742	0.204688	0.249543
a85	0.0216067	0.0198865	0.0251387	0.0534376	0.0760486	0.0908694	0.102776	0.149206	0.18438	0.27665
a61	0.0131723	0.0135165	0.0197605	0.0434903	0.0570643	0.0769851	0.0895942	0.154847	0.208443	0.323127
a85	0.00721101	0.00544039	0.00675639	0.0145143	0.0244235	0.0412141	0.0682774	0.139257	0.244959	0.447947
a37	0.0109679	0.00974794	0.0133031	0.0282978	0.0304944	0.0493818	0.0690604	0.150208	0.234107	0.404432
a56	0.00317541	0.0021006	0.00229716	0.00605034	0.0114621	0.0242767	0.0479266	0.127975	0.24589	0.528846
a93	0.00455379	0.00320069	0.00392767	0.00818454	0.0170385	0.0361273	0.0667556	0.139495	0.241555	0.479162
a4	0.00165136	0.00115712	0.00133106	0.00225972	0.00596914	0.0171807	0.0418997	0.108776	0.231686	0.58809
a34	0.00104244	0.00082643	0.00105766	0.00167811	0.00489419	0.0157946	0.0369707	0.101044	0.226035	0.610657
a62	0.00104025	0.000844292	0.00102849	0.00169109	0.00490333	0.0147301	0.0373714	0.112043	0.24357	0.582778
a83	0.00126817	0.00106212	0.00120079	0.00167688	0.00448386	0.0148826	0.0362454	0.105193	0.232497	0.60149
a9	0.000710005	0.000516054	0.000583655	0.000801497	0.00181928	0.00641678	0.0163415	0.0701213	0.204535	0.698155
a97	0.00303457	0.00201269	0.00186205	0.00276696	0.00488177	0.0117203	0.0295	0.118813	0.272545	0.552864
a87	0.0287537	0.0199402	0.0200947	0.0207902	0.058161	0.0773413	0.103769	0.162502	0.217674	0.290973
a97	0.0428242	0.0331665	0.0361859	0.040595	0.0952942	0.102246	0.103675	0.136632	0.17942	0.229961
a87	0.0974848	0.0659683	0.0634414	0.0801461	0.0996916	0.102744	0.0873977	0.100583	0.12436	0.178183
a23	0.081839	0.066652	0.0716461	0.0922655	0.109372	0.0938424	0.0769991	0.0825108	0.115596	0.209278
a87	0.0270158	0.0161584	0.0108591	0.00828609	0.016549	0.0299328	0.0592817	0.129936	0.222865	0.479116
</S>	0.0249891	0.0191421	0.0129787	0.0128885	0.016588	0.0258468	0.0460808	0.110552	0.204109	0.526824
