 	ce	n'	est	pas	mon	affaire	c'	est	ton	affaire	</S>
a23	0.197209	0.0975412	0.0725038	0.0792386	0.103182	0.125052	0.0788479	0.0693119	0.0667633	0.0573991	0.0529513
a87	0.277868	0.122557	0.0942322	0.0709592	0.0663305	0.0769077	0.0627228	0.054594	0.0618243	0.055894	0.0561109
a23	0.153774	0.113721	0.0981892	0.0787562	0.0710395	0.0812081	0.0868431	0.0809509	0.0824783	0.0755906	0.0774497
a24	0.290626	0.163973	0.122207	0.0780566	0.063855	0.0677902	0.0476978	0.0426175	0.0436235	0.0390275	0.0405263
a38	0.396019	0.229332	0.133226	0.079415	0.0546001	0.0477045	0.0277677	0.0134503	0.00852408	0.0050173	0.00494462
a76	0.326054	0.224257	0.14446	0.0850486	0.0598023	0.0546047	0.0390201	0.0235741	0.0178224	0.0134125	0.0119452
a44	0.164771	0.173403	0.165718	0.129024	0.104746	0.0991396	0.0702498	0.039279	0.0262859	0.0155053	0.0118792
a13	0.178644	0.183938	0.162953	0.125173	0.099933	0.0915418	0.0659883	0.0368286	0.0250015	0.0159604	0.014037
a38	0.118669	0.140428	0.146788	0.138588	0.124895	0.110912	0.0830719	0.0512039	0.0342137	0.0248448	0.0263857
a26	0.0939333	0.112398	0.123967	0.135458	0.137238	0.130852	0.106039	0.0681745	0.0405518	0.0271445	0.0242429
a24	0.0879549	0.0993557	0.110463	0.126294	0.13714	0.13357	0.113531	0.0791774	0.0484738	0.0338937	0.0301464
a94	0.100583	0.106773	0.111955	0.124764	0.136078	0.132895	0.104048	0.0757761	0.0506984	0.0316046	0.0248262
a76	0.0601121	0.0755683	0.0940301	0.124202	0.150507	0.15233	0.114545	0.0859952	0.0629724	0.0422489	0.0374888
a35	0.0667319	0.0782328	0.0939215	0.126954	0.149519	0.143417	0.104174	0.0884574	0.0663269	0.0440748	0.0381912
a14	0.0502472	0.0574838	0.0712793	0.105901	0.132951	0.133482	0.102845	0.102953	0.092905	0.0758922	0.0740599
a35	0.0360903	0.0476299	0.0626863	0.10138	0.133408	0.125565	0.105698	0.117632	0.104075	0.0845045	0.0813312
a41	0.0358132	0.0436249	0.0574213	0.0947334	0.127809	0.110992	0.0936344	0.116963	0.110199	0.0995243	0.109286
a57	0.0276238	0.0320957	0.0420833	0.071563	0.106639	0.10243	0.0883414	0.114534	0.126236	0.134081	0.154373
a38	0.0128561	0.0144653	0.0209212	0.0392098	0.0649644	0.0662922	0.079916	0.133665	0.160493	0.190631	0.216586
a75	0.0125818	0.0123941	0.0188543	0.0375369	0.0639457	0.0697676	0.0832226	0.136694	0.153358	0.189196	0.222449
a14	0.00884384	0.0106239	0.0161353	0.0318147	0.0495915	0.0474414	0.0530878	0.103242	0.133278	0.207738	0.338204
a73	0.00933012	0.00998846	0.0141502	0.0237544	0.0354736	0.0348107	0.0402345	0.0836402	0.138976	0.22584	0.383802
a57	0.0098677	0.00832906	0.0107667	0.0186369	0.0314384	0.034833	0.0366424	0.074902	0.13053	0.234244	0.40981
a87	0.0111607	0.00821062	0.0112731	0.0195068	0.0332706	0.0302811	0.0365834	0.0829321	0.1204	0.222789	0.423593
a23	0.00827941	0.0053257	0.00777656	0.0129213	0.0216277	0.0192512	0.0311522	0.0862634	0.143577	0.236789	0.427036
a24	0.0300484	0.0198342	0.0255959	0.0362423	0.0475839	0.0324359	0.0461964	0.101445	0.152195	0.196313	0.31211
a98	0.00835994	0.00610278	0.00867109	0.0149832	0.0249408	0.0260888	0.0295518	0.0610007	0.108868	0.212765	0.498668
a66	0.00585183	0.00444707	0.00653519	0.0118974	0.0180012	0.0160208	0.0195832	0.0479735	0.104747	0.228248	0.536695
a11	0.00276243	0.00268745	0.00488716	0.0106643	0.0200655	0.0201916	0.026792	0.0679249	0.126097	0.226566	0.491362
a62	0.00246754	0.00198603	0.00371557	0.00779779	0.0155324	0.0155785	0.023697	0.0683588	0.12711	0.238261	0.495496
a24	0.0031337	0.00246114	0.00375304	0.00705994	0.0123761	0.0134181	0.0175316	0.0450068	0.0996501	0.221339	0.574271
a21	0.00523424	0.00380037	0.00605893	0.0105861	0.0182379	0.0201848	0.025702	0.0599877	0.112242	0.218389	0.519576
a75	0.00399091	0.00341477	0.00483481	0.00929523	0.0143783	0.0132154	0.016768	0.041618	0.0821693	0.208004	0.602311
a98	0.00747547	0.00584759	0.00755707	0.0130458	0.0198399	0.0180379	0.019774	0.044005	0.0868678	0.197367	0.580183
a14	0.00673175	0.00561357	0.00727806	0.0122285	0.0181635	0.0175598	0.0203837	0.0383374	0.0787236	0.198584	0.596396
a35	0.00512748	0.00393535	0.00578582	0.0103185	0.0183605	0.0187008	0.0235574	0.0539447	0.09985	0.208073	0.552346
a44	0.00355928	0.00297461	0.00443391	0.00799718	0.0145449	0.0155972	0.0201406	0.049379	0.0926332	0.214936	0.573804
a84	0.00739944	0.00528175	0.00752378	0.0129998	0.0231002	0.0237848	0.027915	0.0651158	0.110297	0.215979	0.500603
a87	0.0135486	0.00974772	0.0125222	0.0179424	0.025696	0.0244874	0.037239	0.0884629	0.133606	0.232511	0.404237
a23	0.03015	0.0175351	0.0182286	0.0194344	0.0231136	0.0202856	0.0291787	0.0687919	0.121276	0.238484	0.413522
a87	0.0682771	0.0515025	0.0580225	0.0616372	0.0612642	0.0407819	0.0469741	0.0833153	0.108368	0.159296	0.260561
</S>	0.0370286	0.0327509	0.0434108	0.0546353	0.0604206	0.0408516	0.0511344	0.0959058	0.1262	0.169718	0.287945
