 	a	l'	école	il	s'	est	avéré	un	bon	élève	</S>
a10	0.249585	0.147139	0.0563631	0.0407136	0.0353287	0.0360287	0.0408088	0.0453925	0.0687986	0.113421	0.166421
a11	0.200653	0.118602	0.0793331	0.0678001	0.0790425	0.0831249	0.0744058	0.0614528	0.0587242	0.0704711	0.106391
a10	0.275461	0.157643	0.0893932	0.0578901	0.06523	0.0533529	0.039795	0.0348627	0.0416871	0.0597336	0.124951
a87	0.253635	0.178368	0.0869541	0.0588758	0.0632203	0.0543836	0.0371823	0.0409855	0.0520312	0.0680964	0.106268
a23	0.23391	0.17272	0.112577	0.0713427	0.0650799	0.0478902	0.0429283	0.0494999	0.0588593	0.0619511	0.083241
a10	0.216718	0.220533	0.141768	0.0765891	0.0603902	0.0324406	0.0203133	0.0280893	0.0436299	0.0619761	0.0975531
a11	0.233671	0.24079	0.148026	0.0762677	0.0609425	0.037099	0.0239798	0.0252513	0.0356738	0.045525	0.0727739
a32	0.260789	0.287824	0.179698	0.0918002	0.0724615	0.0398054	0.0168006	0.0109447	0.0118704	0.01168	0.0163262
a0	0.239523	0.276079	0.199398	0.104503	0.0745231	0.040245	0.0197189	0.0101945	0.01041	0.0104601	0.0149459
a43	0.241451	0.286028	0.208804	0.0976456	0.0696296	0.041725	0.0242338	0.00971274	0.00753962	0.00624153	0.0069892
a75	0.178135	0.188422	0.166645	0.119416	0.107014	0.0874596	0.0695335	0.0272631	0.0198537	0.0165097	0.0197482
a0	0.155539	0.160626	0.156696	0.15017	0.137927	0.0971745	0.0690194	0.0307793	0.0198644	0.011997	0.0102081
a94	0.111491	0.107411	0.115341	0.134668	0.14895	0.139019	0.121866	0.050448	0.0299035	0.0201678	0.0207345
a76	0.0998198	0.0939824	0.108689	0.148866	0.16329	0.146701	0.121937	0.0488832	0.0277435	0.0192248	0.0208629
a41	0.0782952	0.0779659	0.0970469	0.162219	0.185306	0.157938	0.117427	0.0538986	0.0311512	0.0202187	0.0185321
a32	0.0656604	0.0684339	0.0806146	0.139616	0.167204	0.160186	0.127746	0.0709749	0.0509615	0.0383115	0.0302925
a25	0.0568178	0.061418	0.0816606	0.111155	0.134299	0.159607	0.154374	0.0938612	0.0594174	0.0424994	0.0448902
a40	0.0271647	0.0299136	0.039418	0.0536394	0.0787041	0.16526	0.228799	0.143825	0.0843304	0.0662836	0.0826627
a76	0.032614	0.0370451	0.0469412	0.0602742	0.0806395	0.149279	0.219783	0.138627	0.0849982	0.0694829	0.0803169
