 	les	habitants	de	mbese	ont	revêtu	leur	route	de	petites	termitières	noires	</S>
a66	0.135858	0.240898	0.328812	0.132692	0.0744237	0.0207667	0.00994435	0.011908	0.0139039	0.00833149	0.00791225	0.00606123	0.00848789
a87	0.470729	0.233299	0.187652	0.0515003	0.010872	0.00253806	0.00291705	0.00456798	0.00576395	0.006447	0.00687252	0.00583171	0.0110102
a23	0.375087	0.259263	0.160001	0.0452377	0.0241266	0.00945964	0.00811546	0.0120215	0.0185526	0.0209062	0.0192745	0.0173944	0.0305614
a83	0.19785	0.185846	0.0915434	0.0529779	0.0365745	0.0221583	0.0407828	0.0560853	0.0545576	0.0638616	0.0453373	0.050753	0.101672
a75	0.161013	0.144132	0.165816	0.110129	0.0501069	0.0257524	0.0293241	0.0445146	0.0503373	0.0539195	0.0444533	0.0449373	0.0755643
a5	0.129323	0.153637	0.22123	0.212399	0.066733	0.0295077	0.0220457	0.0356878	0.0289072	0.0245913	0.0266125	0.021746	0.0275799
a75	0.104906	0.1145	0.179846	0.188869	0.0643582	0.0366103	0.030514	0.039363	0.0423901	0.0444726	0.0458749	0.0480346	0.0602617
a85	0.115573	0.0943913	0.159824	0.181414	0.0721469	0.0556078	0.0431722	0.0466911	0.0452932	0.0385987	0.048001	0.0447696	0.0545171
a47	0.0750993	0.0539967	0.0731356	0.140649	0.0722153	0.0749589	0.0706048	0.0572703	0.0572135	0.0507739	0.066257	0.0871709	0.120655
a7	0.103972	0.0756985	0.0845502	0.127635	0.0637613	0.0583956	0.0651034	0.0485583	0.0473525	0.0425614	0.0560023	0.0859199	0.14049
a93	0.0951949	0.0859265	0.117195	0.135849	0.0737948	0.0454805	0.042253	0.0378505	0.0437857	0.0487904	0.0682185	0.0880335	0.117628
a4	0.100191	0.100577	0.128578	0.195351	0.0897682	0.0480946	0.0329792	0.0284287	0.0345999	0.0363263	0.0515295	0.0661639	0.0874118
a66	0.042535	0.0787914	0.11057	0.141703	0.153578	0.0782394	0.0515503	0.0459978	0.0459783	0.0443044	0.0460604	0.0654155	0.0952763
a93	0.0183479	0.0527067	0.0828862	0.0763848	0.12843	0.0644478	0.0658942	0.0821793	0.0919468	0.0748445	0.0735431	0.0830222	0.105367
a56	0.0210975	0.0468952	0.0765229	0.0937733	0.199378	0.120498	0.0764779	0.0735775	0.0754373	0.0496391	0.0430768	0.0520703	0.0715563
a98	0.00904137	0.0172535	0.0271206	0.0345023	0.144808	0.107769	0.0953054	0.0785158	0.0821049	0.071055	0.059161	0.112759	0.160604
a92	0.00125453	0.00284029	0.00531396	0.00736067	0.0626649	0.104439	0.151872	0.118103	0.113357	0.0944923	0.0637659	0.107769	0.166768
a12	0.00101544	0.00187455	0.00324967	0.00480185	0.0444501	0.0774828	0.116033	0.105067	0.0972874	0.0978851	0.074691	0.14792	0.228242
a47	0.00165371	0.00241326	0.00327588	0.00474867	0.0243222	0.0405541	0.0819434	0.0825104	0.0673191	0.0958844	0.0858001	0.209306	0.300268
a88	0.00134727	0.00215683	0.00295092	0.00425999	0.0142746	0.026873	0.0625038	0.0715209	0.0755747	0.106176	0.0878237	0.21089	0.333649
a66	0.0012234	0.00190782	0.0025341	0.00310464	0.00794606	0.0166219	0.0467004	0.0541976	0.0536462	0.0892709	0.0770226	0.246719	0.399106
a4	0.00320838	0.00561536	0.00706057	0.00507909	0.011518	0.034111	0.0758163	0.0677579	0.050394	0.0724078	0.0607699	0.21038	0.395882
a93	0.000693427	0.00123437	0.00182754	0.00237413	0.00601783	0.0129639	0.0441329	0.0582058	0.0636991	0.104462	0.0828737	0.235826	0.385689
a4	0.000361272	0.000577005	0.000825289	0.00097722	0.00291402	0.00779658	0.0303588	0.0390171	0.0430369	0.0840103	0.0808315	0.283561	0.425733
a13	0.000195616	0.000304727	0.000412573	0.000455863	0.00149381	0.00589474	0.0257377	0.0289847	0.0398809	0.0893575	0.0914761	0.282519	0.433287
a3	0.00105808	0.00132108	0.00190531	0.00253967	0.00775911	0.0298287	0.0715896	0.0536277	0.0612673	0.0993936	0.0832755	0.217822	0.368613
a87	0.00917454	0.0084265	0.0134658	0.010163	0.0241642	0.0796027	0.133582	0.104807	0.0988791	0.112094	0.0870768	0.136389	0.182175
a23	0.133799	0.089051	0.107951	0.0745119	0.0725718	0.0676007	0.08289	0.08526	0.0686307	0.0713199	0.0387316	0.044027	0.0636559
a99	0.0297823	0.0115794	0.00949531	0.00927011	0.0089658	0.0182483	0.0366301	0.0341858	0.0592778	0.128191	0.120439	0.203654	0.330281
a87	0.0239963	0.0129078	0.00865188	0.0078641	0.00958025	0.0195552	0.0396932	0.0417403	0.0541766	0.116575	0.125009	0.217589	0.322661
</S>	0.00753501	0.00582112	0.00437267	0.00425764	0.0123228	0.0305041	0.067888	0.0650426	0.0803475	0.166184	0.109171	0.161124	0.285431
