 	j'	ai	découvert	un	bois	mort	sur	lequel	poussent	des	champignons	apebha	dans	la	forêt	oyoa	</S>
a66	0.0517078	0.0393582	0.0397665	0.0366672	0.0380127	0.0576669	0.108037	0.157182	0.159492	0.111488	0.0574339	0.0540445	0.0354514	0.0176669	0.0145117	0.0114381	0.0100748
a87	0.127232	0.0953585	0.0879962	0.0800188	0.0659151	0.0477161	0.0572588	0.0553581	0.0453783	0.0414044	0.0432259	0.0572416	0.0352837	0.0372601	0.0434045	0.0388035	0.0411441
a23	0.192156	0.166322	0.191725	0.108843	0.0647495	0.03954	0.0424695	0.0360171	0.0237643	0.0239534	0.0167771	0.0215567	0.0163639	0.0153521	0.0150764	0.0122363	0.0130973
a99	0.24983	0.200994	0.219863	0.0751649	0.0343155	0.0171322	0.0114745	0.0078399	0.00835981	0.00971509	0.0114895	0.018975	0.02368	0.0320124	0.0304737	0.0182095	0.0304713
a62	0.258651	0.119898	0.169061	0.0643103	0.0307716	0.0306948	0.0293452	0.0226822	0.0303672	0.032828	0.0354103	0.034486	0.0325724	0.0260161	0.0216322	0.026047	0.0352259
a61	0.349376	0.171227	0.124385	0.0828829	0.0523157	0.0430659	0.0435584	0.0425854	0.0323303	0.0230777	0.0119802	0.00965223	0.0053624	0.00315923	0.00199723	0.00152054	0.00152455
a96	0.167113	0.134754	0.154979	0.138384	0.0790733	0.0752863	0.0843268	0.0557791	0.0297659	0.0265388	0.0167074	0.0161294	0.0098587	0.00535397	0.00251805	0.00187754	0.00155436
a88	0.146254	0.145125	0.145033	0.16028	0.0846272	0.0754558	0.0813768	0.0464677	0.021887	0.0204454	0.0159035	0.0198304	0.0144264	0.00939392	0.00519692	0.0042516	0.00404568
a18	0.0908584	0.0812413	0.0871624	0.130096	0.0908255	0.0932538	0.120265	0.0708835	0.0429016	0.0347815	0.0278183	0.0336559	0.0286185	0.0226135	0.016472	0.0142601	0.0142935
a96	0.0569072	0.0673397	0.0821986	0.125867	0.0943994	0.0860148	0.0786429	0.0460383	0.034864	0.0315607	0.0293483	0.0402118	0.0409857	0.0351071	0.0367818	0.0453206	0.0684117
