 	ils	font	la	chasse	aux	hérissons	dans	la	petite	plaine	au	mi	lieu	de	la	forêt	</S>
a85	0.0347197	0.0398414	0.0536494	0.104022	0.131481	0.157134	0.195105	0.147492	0.0830588	0.0310643	0.0122841	0.00385348	0.00214357	0.00101325	0.000954221	0.00107134	0.00111286
a87	0.0597335	0.0436505	0.0528362	0.0689093	0.0706491	0.148559	0.206907	0.129049	0.0998091	0.0405898	0.031803	0.0127716	0.00765299	0.00469432	0.00533468	0.00812658	0.0089234
a23	0.0639378	0.0573807	0.0486892	0.0502881	0.0458108	0.0546808	0.0475849	0.0409351	0.0408646	0.0274076	0.022131	0.0258655	0.0269202	0.04039	0.0575363	0.123695	0.225882
a20	0.065629	0.0424846	0.0365861	0.0334264	0.0260419	0.0292872	0.0311992	0.0278835	0.0250035	0.0215818	0.0233602	0.0323666	0.0502196	0.0620881	0.0753018	0.145411	0.272129
a44	0.276441	0.108361	0.0984599	0.0682997	0.0412251	0.0367805	0.0501487	0.0609795	0.070465	0.0729071	0.0509136	0.0246631	0.016386	0.00832297	0.00551505	0.00503492	0.00509727
a20	0.337831	0.143381	0.114663	0.0797115	0.050395	0.025654	0.0261816	0.0327808	0.0310841	0.0359148	0.0302357	0.0332105	0.0302834	0.0125661	0.00651768	0.00489078	0.00469963
a47	0.190912	0.112574	0.102877	0.0720718	0.0502417	0.0315169	0.0355158	0.0444947	0.0360168	0.039045	0.0276983	0.0404028	0.0522889	0.0462998	0.0403107	0.03832	0.0394143
a26	0.180516	0.0895299	0.0905533	0.0577845	0.0375752	0.0246666	0.0351823	0.0475777	0.0455575	0.0489207	0.031587	0.044594	0.0661478	0.05915	0.0502625	0.0471824	0.0432125
a47	0.148831	0.0913096	0.100101	0.0703126	0.0556508	0.031163	0.0389587	0.0524876	0.0491194	0.0573981	0.0362344	0.0477933	0.0555091	0.0408535	0.0370092	0.0414855	0.045783
a88	0.148071	0.0972694	0.112597	0.0812902	0.0608933	0.0373115	0.0424967	0.0487949	0.0471895	0.0522122	0.026499	0.034836	0.0422178	0.037516	0.0401987	0.0447683	0.0458384
a75	0.140553	0.131509	0.141389	0.110724	0.0908144	0.046605	0.0429954	0.0462573	0.0436301	0.0439084	0.0243778	0.0267738	0.0271504	0.0206816	0.0203087	0.0209562	0.0213654
a47	0.103019	0.103983	0.120095	0.103444	0.0783682	0.0513119	0.0485905	0.0450053	0.0380506	0.0351407	0.0200945	0.0305582	0.0358514	0.0384072	0.0443617	0.0507658	0.0529536
a37	0.0774347	0.106813	0.124771	0.116908	0.0896441	0.0565111	0.0476663	0.0415521	0.0366472	0.0365264	0.0228477	0.0342638	0.03424	0.038016	0.0424695	0.0461782	0.0475113
a66	0.0831943	0.116917	0.134116	0.150974	0.137688	0.0809244	0.0610846	0.0557949	0.0439912	0.0376834	0.0185481	0.0179177	0.0138319	0.0117385	0.01101	0.0117693	0.0128161
a21	0.042047	0.0752159	0.0856015	0.117036	0.145782	0.126881	0.0883506	0.0713857	0.0497106	0.0432337	0.0227511	0.0242845	0.0196771	0.0192196	0.019894	0.0223978	0.0265314
a98	0.0742714	0.0909634	0.10301	0.121807	0.119485	0.0937462	0.0685069	0.0530455	0.0377961	0.0267652	0.013583	0.0198407	0.0222411	0.0319627	0.0363622	0.0414925	0.0451209
a85	0.0593527	0.0631718	0.0680814	0.072275	0.0781178	0.0769801	0.0592416	0.0460219	0.0358296	0.0315544	0.0239173	0.0347651	0.0376602	0.0565016	0.0705208	0.0887057	0.097303
a43	0.0462321	0.0468698	0.0515588	0.057575	0.0640431	0.0665446	0.0517252	0.0390403	0.0327241	0.0281769	0.0227126	0.0320998	0.0408597	0.0651813	0.0927797	0.12349	0.138387
a75	0.0532331	0.0675442	0.0623801	0.0635451	0.0709893	0.0887067	0.0639448	0.0523234	0.0380269	0.040146	0.0251981	0.0426897	0.0417108	0.0570353	0.0654027	0.0785276	0.0885961
a37	0.0477111	0.0589822	0.0517461	0.0499454	0.0522668	0.0596787	0.0380553	0.0270238	0.0173236	0.0204599	0.0159837	0.0338655	0.0368158	0.0749152	0.107861	0.139599	0.167767
a44	0.0185869	0.0323083	0.0277775	0.0327296	0.0492199	0.0955891	0.06796	0.0552081	0.0365396	0.0529139	0.0311635	0.0559525	0.0517137	0.0591596	0.0819578	0.108375	0.142845
a98	0.0167237	0.0293101	0.0253831	0.0290794	0.043396	0.0849474	0.0564424	0.0404772	0.0234802	0.0311739	0.0223504	0.0493746	0.0528554	0.0781534	0.109304	0.141293	0.166256
a92	0.0202022	0.0285836	0.0279698	0.0307971	0.0386382	0.0538252	0.0416568	0.0308897	0.0194174	0.0268991	0.0248091	0.0495834	0.0643348	0.0970456	0.125319	0.151989	0.16804
a25	0.0221826	0.0268486	0.0260124	0.0259418	0.0287784	0.0409899	0.0316354	0.0239845	0.0156129	0.0241786	0.0229985	0.0472775	0.0694014	0.0917138	0.126268	0.166643	0.209533
a56	0.0121542	0.0157809	0.0152017	0.0165402	0.0191795	0.0269346	0.0225525	0.017354	0.0119529	0.0195393	0.0209941	0.0486115	0.0749379	0.10091	0.145167	0.197163	0.235027
a90	0.0041809	0.00561453	0.00548522	0.00529339	0.00622433	0.0112696	0.0108012	0.0088971	0.00664014	0.0123965	0.0143888	0.0425658	0.0730632	0.124229	0.168693	0.225826	0.274432
a94	0.0062567	0.00889129	0.00884457	0.00905148	0.00984837	0.0168661	0.0155921	0.0127309	0.00881417	0.0141829	0.0151861	0.0356649	0.0574097	0.103034	0.15421	0.221649	0.301768
a13	0.00105644	0.00139552	0.00120407	0.00115346	0.00130435	0.00241676	0.00270984	0.00250411	0.00210785	0.00357438	0.00481174	0.0131226	0.0241138	0.0726609	0.144689	0.286483	0.434692
a53	0.0020601	0.00259504	0.00207141	0.00230708	0.00284517	0.00805938	0.00715413	0.00549633	0.00418042	0.00414201	0.00474023	0.00810202	0.0153389	0.0455093	0.143858	0.353032	0.388509
a4	0.00106507	0.00146904	0.0012351	0.00110165	0.00118986	0.00279958	0.00260784	0.00211778	0.00188822	0.00328847	0.0040825	0.0090466	0.0154785	0.0448079	0.126963	0.309899	0.47096
a57	0.00126155	0.00155311	0.00124514	0.00119363	0.00123082	0.00282573	0.00259278	0.00179054	0.00153596	0.00273374	0.00359937	0.00823035	0.0137579	0.043911	0.136379	0.342864	0.433296
a82	0.00134482	0.0017036	0.0015103	0.00158316	0.00217563	0.00727611	0.00650639	0.00436283	0.00313325	0.00353781	0.00508966	0.00912138	0.0178478	0.0643795	0.169039	0.345741	0.355648
a10	0.0142692	0.0157589	0.0142253	0.0150043	0.0212985	0.0653079	0.0544173	0.0339201	0.0185677	0.0192222	0.0243707	0.0311974	0.0308203	0.0814658	0.131947	0.200123	0.228084
a87	0.0329917	0.0354171	0.030281	0.0340323	0.0383403	0.0862172	0.0877833	0.0682563	0.0486394	0.0440706	0.0421217	0.0467793	0.0424435	0.0700115	0.0840494	0.102033	0.106533
a23	0.0317638	0.0271872	0.022582	0.0318556	0.0453634	0.13025	0.131362	0.10305	0.0821594	0.0662233	0.0466825	0.0367187	0.0284648	0.0379554	0.0489245	0.0629711	0.0664862
a97	0.0072987	0.00702627	0.00589457	0.00863071	0.0111286	0.0302285	0.0230771	0.0175373	0.0169573	0.0192787	0.0216778	0.0368999	0.059657	0.0900356	0.151715	0.23204	0.260917
</S>	0.00296737	0.00342297	0.00324644	0.00500804	0.00536937	0.0143149	0.0114843	0.00827552	0.00924307	0.00918079	0.0106194	0.0190788	0.034223	0.0719053	0.169563	0.314561	0.307537
