 	il	fait	toujours	attention	à	sa	petite	soeur	</S>
a23	0.166738	0.141126	0.102544	0.0803027	0.103282	0.112849	0.0936374	0.107662	0.091858
a87	0.299697	0.184829	0.099619	0.0837138	0.092719	0.0798891	0.0615877	0.0489524	0.0489933
a23	0.194346	0.150483	0.101339	0.109506	0.12989	0.110096	0.0769995	0.0601795	0.0671621
a20	0.18729	0.142965	0.111397	0.120449	0.14225	0.0976622	0.0587474	0.0637742	0.0754654
a73	0.389045	0.264223	0.177246	0.0733555	0.0397594	0.0212985	0.0124487	0.00972887	0.0128949
a26	0.285866	0.261408	0.247453	0.117466	0.0467409	0.0227633	0.00956083	0.00452187	0.00421963
a24	0.288325	0.24703	0.222345	0.130524	0.0551039	0.0270687	0.0129186	0.00802903	0.00865555
a25	0.266436	0.259236	0.211168	0.128384	0.0573427	0.0316578	0.02034	0.0128298	0.0126059
a76	0.172267	0.19552	0.189344	0.180208	0.112871	0.0683525	0.0393874	0.0219455	0.0201037
a32	0.174503	0.196699	0.172502	0.187218	0.122889	0.0708104	0.0368331	0.020153	0.0183933
a75	0.165876	0.183942	0.156466	0.16565	0.112515	0.0830873	0.0623509	0.0371077	0.0330052
a14	0.137894	0.147791	0.129807	0.152812	0.127303	0.110198	0.0903646	0.0530121	0.0508178
a73	0.0769247	0.0847118	0.077651	0.105828	0.128574	0.145977	0.143802	0.111062	0.125471
a44	0.0608312	0.0666587	0.0597875	0.0742326	0.109559	0.151854	0.154272	0.14401	0.178795
a53	0.0601145	0.0622048	0.0571048	0.0680856	0.0901382	0.139185	0.162679	0.158116	0.202372
a90	0.0427521	0.0399052	0.0373654	0.0504682	0.0673737	0.115573	0.181067	0.202137	0.263359
a98	0.0453673	0.0416667	0.0405852	0.0498023	0.0548328	0.0919336	0.173674	0.224173	0.277965
a73	0.0144372	0.0112812	0.00876123	0.0131053	0.018939	0.0384072	0.118386	0.291033	0.48565
a76	0.0175344	0.0149445	0.0124431	0.0178749	0.0261364	0.0533126	0.14287	0.289223	0.425661
a73	0.0386742	0.0280573	0.0195474	0.0217799	0.0292349	0.0521889	0.119046	0.282078	0.409394
a94	0.014816	0.0117005	0.00958531	0.0133194	0.0189101	0.0391281	0.114472	0.295528	0.482541
a41	0.0168601	0.012597	0.00841911	0.0107518	0.0143103	0.0241007	0.0624317	0.225915	0.624615
a94	0.017824	0.0142987	0.0090363	0.00953984	0.014072	0.0257231	0.0717506	0.263331	0.574425
a66	0.016056	0.0131496	0.00884066	0.0123823	0.0182757	0.0304203	0.0701063	0.225162	0.605607
a38	0.0114255	0.010769	0.00760983	0.0123758	0.020693	0.0355247	0.0728219	0.227298	0.601482
a24	0.0175258	0.0194697	0.0153449	0.0252467	0.043724	0.0660834	0.102779	0.226261	0.483566
a9	0.0249874	0.0233612	0.0163679	0.0236441	0.0392983	0.0595578	0.0958439	0.228793	0.488147
a87	0.0461941	0.037722	0.0295365	0.0371729	0.0476828	0.0628102	0.0992533	0.236309	0.403319
</S>	0.0439386	0.0379778	0.0339285	0.0381502	0.0412607	0.0514894	0.100428	0.235148	0.417679
