 	la	cour	de	l'	église	est	vaste	</S>
a87	0.299898	0.236037	0.127725	0.125501	0.150574	0.0428815	0.0103634	0.00702085
a10	0.462445	0.237846	0.0717643	0.051045	0.0611858	0.0399174	0.0232026	0.0525943
a87	0.217744	0.194887	0.140011	0.147814	0.166327	0.0543961	0.0268796	0.0519402
a99	0.258255	0.173876	0.116848	0.118637	0.115172	0.0667719	0.0611249	0.0893142
a75	0.311718	0.259545	0.149973	0.126327	0.0693326	0.0239934	0.028288	0.0308235
a5	0.296314	0.228784	0.163994	0.122355	0.0660754	0.0358247	0.0447397	0.0419128
a61	0.230465	0.284438	0.255965	0.134992	0.0407832	0.0204592	0.0171408	0.015757
a21	0.195918	0.239856	0.268286	0.167081	0.0698943	0.0256235	0.0186446	0.0146967
a5	0.1753	0.192008	0.239978	0.209083	0.10685	0.0423529	0.0179765	0.0164517
a61	0.141613	0.155551	0.218808	0.236359	0.137809	0.0603552	0.0251937	0.0243102
a21	0.121951	0.129538	0.194826	0.246098	0.166636	0.0702491	0.0339789	0.0367229
a5	0.135285	0.150815	0.19902	0.237664	0.137942	0.0658178	0.0366842	0.0367713
a61	0.103029	0.105211	0.151468	0.210008	0.175368	0.108111	0.0719567	0.0748481
a75	0.0571828	0.0508078	0.0787576	0.136525	0.21848	0.241706	0.11442	0.102122
a96	0.0939117	0.0734493	0.0806079	0.0981858	0.129516	0.148492	0.167877	0.207959
a24	0.0480478	0.0357259	0.0453007	0.0597034	0.101723	0.281445	0.225626	0.202429
a88	0.0317535	0.0240698	0.0297181	0.043134	0.0658654	0.218533	0.274838	0.312088
a47	0.0246335	0.0176566	0.021465	0.033377	0.0536487	0.185403	0.305208	0.358608
a61	0.0457736	0.0336054	0.0416182	0.0535103	0.0821106	0.223778	0.280724	0.23888
a47	0.00730388	0.00514596	0.00722471	0.0114796	0.0288158	0.151751	0.458017	0.330262
a61	0.00769892	0.00622613	0.00892111	0.0145859	0.0318226	0.117617	0.402461	0.410667
a62	0.00212665	0.00180542	0.00299067	0.00570281	0.0173974	0.0918028	0.422311	0.455863
a47	0.00128104	0.00139714	0.0019401	0.00307649	0.0105657	0.0645803	0.364332	0.552827
a88	0.00377963	0.00365698	0.00478074	0.00696265	0.0176936	0.0744722	0.317967	0.570687
a9	0.00153237	0.0013393	0.00160005	0.00229902	0.00640017	0.0558285	0.277455	0.653545
a10	0.00360363	0.00194877	0.00141065	0.00142652	0.0022333	0.0208585	0.128132	0.840387
a87	0.0749661	0.0446439	0.0236143	0.0186778	0.0203375	0.0469742	0.113538	0.657248
a23	0.33062	0.201312	0.0904754	0.0612301	0.0426902	0.0506888	0.0701903	0.152793
a87	0.0669508	0.0342851	0.017731	0.0120901	0.0135648	0.0360848	0.154465	0.664828
</S>	0.00998568	0.00850485	0.00764447	0.0087258	0.0169589	0.0446809	0.169747	0.733753
