 	j'	ai	laissé	un	repas	sur	la	table	</S>
a15	0.341959	0.21492	0.114084	0.0750743	0.0714651	0.0704346	0.0570819	0.0305382	0.0244434
a66	0.477274	0.176387	0.0790567	0.0625909	0.0635963	0.0553561	0.03803	0.0234222	0.0242869
a87	0.47888	0.22383	0.0971878	0.0479405	0.0381791	0.0340178	0.0273365	0.0237597	0.0288684
a23	0.394933	0.257823	0.122013	0.0519655	0.0277169	0.027356	0.0304751	0.0338866	0.0538312
a99	0.342606	0.282664	0.173643	0.0908654	0.0284737	0.0171592	0.0148247	0.0195342	0.0302294
a50	0.370269	0.274036	0.164389	0.0769322	0.025241	0.0152295	0.0159217	0.0226495	0.0353315
a31	0.293694	0.280891	0.231191	0.114487	0.0372022	0.0157438	0.0101994	0.00858637	0.0080063
a21	0.185235	0.242798	0.280392	0.184088	0.0562429	0.0234658	0.0121114	0.00838604	0.00728058
a85	0.120018	0.194879	0.287246	0.253357	0.0868035	0.0321787	0.0131116	0.00693622	0.00547098
a6	0.0577076	0.0992196	0.187043	0.289526	0.214546	0.0818406	0.0334964	0.018842	0.0177782
a36	0.0699774	0.0946888	0.168662	0.262128	0.213393	0.0959514	0.0433196	0.0255966	0.0262833
a11	0.0458827	0.0525707	0.117334	0.228318	0.238149	0.142074	0.0700161	0.0479935	0.0576615
a70	0.0450746	0.0471906	0.107614	0.1938	0.213614	0.157111	0.0897167	0.0645606	0.0813176
a93	0.0421106	0.0414993	0.0857916	0.154966	0.206472	0.177753	0.110277	0.0786276	0.102504
a44	0.0272766	0.0267193	0.0585721	0.11571	0.189669	0.210496	0.154901	0.09594	0.120715
a43	0.0212471	0.0191576	0.0364826	0.0687416	0.137941	0.209994	0.20124	0.133477	0.17172
a75	0.0127592	0.00993137	0.0153274	0.0279159	0.0603607	0.138797	0.234418	0.198021	0.302469
a47	0.00179573	0.00152046	0.0031646	0.00935701	0.037858	0.0897009	0.169084	0.239071	0.448448
a15	0.00110592	0.000889923	0.00142335	0.00327984	0.0143225	0.0406914	0.128118	0.236287	0.573882
a44	0.000448615	0.000325012	0.000562154	0.00152496	0.00751377	0.0246349	0.0926442	0.260997	0.61135
a96	0.000645586	0.000403051	0.000598484	0.00139984	0.00575956	0.0162051	0.0617615	0.268528	0.644699
a75	0.000827974	0.000499603	0.000810065	0.00173542	0.00778878	0.0251591	0.0916409	0.303961	0.567577
a12	8.54989e-05	5.45371e-05	0.000104946	0.000344723	0.00261415	0.0113559	0.0564026	0.271391	0.657647
a43	0.000324679	0.000210301	0.000343606	0.000808044	0.00415356	0.0155636	0.0696894	0.285274	0.623633
a36	0.000366043	0.000285551	0.000452399	0.000907205	0.00365175	0.0121352	0.0582222	0.259281	0.664699
a2	0.00309831	0.00266888	0.00398265	0.00553511	0.0116573	0.0274911	0.0913533	0.286167	0.568047
a57	0.0535754	0.0402975	0.0471577	0.048767	0.0684744	0.0976197	0.131416	0.192918	0.319774
a87	0.136316	0.0670002	0.0450228	0.0342405	0.0460976	0.0705546	0.120367	0.192059	0.288342
a23	0.303546	0.159771	0.0920886	0.0505791	0.055897	0.0588503	0.071758	0.0907759	0.116734
a87	0.141556	0.0735753	0.0352171	0.0265033	0.048335	0.0578964	0.10604	0.218262	0.292615
</S>	0.00699404	0.00480734	0.00401759	0.00579428	0.0155871	0.0275911	0.0839453	0.262463	0.5888
