 	ii	a	appris	la	nouvelle	aux	villageois	</S>
a23	0.462604	0.242718	0.12521	0.0653109	0.0326629	0.0151561	0.0198337	0.0365044
a87	0.674941	0.153238	0.0570583	0.036188	0.0240142	0.0127441	0.0150121	0.0268045
a23	0.423427	0.179037	0.0822428	0.0656126	0.0553739	0.0448929	0.0591769	0.0902372
a79	0.437526	0.190186	0.0610232	0.0278774	0.0183136	0.0231971	0.0701292	0.171748
a20	0.409548	0.137844	0.0691528	0.0578259	0.0845283	0.0667017	0.0833802	0.0910195
a30	0.440137	0.206392	0.119926	0.0987861	0.0855399	0.0231744	0.0148236	0.0112207
a2	0.373999	0.19968	0.150186	0.118517	0.0910547	0.0306929	0.0206341	0.0152355
a40	0.203197	0.143793	0.139302	0.118436	0.114387	0.0771293	0.090101	0.113655
a30	0.247465	0.210876	0.22633	0.150882	0.0712944	0.0335827	0.0318099	0.0277596
a35	0.20478	0.179433	0.219563	0.20185	0.124818	0.0373103	0.0180727	0.0141737
a0	0.205042	0.163674	0.177075	0.186425	0.143438	0.0604595	0.0319839	0.0319021
a21	0.121135	0.101272	0.162324	0.223236	0.19984	0.0898288	0.046628	0.0557361
a41	0.111984	0.0978018	0.110351	0.190554	0.183951	0.145474	0.0769136	0.0829698
a24	0.116352	0.077338	0.0830172	0.180765	0.209659	0.148161	0.0800045	0.104703
a88	0.0678905	0.0556941	0.0651935	0.147103	0.191033	0.200122	0.125558	0.147406
a71	0.0559062	0.0526066	0.0544382	0.0958615	0.154522	0.211731	0.174231	0.200704
a38	0.0538638	0.0421197	0.0513575	0.0861374	0.138625	0.215151	0.18184	0.230906
a75	0.0642784	0.0369547	0.0447072	0.0776786	0.132253	0.207577	0.166987	0.269564
a41	0.0214542	0.0130182	0.0158227	0.0379652	0.105798	0.200772	0.234303	0.370867
a35	0.0213061	0.0131792	0.0169392	0.0418189	0.118532	0.186716	0.238128	0.363381
a75	0.0156891	0.0111677	0.0158075	0.0394993	0.0962172	0.202473	0.260018	0.359128
a35	0.0134409	0.00962165	0.0141147	0.0369612	0.0923763	0.209603	0.276668	0.347214
a14	0.0226777	0.0162564	0.0193387	0.0385329	0.0741105	0.157608	0.277716	0.39376
a2	0.0186213	0.0142221	0.0176475	0.0409952	0.075573	0.169186	0.283503	0.380252
a54	0.00438416	0.00186135	0.00171486	0.00389318	0.0114663	0.0652256	0.214498	0.696956
a14	0.0292655	0.0103904	0.00780287	0.0182331	0.0419177	0.133959	0.273337	0.485095
a6	0.0128627	0.00850538	0.0104332	0.0273749	0.0573225	0.135469	0.300132	0.4479
a14	0.0550234	0.0215128	0.018979	0.0364706	0.0686233	0.149005	0.271415	0.378971
a2	0.0400263	0.0219016	0.0230725	0.0456788	0.0800869	0.148494	0.277715	0.363025
a38	0.000745419	0.000349175	0.000354041	0.000935697	0.00340039	0.024797	0.141599	0.82782
a53	0.00297686	0.000964728	0.000483622	0.00116088	0.00328208	0.0284739	0.186351	0.776307
a4	0.0123661	0.00429445	0.0022521	0.00372685	0.00701528	0.034071	0.182684	0.753591
a13	0.0122803	0.00425136	0.00227625	0.00330667	0.00531242	0.0231061	0.145462	0.804005
a9	0.0127476	0.00414521	0.00221265	0.00321297	0.00581057	0.0289976	0.166273	0.7766
a87	0.0107379	0.00449975	0.00169938	0.00280673	0.00680745	0.0342091	0.174083	0.765157
</S>	0.0114889	0.00634138	0.00303037	0.00682452	0.0172425	0.0565375	0.194118	0.704417
