 	c'	est	vraiment	toi	qui	me	pose	ce	genre	de	question	</S>
a66	0.162587	0.184904	0.179272	0.161283	0.114374	0.0641777	0.0435208	0.0341561	0.0230535	0.0148598	0.00994874	0.00786292
a87	0.301863	0.229617	0.151637	0.134688	0.0950292	0.0260092	0.0125946	0.0123495	0.0109253	0.00851518	0.00755406	0.0092173
a23	0.263954	0.201356	0.135877	0.134127	0.105964	0.0481263	0.0318426	0.0242086	0.0198373	0.0155119	0.00886825	0.0103276
a79	0.114498	0.104292	0.0799883	0.077848	0.0778295	0.0468005	0.0627881	0.0827338	0.104275	0.0865452	0.0737638	0.0886367
a15	0.104981	0.0674549	0.0719482	0.0885381	0.128677	0.0975311	0.0871875	0.0715475	0.0882835	0.0697262	0.0584471	0.0656782
a79	0.118841	0.109014	0.105689	0.13104	0.140357	0.111585	0.0948788	0.0651402	0.0531134	0.0311886	0.020356	0.0187974
a44	0.145016	0.147752	0.15123	0.207233	0.14475	0.0692133	0.0487207	0.0301395	0.0235649	0.0132964	0.00908184	0.0100025
a98	0.0810502	0.0667283	0.0822331	0.136882	0.218196	0.157728	0.112635	0.0535537	0.0379615	0.0222197	0.0155069	0.0153049
a47	0.102471	0.0944796	0.130608	0.208836	0.223592	0.0950942	0.0491461	0.0250913	0.0208824	0.0173744	0.0161034	0.0163205
a6	0.0464015	0.0412083	0.0712494	0.143234	0.249804	0.159107	0.101284	0.0581998	0.0397949	0.0307455	0.0285826	0.0303894
a56	0.0530991	0.0422405	0.057187	0.082922	0.129337	0.135374	0.143829	0.102807	0.0759775	0.0762393	0.054773	0.046215
a96	0.0260498	0.0206052	0.0288193	0.0323601	0.039532	0.0917097	0.166792	0.158177	0.127192	0.16035	0.0888384	0.0595742
a75	0.00852608	0.00679736	0.00842051	0.00948827	0.0116467	0.0423108	0.12621	0.166297	0.166941	0.251058	0.121595	0.0807088
a47	0.00231576	0.00175774	0.00257423	0.00365243	0.00611185	0.0296118	0.115697	0.169646	0.150216	0.219335	0.165362	0.133721
a79	0.000512663	0.000360719	0.000543812	0.000875543	0.00163277	0.00966383	0.0629491	0.128051	0.153916	0.289701	0.197798	0.153996
a44	0.000233071	0.000177391	0.000276613	0.000508812	0.00112771	0.00698676	0.0389657	0.0888412	0.134454	0.319604	0.23132	0.177506
a54	0.000619152	0.000527739	0.000732934	0.00118307	0.00188491	0.00672233	0.0326651	0.0707994	0.124869	0.296108	0.251458	0.21243
a47	0.000264652	0.000228201	0.000464623	0.00101354	0.00183448	0.00646823	0.0259536	0.0477883	0.0824136	0.248756	0.291813	0.293002
a92	0.000189531	0.000156066	0.000286183	0.000633713	0.00113396	0.00611799	0.0301064	0.0447992	0.0789639	0.263836	0.28922	0.284557
a37	0.00029806	0.000225267	0.000448578	0.000975511	0.00177548	0.00659144	0.025607	0.0456302	0.0801761	0.188982	0.282071	0.36722
a79	0.00131472	0.00091749	0.00154851	0.00354067	0.00519694	0.0156059	0.0418479	0.0729365	0.125619	0.232778	0.22514	0.273555
a44	0.00057546	0.000371671	0.000617379	0.00145459	0.00258179	0.0101721	0.0318654	0.0542707	0.0985797	0.19555	0.255289	0.348673
a58	0.000550458	0.000370984	0.000543342	0.0012999	0.00236316	0.0102966	0.0329954	0.0514804	0.0931527	0.197337	0.243034	0.366576
a82	0.000688257	0.000498018	0.000545661	0.000829224	0.00137454	0.00593619	0.0278805	0.042663	0.08699	0.215543	0.285246	0.331806
a87	0.0532063	0.0363728	0.0296149	0.0267149	0.020387	0.0269052	0.0600898	0.0791865	0.126434	0.206278	0.177602	0.157208
a23	0.280129	0.202533	0.161011	0.117858	0.0560162	0.0213338	0.0251066	0.0307058	0.0319254	0.0300275	0.0234946	0.0198597
a87	0.121994	0.0703576	0.0709425	0.0831684	0.08148	0.056599	0.0871039	0.0714166	0.079464	0.0785523	0.0905751	0.108347
</S>	0.0197295	0.00983485	0.0114658	0.019742	0.0277712	0.044292	0.100776	0.0994786	0.115825	0.182619	0.177017	0.19145
