 	il	est	très	brun	</S>
a23	0.222166	0.19235	0.156564	0.19033	0.23859
a53	0.313815	0.23062	0.162726	0.155338	0.137501
a54	0.216735	0.170905	0.158814	0.189374	0.264172
a92	0.428231	0.242714	0.13551	0.100686	0.0928592
a37	0.410752	0.278552	0.145595	0.0953201	0.0697815
a61	0.379832	0.259726	0.149823	0.115129	0.0954899
a83	0.335063	0.279436	0.182006	0.115072	0.0884238
a0	0.285414	0.225838	0.198177	0.157796	0.132774
a75	0.19502	0.153876	0.196766	0.223316	0.231022
a34	0.124704	0.136486	0.203463	0.247747	0.287599
a35	0.143119	0.148776	0.217056	0.253071	0.237977
a0	0.0917393	0.104007	0.194078	0.298206	0.311969
a56	0.0666533	0.0738304	0.145991	0.291805	0.42172
a90	0.0307685	0.0370052	0.0860167	0.258165	0.588045
a98	0.02752	0.0320777	0.0709925	0.225647	0.643763
a79	0.016785	0.023476	0.0639504	0.238165	0.657623
a37	0.012183	0.0180038	0.0588464	0.22583	0.685137
a75	0.00602694	0.00917329	0.0337299	0.184156	0.766914
a5	0.00615466	0.00933696	0.0311153	0.184797	0.768596
a61	0.00504695	0.0081412	0.0276196	0.158035	0.801157
a83	0.0154338	0.0277676	0.0691986	0.212248	0.675352
a9	0.0211699	0.0374268	0.0858404	0.217226	0.638337
a87	0.0562463	0.0557484	0.0967725	0.195193	0.596039
a23	0.193586	0.144528	0.151321	0.192113	0.318453
a87	0.0922795	0.0912888	0.130703	0.22917	0.456559
</S>	0.0433885	0.0568116	0.113498	0.271655	0.514647
