 	j'	ai	passé	toute	une	semaine	à	boundji	</S>
a66	0.24557	0.135942	0.0901203	0.102423	0.124286	0.131403	0.0916339	0.0462043	0.032418
a87	0.264636	0.155472	0.119124	0.125918	0.136338	0.104654	0.0517348	0.0251776	0.0169448
a23	0.384161	0.266465	0.13181	0.0827051	0.0491188	0.0332727	0.0244328	0.0151655	0.0128687
a18	0.366212	0.294747	0.14868	0.0806978	0.0402856	0.0223262	0.0162102	0.0154594	0.0153809
a62	0.318903	0.241546	0.141899	0.096726	0.0615365	0.0391775	0.0330308	0.0341793	0.0330017
a31	0.306317	0.251754	0.152214	0.0965756	0.0707345	0.0401776	0.0329391	0.029032	0.0202573
a47	0.163076	0.212796	0.195481	0.153363	0.109854	0.0684229	0.0412321	0.0328888	0.022887
a31	0.156779	0.196515	0.16671	0.154286	0.112557	0.0710006	0.048865	0.0514303	0.0418578
a47	0.106954	0.144559	0.184993	0.181092	0.135793	0.0948936	0.0558705	0.0495564	0.0462888
a62	0.0908834	0.104252	0.165749	0.194039	0.16396	0.104982	0.0631904	0.057112	0.0558331
a24	0.0635772	0.0683971	0.156382	0.215048	0.215619	0.129361	0.0579359	0.0459745	0.0477048
a47	0.0245841	0.0257513	0.0924442	0.165192	0.232112	0.200996	0.101819	0.0766284	0.0804733
a31	0.0309929	0.0310923	0.0896176	0.173706	0.256201	0.214822	0.0929077	0.0552783	0.0553826
a47	0.0240146	0.0231231	0.0674664	0.131287	0.193828	0.216549	0.137222	0.107067	0.0994436
a62	0.0216811	0.0221918	0.0632392	0.121755	0.182316	0.227109	0.158137	0.104628	0.0989426
a47	0.0155061	0.0153604	0.0374462	0.0614251	0.0828755	0.148058	0.159244	0.217182	0.262903
a88	0.0126496	0.0123275	0.0298941	0.0534541	0.0731714	0.135865	0.175854	0.231615	0.27517
a24	0.00597238	0.00489827	0.0118619	0.0217125	0.0287326	0.0732889	0.144727	0.282399	0.426407
a62	0.00237314	0.00211576	0.00490865	0.00743541	0.00966968	0.0358682	0.100547	0.283813	0.55327
a21	0.00198842	0.00173521	0.00418442	0.00667589	0.00885432	0.0343317	0.105487	0.287439	0.549304
a5	0.00322996	0.00257893	0.00465823	0.00675004	0.00946143	0.0355085	0.119834	0.298116	0.519863
a43	0.00189347	0.0015566	0.00287719	0.00463956	0.00581203	0.0207995	0.0788825	0.258927	0.624613
a21	0.000531436	0.000469496	0.0011528	0.00235501	0.00311211	0.00963745	0.0456004	0.219832	0.71731
a75	0.000782667	0.000677768	0.00153713	0.00291599	0.00407299	0.015942	0.0628575	0.226213	0.685001
a34	0.000525565	0.000411703	0.000917867	0.0018605	0.00301643	0.0116986	0.0487445	0.212297	0.720528
a90	0.000375275	0.000329167	0.00083125	0.00188141	0.00285538	0.00959659	0.0410279	0.191963	0.75114
a94	0.000382305	0.000297276	0.000694986	0.00138753	0.00229121	0.0095561	0.053376	0.230731	0.701284
a57	0.000345712	0.000292468	0.000752913	0.00168491	0.00264908	0.00882293	0.0389736	0.196614	0.749864
a82	0.001644	0.00111136	0.00137735	0.00289665	0.0044556	0.0148086	0.0477131	0.1999	0.726093
a87	0.0468277	0.0250686	0.0251514	0.0451565	0.0598729	0.0871892	0.113075	0.186563	0.411096
a23	0.248087	0.147531	0.109885	0.116731	0.103272	0.0760689	0.0620067	0.0590465	0.077371
a87	0.136087	0.0893205	0.0496273	0.0454348	0.0328626	0.0279196	0.0642139	0.162111	0.392423
</S>	0.0132918	0.0095435	0.00777277	0.0121501	0.0129103	0.02308	0.0722142	0.227015	0.622022
