 	la	maladie	l'	a	rendu	pâle	</S>
a66	0.273757	0.234551	0.197319	0.134406	0.0890269	0.0431048	0.0278351
a87	0.40982	0.283863	0.152027	0.0738318	0.0527097	0.0163147	0.0114341
a97	0.384991	0.225093	0.136968	0.0986066	0.0770076	0.0358949	0.0414394
a87	0.413952	0.29402	0.124073	0.0643071	0.0394589	0.021414	0.0427742
a97	0.412128	0.28784	0.125538	0.0665339	0.0453791	0.0221582	0.040423
a82	0.41273	0.2773	0.13446	0.0737484	0.050993	0.0214786	0.0292907
a97	0.416486	0.271998	0.136147	0.0752	0.0493201	0.0257233	0.025126
a99	0.384223	0.253409	0.146056	0.0949213	0.0653066	0.0305834	0.0255006
a97	0.323665	0.226195	0.15394	0.121437	0.0941216	0.047105	0.0335355
a13	0.274894	0.207272	0.16651	0.146577	0.111052	0.0564657	0.0372306
a93	0.202929	0.171923	0.170731	0.164627	0.13885	0.0835726	0.0673666
a4	0.157286	0.166346	0.171863	0.153656	0.129942	0.102354	0.118554
a11	0.119607	0.154597	0.17353	0.161448	0.146614	0.119177	0.125026
a90	0.0955629	0.137649	0.165269	0.158534	0.146907	0.147843	0.148235
a56	0.0763088	0.11114	0.156012	0.155748	0.136139	0.173782	0.19087
a96	0.0911091	0.125454	0.176875	0.176411	0.131196	0.14418	0.154774
a62	0.0934636	0.121657	0.17925	0.186823	0.143761	0.134053	0.140993
a21	0.0742802	0.0880263	0.154334	0.200871	0.192329	0.140483	0.149677
a25	0.0409096	0.0514769	0.113517	0.175471	0.220278	0.194254	0.204094
a15	0.0279056	0.0404645	0.0960507	0.141627	0.165908	0.232495	0.29555
a69	0.0254094	0.0295534	0.0540861	0.089294	0.132085	0.250871	0.418701
a32	0.030579	0.0303634	0.0492848	0.086873	0.145333	0.255366	0.402201
a11	0.0106792	0.0080274	0.012264	0.0247259	0.0720516	0.294552	0.5777
a4	0.0110537	0.00815755	0.0126524	0.0224113	0.0704858	0.274673	0.600566
a13	0.00541324	0.00356406	0.00564846	0.0102767	0.0350347	0.220111	0.719952
a3	0.00715719	0.004637	0.00764871	0.0111692	0.0340862	0.234635	0.700667
a99	0.0446412	0.0328797	0.0418465	0.0524491	0.121317	0.28972	0.417147
a3	0.0866099	0.0472699	0.035518	0.0366749	0.0760135	0.255385	0.462529
a99	0.169163	0.100487	0.0637191	0.0598311	0.0958629	0.192772	0.318165
a97	0.11201	0.0681534	0.0413421	0.0371315	0.0716434	0.237202	0.432518
</S>	0.139128	0.0928833	0.0719425	0.0830118	0.122982	0.196503	0.29355
