 	ce	malade	est	avide	de	chair	</S>
a66	0.356133	0.230835	0.167515	0.113481	0.0744423	0.0309002	0.0266935
a87	0.310649	0.211688	0.185369	0.135076	0.0827289	0.0407218	0.0337682
a23	0.307208	0.203422	0.156323	0.127966	0.101668	0.0637093	0.0397048
a79	0.344821	0.218456	0.151093	0.113949	0.0799721	0.0526149	0.0390938
a57	0.44716	0.219877	0.120855	0.0902244	0.059434	0.0368946	0.0255542
a53	0.247608	0.185441	0.164157	0.171789	0.117066	0.0718892	0.0420495
a4	0.207162	0.171461	0.170087	0.175402	0.132452	0.0926523	0.0507843
a30	0.165101	0.153949	0.153642	0.149563	0.124974	0.150654	0.102116
a4	0.16147	0.140804	0.138848	0.12807	0.120729	0.16365	0.146429
a13	0.0315687	0.0295141	0.0340207	0.0474305	0.116427	0.350036	0.391003
a83	0.0128744	0.0112051	0.0140409	0.025709	0.103496	0.348205	0.484469
a56	0.00920849	0.00769816	0.0112116	0.0231306	0.107592	0.196938	0.644221
a70	0.0238157	0.0237139	0.0255806	0.0328572	0.116412	0.227134	0.550487
a99	0.0083219	0.00815188	0.0108573	0.0207046	0.101438	0.182569	0.667958
a9	0.00620437	0.00497143	0.00761374	0.0172121	0.0892033	0.16372	0.711075
a3	0.0265767	0.0189736	0.0235949	0.0398605	0.0842567	0.182736	0.624002
a97	0.193557	0.111213	0.0935171	0.0943134	0.114419	0.126995	0.265986
</S>	0.222004	0.121378	0.0925309	0.0837997	0.113359	0.118923	0.248005
