 	l'	aveugle	palpe	les	murs	pour	trouver	le	chemin	</S>
a66	0.143451	0.15339	0.241632	0.157044	0.136491	0.0997353	0.0417289	0.010347	0.007629	0.00855117
a87	0.686753	0.167381	0.0503475	0.0335693	0.0231602	0.0155797	0.00570725	0.00464963	0.00513098	0.00772179
a23	0.734015	0.144316	0.0532322	0.0266079	0.017035	0.00835987	0.00319924	0.00214393	0.00313788	0.0079534
a13	0.614626	0.131627	0.0899224	0.0435678	0.0308111	0.0199581	0.0117996	0.00944464	0.0137284	0.0345147
a50	0.364248	0.127271	0.120648	0.0736141	0.0611373	0.0421787	0.0384131	0.0352983	0.0499982	0.0871942
a88	0.390449	0.271443	0.127511	0.0388365	0.0304978	0.0217454	0.0183259	0.0240283	0.0313516	0.0458116
a50	0.397141	0.326173	0.14145	0.0338553	0.0232939	0.014661	0.0118397	0.0127637	0.015679	0.0231441
a96	0.311701	0.285799	0.194779	0.0602794	0.0396035	0.0251055	0.0217645	0.0195329	0.0183359	0.0230987
a98	0.268807	0.245028	0.232643	0.0745568	0.0475108	0.0319189	0.0291759	0.0240602	0.0206348	0.0256656
a0	0.182925	0.247382	0.24584	0.0838549	0.0449088	0.0319509	0.0332413	0.0350284	0.036537	0.0583316
a24	0.170692	0.220186	0.267606	0.106709	0.0607207	0.040597	0.0340928	0.0292472	0.028806	0.0413437
a9	0.10116	0.198801	0.2601	0.154303	0.0974497	0.0622818	0.0432855	0.0267221	0.0241692	0.0317274
a38	0.0715249	0.149601	0.291338	0.190499	0.124598	0.0609545	0.0351382	0.0227142	0.0221588	0.0314737
a75	0.0666893	0.109479	0.244692	0.202969	0.149506	0.0836481	0.0491983	0.0292884	0.0281363	0.0363926
a47	0.0443474	0.0984984	0.19975	0.164668	0.108221	0.0866617	0.0761446	0.0511011	0.0609823	0.109626
a36	0.0562662	0.112129	0.163217	0.153379	0.11027	0.0942282	0.0785866	0.0527219	0.0666695	0.112533
a2	0.0336137	0.0624543	0.159116	0.201695	0.120099	0.11444	0.0977984	0.0506554	0.0572544	0.102874
a57	0.0703843	0.0734073	0.151261	0.196614	0.113634	0.121191	0.117991	0.0498954	0.0444764	0.0611463
a87	0.128303	0.0892368	0.125499	0.156228	0.115289	0.115305	0.111575	0.0531845	0.0435708	0.0618092
a23	0.262552	0.15338	0.0928026	0.0977841	0.0734563	0.0708595	0.0734257	0.060972	0.0502562	0.0645118
a83	0.149428	0.114051	0.0912436	0.104545	0.0751456	0.0867779	0.0847217	0.0737551	0.0836682	0.136664
a36	0.0409679	0.0835493	0.0700016	0.0925078	0.0670893	0.0751898	0.0977471	0.13071	0.140005	0.202231
a2	0.0357785	0.0701307	0.0704968	0.0867075	0.055268	0.0851297	0.118265	0.132986	0.142274	0.202963
a54	0.0252758	0.0420235	0.0886205	0.118671	0.0770141	0.0979932	0.129688	0.116552	0.114226	0.189936
a15	0.0338973	0.0658522	0.0850498	0.128591	0.0740193	0.10942	0.135284	0.0960019	0.112946	0.158938
a7	0.0290117	0.0664859	0.0675218	0.107958	0.074124	0.121277	0.155459	0.113936	0.120363	0.143863
a44	0.0163402	0.0298016	0.0470811	0.0791213	0.0513743	0.0909682	0.158034	0.142816	0.155999	0.228465
a54	0.0136831	0.0174069	0.0402297	0.0803692	0.059123	0.108696	0.158403	0.144231	0.149806	0.228052
a5	0.0137753	0.0239402	0.0297815	0.0671657	0.0390434	0.0950242	0.159114	0.143352	0.186903	0.2419
a18	0.00697715	0.0105223	0.0179801	0.0391109	0.0314183	0.085116	0.146884	0.14898	0.197527	0.315484
a71	0.00468278	0.00491938	0.00742765	0.0148134	0.0121173	0.0362162	0.0784115	0.155769	0.232509	0.453134
a54	0.00971308	0.00882421	0.0120076	0.0203544	0.0166765	0.0483816	0.0915315	0.155409	0.239511	0.397591
a47	0.00509666	0.00747522	0.0105489	0.0258244	0.0171495	0.0446027	0.0942458	0.119803	0.211858	0.463395
a36	0.00271788	0.00374734	0.00461208	0.00985659	0.00563853	0.0172141	0.044431	0.0885959	0.221086	0.6021
a2	0.00385588	0.00305125	0.00334309	0.00510799	0.00318536	0.0079457	0.0241043	0.0693911	0.217959	0.662056
a57	0.0541662	0.0477526	0.0277011	0.0259078	0.0192143	0.0334876	0.0618755	0.11271	0.228479	0.388705
a87	0.115013	0.0520356	0.0291543	0.0313174	0.0266821	0.0494605	0.089898	0.13925	0.209535	0.257654
a23	0.189074	0.0611035	0.0229187	0.0334957	0.0265844	0.0525245	0.0933901	0.129547	0.170899	0.220463
a87	0.097849	0.0375071	0.00635023	0.0299897	0.0269285	0.0710478	0.109347	0.143749	0.180188	0.297043
a23	0.0558567	0.022776	0.00437895	0.0173837	0.0173695	0.0438387	0.0731336	0.114373	0.191427	0.459463
a99	0.106898	0.0425765	0.0066065	0.0322427	0.0298658	0.0730549	0.0889643	0.106964	0.163743	0.349084
a83	0.0182703	0.0120601	0.00401457	0.0166346	0.0195079	0.055591	0.0941824	0.150315	0.230701	0.398723
a50	0.00341144	0.004687	0.00470746	0.0126349	0.0133012	0.0429157	0.11511	0.174999	0.254329	0.373905
a62	0.00377432	0.00413568	0.00562377	0.0183049	0.0196643	0.0490786	0.0890499	0.186893	0.262235	0.36124
a83	0.00263968	0.00335722	0.00505774	0.0138323	0.014769	0.0425905	0.0720116	0.158985	0.262868	0.423889
a54	0.00134629	0.00176519	0.0028371	0.00678789	0.00691015	0.0244477	0.0463498	0.126989	0.272849	0.509718
a6	0.00338733	0.00415732	0.00425529	0.0103081	0.00748349	0.0236699	0.0439464	0.103183	0.247786	0.551822
a37	0.00129711	0.00204906	0.00277374	0.00880348	0.0055025	0.02052	0.0422289	0.0964194	0.252119	0.568286
a6	0.000352222	0.000406576	0.000609899	0.00191832	0.00156995	0.0080317	0.0218642	0.0713549	0.233838	0.660054
a7	0.00063335	0.000869527	0.000898341	0.00328476	0.00231613	0.00996114	0.0256316	0.0782112	0.243237	0.634957
