 	cet	homme	est	un	sorcier	c'	est	pourquoi	on	l'	a	chassé	du	village	</S>
a66	0.0341682	0.033555	0.0452028	0.0615928	0.0845214	0.0723666	0.098459	0.152355	0.159892	0.14409	0.0658252	0.0339863	0.00737531	0.00391237	0.0026992
a87	0.166002	0.117027	0.0966694	0.0721397	0.0426693	0.0412192	0.05991	0.0769692	0.089659	0.0924703	0.056869	0.0623554	0.0133248	0.00676847	0.00594749
a23	0.26757	0.178542	0.118226	0.0689646	0.0332269	0.0332712	0.045197	0.0624304	0.0624541	0.056247	0.0331974	0.0196418	0.00869107	0.00584458	0.00649603
a87	0.340913	0.200106	0.116113	0.0556223	0.022906	0.0235529	0.0371973	0.0582157	0.0426856	0.0370653	0.0205275	0.0189545	0.00874203	0.00648365	0.0109144
a23	0.310063	0.180494	0.108208	0.0569177	0.0263696	0.0270078	0.0411929	0.0648009	0.053874	0.0539129	0.0314656	0.0248458	0.00851441	0.00535144	0.00698173
a87	0.303133	0.167855	0.103491	0.0531109	0.0279079	0.0297203	0.0392858	0.0547123	0.0460736	0.0530072	0.0390681	0.0334612	0.0162656	0.0131402	0.0197676
a23	0.289646	0.157795	0.101448	0.0576122	0.0309647	0.0320676	0.0419584	0.0586141	0.0496459	0.058035	0.0429863	0.0395173	0.0161869	0.0105297	0.012993
a70	0.257606	0.141356	0.0993489	0.0580311	0.0376117	0.0370511	0.0427731	0.0492036	0.0469832	0.061665	0.0560717	0.0475554	0.0223368	0.0181585	0.0242479
a93	0.189545	0.165997	0.139236	0.0943774	0.060371	0.0394034	0.0385563	0.0351662	0.0296538	0.0350024	0.0362779	0.0552571	0.0271477	0.0271416	0.0268669
a90	0.156527	0.163795	0.149072	0.112286	0.0693467	0.0435672	0.0371488	0.0359022	0.0299869	0.0324808	0.0321154	0.055019	0.0280088	0.0270451	0.0276987
a98	0.0887147	0.107034	0.111707	0.0999236	0.0719526	0.0520553	0.0463629	0.0473637	0.0386115	0.0390526	0.0355748	0.0836786	0.0610518	0.058832	0.0580851
a6	0.0383238	0.0531929	0.0698064	0.080898	0.0698309	0.0566474	0.0529296	0.0495793	0.0395634	0.0369127	0.0327216	0.0741922	0.0877296	0.116701	0.140971
a92	0.054549	0.0681996	0.0837465	0.0907134	0.0718292	0.0584681	0.0536264	0.0510541	0.0422859	0.0388609	0.0342765	0.0741284	0.0645913	0.0920421	0.121628
a12	0.0621382	0.0709664	0.081297	0.086972	0.0704237	0.059127	0.0559832	0.0590753	0.0536548	0.050765	0.0427073	0.0749655	0.0530066	0.0762881	0.10263
a62	0.0470931	0.0580417	0.0827644	0.103545	0.0975962	0.0860854	0.0865588	0.090913	0.0810965	0.0727671	0.0514979	0.0630689	0.0205428	0.0256238	0.0328059
a88	0.0282482	0.0340527	0.0591607	0.0928389	0.0999859	0.101982	0.103561	0.101308	0.0915431	0.084171	0.0621574	0.0637874	0.021272	0.0246162	0.0313153
a38	0.0140101	0.0167314	0.0333591	0.0682341	0.0918	0.110065	0.114137	0.110127	0.0950318	0.0850076	0.0677383	0.0739185	0.0303108	0.0384845	0.0510445
a70	0.00979677	0.0110063	0.0198998	0.0417708	0.066985	0.0990865	0.105061	0.101095	0.0940258	0.0829343	0.0852837	0.111091	0.0455114	0.0535083	0.072944
a66	0.0104411	0.0114496	0.0176529	0.0306927	0.0543283	0.0923052	0.0995352	0.0967623	0.0919755	0.0865304	0.0929146	0.118805	0.0574851	0.0596073	0.0795142
a13	0.0117181	0.0128116	0.0183184	0.0269259	0.0447589	0.0891935	0.0969607	0.0927579	0.101175	0.0953238	0.118036	0.133989	0.0522258	0.047455	0.0583506
a99	0.0147024	0.015688	0.0214313	0.0299999	0.0491166	0.0929897	0.101758	0.0951994	0.112973	0.0987746	0.107046	0.111713	0.0486996	0.0455936	0.0543147
a97	0.0184168	0.0180535	0.0223518	0.0294232	0.0448998	0.0807173	0.0923373	0.0930137	0.112419	0.0942834	0.104722	0.105192	0.0584844	0.0578627	0.0678229
a87	0.0369099	0.0287226	0.0279535	0.0316392	0.0408228	0.054829	0.063224	0.0838628	0.0961753	0.0812457	0.0810409	0.0987837	0.0686001	0.0946459	0.111545
a23	0.0599606	0.0384295	0.0304727	0.0295257	0.032605	0.0379874	0.0435005	0.0702856	0.0832632	0.0781026	0.0741166	0.103236	0.101683	0.109872	0.10696
a99	0.0586536	0.032445	0.0252993	0.0262732	0.0281536	0.0367381	0.0377125	0.0591788	0.0662856	0.0718354	0.0767327	0.0867764	0.100101	0.122887	0.170927
a62	0.00541734	0.00386597	0.00463373	0.0071935	0.0125415	0.0204813	0.017517	0.0209805	0.0231349	0.0283029	0.0507476	0.0885089	0.184837	0.230235	0.301603
a75	0.00309388	0.0022257	0.00245788	0.00341152	0.00498454	0.0067715	0.00671888	0.0101198	0.0110907	0.0129134	0.020468	0.0579574	0.245758	0.308352	0.303677
a79	0.00152352	0.0012935	0.00159387	0.00257216	0.0039197	0.00536638	0.00554702	0.00739442	0.0094901	0.0109354	0.016914	0.039465	0.195326	0.323676	0.374982
a90	0.00069424	0.000721298	0.0011116	0.00208972	0.00389126	0.00582739	0.00594009	0.00674593	0.00797797	0.00811675	0.0118509	0.0226029	0.129819	0.340559	0.452053
a98	0.00164335	0.00164154	0.00233669	0.00377773	0.00681	0.00998851	0.0103566	0.0114558	0.0143772	0.0149227	0.0196286	0.031201	0.131836	0.328157	0.411867
a79	0.00139248	0.00154183	0.00245704	0.00472469	0.00853315	0.0129024	0.0130945	0.0125761	0.0155044	0.0150692	0.018265	0.0255159	0.119187	0.316793	0.432443
a44	0.00181416	0.00174666	0.00262331	0.00453364	0.008084	0.0127234	0.0133088	0.0124991	0.0153693	0.0142011	0.0165978	0.0220215	0.107973	0.28205	0.484454
a26	0.00115284	0.00113092	0.00163742	0.00234342	0.00430405	0.00763036	0.00860987	0.00766488	0.00923558	0.00765646	0.010589	0.0171747	0.10628	0.292374	0.522217
a44	0.00226973	0.00224354	0.00286127	0.00350827	0.0047405	0.010698	0.0114074	0.00804328	0.010968	0.00881163	0.0120394	0.012444	0.103978	0.256309	0.549677
a93	0.00170871	0.00159127	0.00207321	0.00258396	0.00358327	0.00658055	0.00746496	0.00576181	0.00771292	0.00558868	0.00886832	0.0129523	0.113927	0.266623	0.55298
a25	0.000778122	0.000744355	0.00101929	0.00148263	0.0021248	0.00378146	0.00437812	0.00370538	0.00481908	0.00344711	0.00460287	0.00775297	0.0924415	0.268499	0.600423
a69	0.00114579	0.00101233	0.00131702	0.00174127	0.00244897	0.00479535	0.00535289	0.00365917	0.0050241	0.00380036	0.00628047	0.00950268	0.0928701	0.250383	0.610667
a4	0.000226834	0.00021358	0.000285509	0.000427542	0.000602663	0.0012221	0.00140492	0.00101744	0.00122683	0.00088383	0.00150176	0.00288192	0.06139	0.242599	0.684116
a57	0.000593395	0.000574378	0.000767345	0.00115484	0.00168153	0.00300939	0.00344945	0.00271733	0.00326731	0.00235115	0.00363441	0.00742688	0.099685	0.274437	0.595251
a82	0.00236716	0.00222708	0.00287442	0.00367335	0.00506149	0.0088497	0.00929508	0.00571072	0.00757094	0.00565321	0.00922052	0.015094	0.106426	0.262226	0.553751
a87	0.0275794	0.0202836	0.019817	0.0227448	0.0264111	0.0382554	0.0377873	0.0264819	0.0373864	0.0347054	0.0366786	0.0452854	0.119612	0.207357	0.299614
a23	0.0966097	0.065179	0.0495678	0.0463676	0.0371894	0.0461362	0.0496742	0.0605572	0.088013	0.0938442	0.0875306	0.0576588	0.0701611	0.0750663	0.0764451
a97	0.0469611	0.0308102	0.0206668	0.0143747	0.00691508	0.00926671	0.00806279	0.00803606	0.0151591	0.0206834	0.028342	0.0267282	0.125634	0.235099	0.40326
a87	0.0251733	0.0158575	0.0116923	0.0109843	0.00839074	0.0154737	0.0174588	0.0194889	0.0330425	0.0337278	0.0282478	0.0180376	0.0766928	0.205373	0.480359
a23	0.0360182	0.0262684	0.0219292	0.0232692	0.0185775	0.0303367	0.0336555	0.0349692	0.0552204	0.055795	0.0423322	0.024993	0.0621847	0.153975	0.380475
a99	0.0414895	0.0302533	0.0217233	0.0180092	0.0105809	0.0172086	0.0166742	0.0174988	0.03041	0.0341442	0.0391604	0.0382902	0.112508	0.182816	0.389234
</S>	0.0404004	0.0266914	0.0227889	0.0254478	0.0174337	0.0231741	0.0204987	0.02101	0.0298676	0.0333971	0.0355638	0.0435133	0.111575	0.182836	0.365802
