 	mon	argent	est	tombé	</S>
a66	0.509423	0.196002	0.106536	0.0836537	0.104384
a87	0.324065	0.220551	0.156974	0.124691	0.17372
a23	0.502212	0.254116	0.125489	0.0604597	0.0577241
a13	0.498591	0.245962	0.118911	0.0647695	0.0717656
a54	0.568841	0.235361	0.101714	0.049292	0.0447924
a15	0.507169	0.288689	0.109844	0.0521492	0.0421489
a7	0.306317	0.304503	0.192881	0.121224	0.0750745
a20	0.163152	0.216107	0.213283	0.221585	0.185873
a69	0.12123	0.17598	0.202369	0.253544	0.246877
a44	0.127965	0.193755	0.216296	0.235748	0.226236
a90	0.0528313	0.0960966	0.17269	0.297051	0.38133
a69	0.0430958	0.083445	0.166419	0.298821	0.408219
a56	0.0333048	0.0649853	0.156113	0.305099	0.440498
a47	0.0161117	0.0332121	0.106724	0.289904	0.554049
a62	0.00985473	0.0183185	0.0690508	0.262627	0.640149
a88	0.00507564	0.00933119	0.0393556	0.197608	0.748629
a71	0.00380934	0.00673524	0.0265676	0.148118	0.81477
a98	0.0168894	0.0248583	0.0584285	0.182045	0.717778
a47	0.0193422	0.0247684	0.0607116	0.178767	0.716411
a0	0.0145153	0.0196443	0.0525915	0.174863	0.738386
a36	0.0158471	0.0185907	0.0488079	0.163489	0.753265
a2	0.0752544	0.0655618	0.101879	0.211577	0.545728
a82	0.180775	0.119234	0.127409	0.192427	0.380154
a3	0.279015	0.179404	0.146982	0.153905	0.240694
a87	0.209519	0.17427	0.162034	0.186728	0.267449
a97	0.173023	0.143358	0.136661	0.190239	0.35672
a87	0.141728	0.135912	0.159852	0.224364	0.338143
a97	0.112647	0.111929	0.16358	0.246862	0.364982
a87	0.111233	0.139613	0.199498	0.254832	0.294824
a23	0.103886	0.131392	0.199222	0.26354	0.301961
a97	0.0804623	0.105832	0.180634	0.273637	0.359435
a87	0.135931	0.147612	0.194333	0.242372	0.279752
</S>	0.0865744	0.116135	0.18956	0.271194	0.336536
