 	il	binait	dans	sa	plantation	</S>
a23	0.693135	0.102235	0.0196953	0.0170419	0.0436975	0.124195
a10	0.614726	0.157259	0.058113	0.0447788	0.0539717	0.071151
a87	0.295575	0.156354	0.084718	0.0907264	0.13432	0.238307
a23	0.222616	0.189211	0.10267	0.0890232	0.145009	0.251471
a79	0.179968	0.15729	0.0976668	0.0857193	0.155662	0.323694
a20	0.347599	0.124125	0.120649	0.116789	0.124486	0.166351
a73	0.391988	0.186142	0.184058	0.106739	0.0744498	0.0566238
a37	0.34775	0.206916	0.214521	0.117594	0.0670426	0.0461766
a26	0.217828	0.173479	0.253111	0.170449	0.105968	0.0791647
a11	0.162067	0.118309	0.239211	0.224839	0.142416	0.113159
a12	0.169219	0.140508	0.260571	0.220742	0.124946	0.0840128
a37	0.108861	0.0970373	0.200395	0.253214	0.200106	0.140387
a54	0.17157	0.143198	0.218479	0.218438	0.142249	0.106066
a73	0.141948	0.0898681	0.147613	0.201995	0.212074	0.206502
a69	0.0722953	0.0467016	0.127235	0.244119	0.259363	0.250286
a76	0.0649476	0.0448977	0.120361	0.207389	0.262202	0.300203
a20	0.0844629	0.0808481	0.140028	0.182238	0.226672	0.28575
a94	0.0717453	0.0519359	0.112944	0.173632	0.245782	0.34396
a53	0.0616869	0.0430576	0.111704	0.189778	0.251177	0.342597
a90	0.0483178	0.0406725	0.0973303	0.160331	0.248115	0.405233
a13	0.0321988	0.0287287	0.0791546	0.159175	0.284194	0.416549
a90	0.0205007	0.0135282	0.0406388	0.09255	0.249325	0.583457
a20	0.039687	0.0256241	0.0511028	0.111127	0.258332	0.514127
a84	0.0135389	0.0105594	0.0353746	0.0984444	0.254999	0.587083
a87	0.00365765	0.00211722	0.0072328	0.0347065	0.193787	0.758498
</S>	0.00176781	0.00208394	0.00873121	0.0416314	0.238768	0.707017
