 	l'	oseille	pousse	avec	la	pluie	</S>
a23	0.362198	0.165457	0.139224	0.128685	0.082687	0.0638062	0.0579428
a40	0.494642	0.164984	0.0879532	0.0798256	0.0624873	0.0548823	0.0552256
a6	0.373824	0.145321	0.0679994	0.0822225	0.0982301	0.113982	0.11842
a37	0.44432	0.298383	0.0937621	0.0618026	0.042393	0.0291396	0.0301993
a0	0.426955	0.367171	0.10727	0.0486253	0.0230868	0.0128773	0.0140149
a21	0.419391	0.335144	0.127903	0.055571	0.0277876	0.0166183	0.0175855
a85	0.325884	0.31747	0.184483	0.0872216	0.0392089	0.0227004	0.0230328
a37	0.247473	0.241494	0.16045	0.117537	0.0869275	0.0695281	0.0765905
a98	0.262876	0.265105	0.234338	0.10494	0.0519876	0.0383697	0.0423838
a47	0.118995	0.122729	0.170794	0.161598	0.147086	0.135245	0.143554
a73	0.147141	0.133008	0.197368	0.143807	0.108209	0.119261	0.151207
a7	0.0712969	0.0658071	0.138454	0.154388	0.15124	0.182655	0.236158
a26	0.0435011	0.0368437	0.0785003	0.100287	0.13161	0.23337	0.375888
a90	0.0283164	0.0233	0.0490506	0.0726761	0.122672	0.238879	0.465105
a54	0.0234408	0.0247741	0.0625663	0.105109	0.16831	0.253102	0.362699
a73	0.0327876	0.0279337	0.0485952	0.0665011	0.118048	0.264875	0.441259
a85	0.0113222	0.0101035	0.0242574	0.0470456	0.115498	0.308065	0.483708
a47	0.0125872	0.0106839	0.0186438	0.0350591	0.0928438	0.30029	0.529892
a73	0.00571998	0.00571648	0.0122374	0.0293675	0.0917257	0.312597	0.542636
a37	0.00246602	0.00257898	0.00797904	0.0220172	0.0801132	0.30305	0.581796
a66	0.000893905	0.000945111	0.00410872	0.0159051	0.0687215	0.299852	0.609574
a38	0.00894372	0.00571668	0.00930905	0.0288896	0.079599	0.249247	0.618295
a53	0.0118417	0.00788146	0.0121442	0.0380781	0.105553	0.269123	0.555378
a15	0.0029113	0.00284136	0.0070341	0.0277543	0.0930098	0.282664	0.583785
a73	0.00344142	0.0029494	0.0072116	0.0260498	0.0829728	0.273207	0.604168
a2	0.00201163	0.00266974	0.00860777	0.0319058	0.0981822	0.277635	0.578988
a57	0.0490728	0.0365006	0.0480623	0.090576	0.14056	0.246288	0.388941
a87	0.159093	0.126715	0.0988508	0.127304	0.129554	0.150277	0.208207
a23	0.11542	0.0825402	0.0787798	0.116563	0.155068	0.202612	0.249016
a87	0.0651599	0.0568933	0.0468193	0.0819001	0.141324	0.274746	0.333157
</S>	0.00921169	0.0100091	0.0194408	0.0594804	0.134817	0.315633	0.451407
