 	ce	boeuf	est	cornu	</S>
a66	0.412862	0.339847	0.201685	0.0350514	0.0105545
a87	0.625746	0.267905	0.0657489	0.0237441	0.0168557
a23	0.601018	0.276196	0.0774747	0.0259449	0.0193667
a79	0.556784	0.240864	0.0753795	0.0532237	0.0737488
a44	0.41985	0.284568	0.137051	0.0772109	0.0813198
a90	0.35612	0.348771	0.20592	0.0526101	0.0365783
a44	0.278827	0.332967	0.280196	0.0770179	0.030992
a54	0.202398	0.269275	0.321861	0.15119	0.0552767
a15	0.0925272	0.167565	0.350137	0.2605	0.129271
a7	0.12439	0.200639	0.354169	0.179977	0.140824
a90	0.162644	0.206899	0.289044	0.161064	0.18035
a92	0.159451	0.215476	0.328065	0.163268	0.13374
a44	0.165742	0.216342	0.312627	0.170263	0.135027
a79	0.153379	0.1691	0.326546	0.20456	0.146415
a44	0.0838003	0.0990556	0.276498	0.282991	0.257654
a93	0.077014	0.0783303	0.249135	0.341219	0.254301
a44	0.105548	0.0989948	0.245828	0.29987	0.249758
a56	0.0605882	0.0531426	0.137004	0.355672	0.393593
a37	0.0373039	0.0330637	0.0869476	0.28889	0.553795
a85	0.0159451	0.0145121	0.0288075	0.158704	0.782031
a6	0.00254492	0.00241194	0.00889331	0.0910045	0.895145
a36	0.0026514	0.00257584	0.00969386	0.0943803	0.890699
a0	0.00274473	0.00232993	0.00526888	0.0482802	0.941376
a5	0.00168382	0.00124258	0.00318651	0.0396773	0.95421
a18	0.00169084	0.00143216	0.00475984	0.0470114	0.945106
a25	0.00345805	0.00235041	0.00596124	0.080459	0.907771
a10	0.0748119	0.0456179	0.0577899	0.157388	0.664392
a87	0.340581	0.181441	0.103636	0.100846	0.273497
a23	0.363672	0.252335	0.134671	0.0794139	0.169908
a87	0.21945	0.139815	0.0509454	0.0734038	0.516387
</S>	0.0230084	0.0141416	0.0188409	0.0841008	0.859908
