 	il	se	tut	avant	sa	colère	</S>
a23	0.205328	0.0986098	0.147473	0.126631	0.0963932	0.123277	0.202288
a53	0.196698	0.116956	0.211381	0.15	0.105708	0.0874431	0.131815
a20	0.261727	0.13134	0.133683	0.100757	0.101765	0.116803	0.153926
a73	0.460486	0.202591	0.117029	0.0692362	0.0642178	0.0461735	0.0402669
a84	0.315163	0.21567	0.170112	0.0951316	0.0840353	0.0588208	0.0610668
a40	0.240382	0.208948	0.164055	0.12331	0.0955912	0.079412	0.0883013
a73	0.12704	0.154407	0.190435	0.148085	0.137114	0.115112	0.127807
a94	0.203262	0.198881	0.202483	0.116242	0.103329	0.0824583	0.0933445
a11	0.168044	0.180351	0.246772	0.127976	0.0941372	0.0792468	0.103474
a90	0.158141	0.168014	0.238378	0.128647	0.10494	0.088312	0.113568
a69	0.116739	0.140443	0.238953	0.131848	0.125266	0.110687	0.136063
a58	0.0697861	0.0928181	0.203952	0.136811	0.147794	0.158713	0.190125
a82	0.0579076	0.0742503	0.186149	0.163829	0.15922	0.156266	0.202377
a79	0.0361744	0.0464625	0.161914	0.214273	0.17879	0.159815	0.202572
a11	0.0161634	0.022367	0.0618816	0.090852	0.141504	0.265504	0.401728
a24	0.0371238	0.0424931	0.0929194	0.133982	0.179673	0.227571	0.286238
a9	0.0508059	0.0536574	0.0839036	0.111393	0.163674	0.238149	0.298417
a87	0.0448602	0.0474147	0.102901	0.153147	0.188645	0.218603	0.24443
a23	0.0189036	0.0227125	0.0542614	0.101607	0.143731	0.24173	0.417054
a87	0.0247941	0.0254145	0.0458168	0.0615841	0.0983438	0.206597	0.53745
a40	0.00364445	0.00469271	0.0108685	0.0244537	0.0693263	0.257025	0.62999
a73	0.0200955	0.0156431	0.0279535	0.063198	0.086051	0.212545	0.574514
a84	0.0307089	0.0358125	0.0702982	0.10162	0.149913	0.25264	0.359007
a75	0.00269287	0.00348386	0.00771442	0.0211835	0.0593829	0.257179	0.648363
a94	0.0195557	0.0213797	0.0429994	0.0657173	0.10648	0.260151	0.483717
a90	0.0161085	0.0201678	0.0347364	0.0411606	0.0793547	0.241003	0.56747
a57	0.0184574	0.0256525	0.0483179	0.0536182	0.0879177	0.233792	0.532244
a38	0.00601138	0.00859124	0.0180466	0.0233859	0.0479274	0.195562	0.700475
a75	0.00650713	0.00841307	0.0197265	0.0236275	0.0480812	0.188117	0.705528
a44	0.0161752	0.0188791	0.0447104	0.0441192	0.0686771	0.212565	0.594874
a70	0.00778851	0.00965666	0.0193229	0.0209794	0.036975	0.154018	0.75126
a13	0.00689311	0.00783042	0.0172448	0.020816	0.0412122	0.159171	0.746832
a44	0.00568777	0.00629598	0.0150836	0.0186735	0.0393566	0.155275	0.759628
a84	0.00798016	0.00789676	0.0199018	0.0222741	0.0420651	0.154007	0.745875
a57	0.00550818	0.0055167	0.0110618	0.0121143	0.0358118	0.169269	0.760718
a87	0.00273129	0.00259077	0.00464532	0.00620101	0.0208992	0.142903	0.820029
</S>	0.0160331	0.0149478	0.0146021	0.0210559	0.052834	0.189414	0.691113
