 	elle	a	une	belle	plantation	</S>
a23	0.438674	0.238106	0.0977876	0.0650601	0.0684393	0.0919333
a79	0.351817	0.183998	0.112964	0.117565	0.11809	0.115566
a15	0.353387	0.218404	0.121042	0.108206	0.0940395	0.104921
a41	0.457763	0.265319	0.125079	0.067989	0.0454839	0.0383658
a26	0.425794	0.279632	0.148004	0.0773072	0.0430248	0.0262379
a24	0.32499	0.24381	0.179241	0.113844	0.0778945	0.0602208
a98	0.333312	0.236652	0.171318	0.119245	0.0800064	0.0594657
a14	0.336141	0.254828	0.165872	0.109998	0.0757169	0.057443
a35	0.315404	0.243529	0.160125	0.114714	0.0928742	0.0733534
a66	0.249781	0.207017	0.168552	0.14402	0.129649	0.100982
a53	0.200381	0.157902	0.152015	0.157057	0.167603	0.165042
a90	0.124665	0.109437	0.138834	0.188129	0.224228	0.214707
a35	0.0791027	0.0778472	0.113472	0.175903	0.252944	0.300731
a75	0.0348833	0.0348943	0.0590568	0.125652	0.288411	0.457103
a14	0.0235519	0.0244249	0.0449835	0.104855	0.28117	0.521014
a35	0.0277088	0.0295436	0.0520395	0.109341	0.288707	0.49266
a38	0.0308708	0.0325856	0.0551102	0.107332	0.273752	0.500349
a41	0.0164004	0.0162759	0.0295838	0.0695328	0.247852	0.620355
a25	0.0310505	0.0306029	0.0520614	0.102109	0.262162	0.522014
a87	0.00842179	0.00948465	0.0203897	0.0575476	0.234979	0.669177
</S>	0.010769	0.0144658	0.0286869	0.0713036	0.251298	0.623477
