 	nous	ne	savons	pas	encore	de	quelle	manière	il	a	découvert	ce	chemin	</S>
a66	0.0401564	0.0260432	0.0436082	0.0589547	0.0850462	0.0925052	0.152993	0.138241	0.14569	0.161096	0.044303	0.0053724	0.00317042	0.00282031
a87	0.158235	0.0885681	0.0418077	0.0473627	0.055586	0.0704909	0.0903207	0.0932086	0.131673	0.13908	0.0604599	0.0118118	0.00585528	0.00554027
a23	0.191906	0.094891	0.053702	0.0534105	0.0635216	0.0704715	0.0965946	0.0986686	0.114178	0.0918887	0.0469238	0.0100423	0.00620705	0.00759493
a87	0.251109	0.132932	0.0690798	0.0498962	0.0531501	0.0586339	0.0995874	0.0958436	0.0610599	0.0586581	0.0438742	0.00948773	0.0064388	0.0102492
a23	0.166676	0.095634	0.0717634	0.0603811	0.0643141	0.0694756	0.105227	0.0838746	0.0910994	0.102835	0.0599591	0.0112547	0.0078764	0.00963009
a50	0.172229	0.101792	0.0675733	0.0477994	0.0482293	0.0535653	0.0738064	0.0476723	0.0866901	0.126934	0.106758	0.0246794	0.0181149	0.0241567
a88	0.222313	0.178465	0.0941641	0.0548486	0.0429866	0.0385927	0.0521552	0.0274512	0.0672247	0.106148	0.089849	0.0144427	0.00595015	0.00540822
a71	0.204583	0.198726	0.0887487	0.05323	0.0365136	0.0303521	0.0396386	0.0281903	0.049216	0.0821388	0.131465	0.0341623	0.0128748	0.0101615
a38	0.117356	0.15903	0.0999713	0.0657826	0.0418239	0.033322	0.0347871	0.0274785	0.0432169	0.0690836	0.162454	0.0747237	0.0386478	0.0323233
a70	0.139473	0.164036	0.103915	0.0657799	0.0395852	0.026913	0.0300221	0.0231698	0.0284544	0.0424369	0.113536	0.0969292	0.0668318	0.0589171
a11	0.149548	0.167329	0.108668	0.0834118	0.0592718	0.0403961	0.045581	0.034456	0.0296462	0.038572	0.0809324	0.0717067	0.0491353	0.0413455
a61	0.136376	0.147651	0.110407	0.0905701	0.0712491	0.0497852	0.0572953	0.0461095	0.0345162	0.0400792	0.0742045	0.057173	0.045177	0.0394069
a21	0.0967782	0.119777	0.119512	0.0988096	0.0844979	0.0625523	0.0726658	0.0614039	0.041609	0.0449833	0.0637125	0.0463117	0.0456972	0.0416904
a85	0.0487556	0.067563	0.0886084	0.0899304	0.0874432	0.0790755	0.0810045	0.0907967	0.0672455	0.0717348	0.0852681	0.0469809	0.0473591	0.0482342
a47	0.0225953	0.0396922	0.0806777	0.0833825	0.074358	0.065782	0.0667337	0.0834669	0.0655776	0.0735602	0.0713006	0.0620874	0.0940875	0.116698
a7	0.0268885	0.0385001	0.107194	0.13795	0.133732	0.107213	0.095606	0.0806886	0.0488485	0.0394731	0.0303743	0.0255513	0.0507362	0.0772447
a26	0.0198643	0.025631	0.087915	0.132726	0.155032	0.140788	0.11682	0.0968523	0.0557593	0.0391338	0.0269564	0.0192371	0.0315341	0.0517508
a70	0.0140858	0.012591	0.0488381	0.0954194	0.127769	0.143703	0.125915	0.0876755	0.0463548	0.0475795	0.0618654	0.0401206	0.0547201	0.0933619
a96	0.0114001	0.00983	0.0353246	0.0715672	0.0995831	0.104707	0.084614	0.0737773	0.0424105	0.0394967	0.0689121	0.0616412	0.109729	0.187007
a75	0.00569154	0.00603225	0.0302287	0.061528	0.0901578	0.104378	0.085351	0.104996	0.0671459	0.0596439	0.0762828	0.0746338	0.101622	0.132308
a25	0.00338219	0.00502933	0.0237552	0.0520953	0.0858434	0.0789338	0.046857	0.0807823	0.053111	0.0431059	0.0204565	0.0411367	0.153832	0.311679
a90	0.00314497	0.00416338	0.0197783	0.0486439	0.085662	0.102405	0.0583583	0.087802	0.0519417	0.0382622	0.0192547	0.0464543	0.135457	0.298673
a69	0.00370903	0.00529261	0.0199676	0.0442637	0.0801049	0.0942441	0.0582032	0.0762943	0.0538141	0.0458171	0.0312328	0.0717103	0.147548	0.267799
a58	0.00410437	0.00627846	0.022897	0.043052	0.0747049	0.0806887	0.0468845	0.067907	0.0506137	0.0422273	0.0263148	0.0781156	0.159029	0.297183
a4	0.00406192	0.00447295	0.0158827	0.0304217	0.0539798	0.0758539	0.0542359	0.0581069	0.0311458	0.0238112	0.0244859	0.0617162	0.170203	0.391622
a93	0.00398554	0.0045889	0.0169441	0.0325643	0.0594467	0.0773397	0.0516084	0.0538987	0.0302066	0.0208882	0.0183032	0.0634053	0.180753	0.386068
a4	0.00210489	0.00259007	0.0138456	0.0251145	0.0440667	0.0529865	0.0322465	0.0438345	0.0223821	0.0145825	0.00955897	0.0584845	0.229619	0.448584
a13	0.00182458	0.00192029	0.00923361	0.0170701	0.0298771	0.0449783	0.0353635	0.0447312	0.0185235	0.0102991	0.00799811	0.0460278	0.228692	0.50346
a99	0.00115014	0.00108915	0.00397607	0.0102277	0.0186691	0.0344009	0.0296464	0.0331989	0.0111758	0.00539739	0.00500948	0.0245243	0.195736	0.625798
a87	0.00319012	0.00241077	0.00543568	0.0113167	0.0195161	0.0387916	0.0337487	0.0315409	0.014169	0.00831755	0.00753422	0.0351967	0.211332	0.5775
a23	0.0278878	0.0230212	0.0352041	0.0474377	0.0573766	0.0721816	0.0557262	0.0494453	0.0450286	0.039752	0.0328783	0.0658203	0.194602	0.253638
