 	prends	une	quinine	ainsi	tu	seras	guéri	</S>
a23	0.195626	0.20195	0.139461	0.232887	0.108455	0.066202	0.0315102	0.0239091
a87	0.131137	0.080723	0.140384	0.301173	0.135193	0.0720151	0.0616785	0.0776968
a23	0.129711	0.091597	0.112622	0.123693	0.0947766	0.0898153	0.137014	0.220771
a10	0.189708	0.152526	0.111275	0.17144	0.0653314	0.0685804	0.0982122	0.142927
a87	0.264945	0.17296	0.0626596	0.0825713	0.0410711	0.0748829	0.138763	0.162146
a23	0.133652	0.109777	0.0683904	0.116555	0.0632918	0.108572	0.168722	0.23104
a53	0.178769	0.136145	0.0683234	0.133301	0.0628449	0.0986371	0.144322	0.177657
a20	0.400921	0.251447	0.0652595	0.0522914	0.0258488	0.0394651	0.088219	0.0765481
a30	0.361217	0.277317	0.118824	0.0902208	0.0461282	0.0393081	0.0362904	0.0306948
a35	0.294291	0.257234	0.166721	0.101458	0.0660819	0.0454449	0.0326499	0.036119
a57	0.284879	0.237675	0.19678	0.115923	0.0707209	0.0413964	0.0251439	0.0274813
a38	0.110246	0.134914	0.189757	0.124913	0.119343	0.101175	0.101318	0.118334
a24	0.135359	0.150172	0.216124	0.111162	0.11393	0.0945693	0.0806093	0.0980742
a66	0.219431	0.225162	0.197987	0.136211	0.0799078	0.0628368	0.0392766	0.0391879
a26	0.0853844	0.123245	0.213972	0.171711	0.116074	0.100148	0.0821193	0.107346
a98	0.084209	0.105905	0.158178	0.15512	0.118473	0.132136	0.112455	0.133525
a83	0.0800934	0.124509	0.191872	0.190751	0.111131	0.109175	0.0846696	0.107799
a9	0.0585597	0.0806211	0.123825	0.144176	0.112391	0.163674	0.143575	0.17318
a87	0.018011	0.0291156	0.0960586	0.104609	0.118909	0.187607	0.197654	0.248036
a23	0.00795287	0.0107629	0.0353739	0.0324651	0.0387619	0.0885018	0.307041	0.47914
a99	0.00974763	0.00911658	0.0264091	0.0349419	0.0336592	0.079576	0.316122	0.490428
a13	0.00268476	0.0033099	0.00829375	0.0157595	0.0210392	0.0790037	0.319429	0.55048
a11	0.00508474	0.00629608	0.0126164	0.0229137	0.0259506	0.0836478	0.290441	0.55305
a94	0.0030855	0.0041622	0.0109777	0.0220237	0.0236868	0.0744247	0.267688	0.593952
a35	0.00364554	0.0041349	0.00879389	0.0216631	0.0216957	0.0775646	0.291994	0.570508
a76	0.00341882	0.00274785	0.00382868	0.00766134	0.0112656	0.0541947	0.275991	0.640891
a90	0.00412594	0.0027263	0.00336668	0.00590299	0.0108653	0.0496599	0.240575	0.682777
a13	0.00776214	0.00539026	0.00563698	0.00827629	0.0132349	0.0511443	0.23403	0.674525
a38	0.0079494	0.00405099	0.00468286	0.00844878	0.0101873	0.0344157	0.199389	0.730876
a26	0.00761062	0.00415711	0.00446823	0.00800959	0.0109624	0.0287726	0.148065	0.787954
a24	0.0150465	0.00770371	0.00793981	0.0135939	0.0180091	0.0376836	0.136186	0.763838
a76	0.0105491	0.00581789	0.00659628	0.00974528	0.0159987	0.0408937	0.161409	0.74899
a73	0.0026239	0.00148003	0.00253413	0.00499437	0.00950734	0.0273818	0.17366	0.777819
a57	0.00372339	0.0019707	0.00274625	0.00482932	0.0086966	0.0317021	0.174262	0.77207
a87	0.00533291	0.00274543	0.0058126	0.00663175	0.0142784	0.0415355	0.217465	0.706198
</S>	0.0241888	0.0137672	0.0201021	0.0164387	0.0302842	0.0565238	0.197611	0.641085
