 	l'	enfant	agace	son	père	</S>
a10	0.177701	0.135131	0.152235	0.169865	0.156582	0.208487
a87	0.231605	0.204181	0.229326	0.13585	0.0946849	0.104353
a23	0.332492	0.181489	0.176633	0.132406	0.0914775	0.0855023
a76	0.409502	0.295443	0.157796	0.0567081	0.0364809	0.0440696
a35	0.524274	0.233915	0.133701	0.0496834	0.0285282	0.0298993
a14	0.618929	0.26719	0.0761132	0.022091	0.00829327	0.00738339
a35	0.496202	0.334531	0.115204	0.0332906	0.0113471	0.00942563
a30	0.399108	0.335587	0.177512	0.053711	0.0183596	0.0157213
a14	0.314553	0.310896	0.230925	0.0819995	0.0320178	0.0296082
a2	0.28042	0.326623	0.233677	0.0960713	0.0336943	0.0295146
a57	0.208683	0.254035	0.251436	0.142115	0.0646849	0.0790457
a54	0.185559	0.24256	0.253218	0.158671	0.0732599	0.0867319
a41	0.213133	0.220136	0.266701	0.169344	0.0670453	0.0636412
a35	0.165874	0.20957	0.251875	0.193941	0.0981643	0.0805767
a25	0.093842	0.132606	0.219698	0.241566	0.165064	0.147224
a38	0.0539348	0.0737297	0.150173	0.231435	0.226386	0.264342
a35	0.0267933	0.0367646	0.0894665	0.193598	0.286285	0.367093
a27	0.0306997	0.0362077	0.0895815	0.198569	0.305556	0.339386
a10	0.0143561	0.0191172	0.0390479	0.0968798	0.279918	0.550681
a11	0.00862507	0.0112369	0.0206503	0.0633595	0.250028	0.646101
a24	0.004232	0.00547531	0.0132088	0.0430384	0.244472	0.689573
a41	0.00532197	0.00780825	0.0149159	0.0363312	0.236709	0.698914
a24	0.00636179	0.008229	0.0171736	0.0510932	0.296409	0.620734
a41	0.0051485	0.00750867	0.0146148	0.0350143	0.238068	0.699645
a18	0.00758278	0.00930859	0.0161512	0.0514306	0.282432	0.633094
a25	0.0122397	0.0166891	0.0262696	0.0445935	0.22065	0.679558
a87	0.0155568	0.0182332	0.0271746	0.0517455	0.208705	0.678585
</S>	0.0178985	0.0217295	0.0313248	0.0747719	0.261472	0.592803
