 	il	s'	approche	de	lui	par	derrière	</S>
a23	0.413458	0.225437	0.105059	0.0439304	0.0442792	0.0584624	0.0579475	0.0514264
a85	0.34906	0.205516	0.0973738	0.061123	0.0534193	0.0595165	0.076076	0.0979148
a87	0.226566	0.187284	0.182478	0.11212	0.0746344	0.0553823	0.062691	0.0988441
a23	0.288398	0.283197	0.179757	0.0949889	0.0429565	0.0271133	0.0321818	0.0514066
a79	0.208664	0.177852	0.132931	0.0966285	0.064508	0.0721791	0.0924022	0.154836
a20	0.341591	0.263436	0.206388	0.0673712	0.0343092	0.0249654	0.0253092	0.0366301
a73	0.263683	0.290375	0.235537	0.112453	0.0510792	0.0208058	0.0128797	0.0131877
a2	0.220991	0.264911	0.255881	0.138566	0.0702281	0.0235025	0.0137787	0.0121408
a57	0.16567	0.212855	0.245701	0.164703	0.105782	0.0430421	0.0314643	0.0307814
a87	0.121035	0.150016	0.178457	0.158054	0.113736	0.0653533	0.0879195	0.125429
a23	0.136522	0.15925	0.16926	0.173185	0.121419	0.071118	0.0733726	0.0958734
a40	0.0939189	0.106735	0.12844	0.159062	0.134732	0.103011	0.11507	0.159031
a73	0.163391	0.179411	0.193419	0.136236	0.10574	0.0812657	0.070755	0.0697829
a94	0.184447	0.201944	0.22813	0.16312	0.0982241	0.0523986	0.039386	0.0323498
a75	0.107091	0.123652	0.213346	0.221576	0.141297	0.0756422	0.0620795	0.0553167
a41	0.0946871	0.0979521	0.152783	0.190545	0.152649	0.106545	0.101499	0.10334
a61	0.0619248	0.0566306	0.085217	0.130972	0.144172	0.147229	0.169168	0.204687
a24	0.051501	0.0467406	0.0596057	0.103105	0.147535	0.169543	0.191158	0.230812
a41	0.0460282	0.0387279	0.0394427	0.0646257	0.112807	0.179315	0.229491	0.289563
a56	0.0295395	0.0270637	0.0330599	0.0463876	0.0810862	0.167829	0.268026	0.347008
a98	0.0330352	0.0293339	0.0339299	0.0520988	0.0899483	0.172269	0.251159	0.338226
a73	0.0123668	0.00956354	0.0115567	0.0206683	0.0457204	0.156676	0.299873	0.443575
a76	0.00755489	0.00562344	0.00837693	0.0196815	0.0476011	0.173634	0.331547	0.40598
a73	0.00779622	0.00509667	0.0084871	0.0172574	0.0374655	0.136522	0.303547	0.483828
a2	0.00535642	0.00369289	0.00707902	0.0167387	0.036821	0.137674	0.327762	0.464876
a57	0.0027812	0.00162733	0.0029377	0.00786444	0.0176298	0.072741	0.281547	0.612871
a87	0.00395577	0.00176768	0.00240159	0.00598271	0.0139769	0.0653265	0.259441	0.647147
a23	0.00354722	0.00179607	0.00282556	0.0068663	0.0200675	0.113337	0.30122	0.55034
a76	0.00484111	0.00299768	0.0066113	0.0168955	0.0354934	0.149175	0.31534	0.468646
a94	0.00681584	0.00331882	0.00645899	0.0125218	0.0244805	0.0962797	0.287754	0.56237
a76	0.000419723	0.000278805	0.00084444	0.00341764	0.0132342	0.0746788	0.265853	0.641274
a94	0.00228778	0.00135769	0.0029972	0.00836367	0.022795	0.099642	0.275578	0.586979
a13	0.000306623	0.000208416	0.00052655	0.00207341	0.0073021	0.054072	0.244551	0.69096
a82	0.000133314	7.92583e-05	0.000210774	0.000748444	0.00326431	0.037305	0.245501	0.712758
a58	0.000267485	0.00012536	0.000275313	0.000920838	0.00388816	0.0417032	0.247303	0.705516
a82	0.00124928	0.000511066	0.00105087	0.00284091	0.00859681	0.0517237	0.246313	0.687714
a57	0.00355719	0.00147771	0.00262599	0.00513841	0.0120222	0.0645821	0.258808	0.651788
a87	0.0148766	0.00894972	0.0122808	0.0174865	0.0281323	0.0915727	0.281716	0.544985
</S>	0.0119799	0.00682267	0.00899781	0.0119922	0.0230421	0.10492	0.300706	0.531539
