 	tu	vantes	ta	force	mais	si	on	commence	le	combat	tuseras	le	premier	à	verser	les	larmes	</S>
a66	0.136098	0.133425	0.0791493	0.0842654	0.0781251	0.0702801	0.0547084	0.0729365	0.0805001	0.104269	0.0569057	0.0141087	0.0102502	0.00648473	0.0055283	0.00477262	0.00413159	0.00406027
a87	0.167408	0.0482484	0.0348501	0.0330514	0.0326703	0.0542034	0.0554529	0.0901415	0.0929455	0.0891675	0.0897878	0.044563	0.0333124	0.0161776	0.0221543	0.0226794	0.0331243	0.0400623
a23	0.217908	0.0959436	0.0939419	0.0893449	0.0489673	0.0467891	0.0322175	0.0425565	0.05176	0.0656622	0.046985	0.027144	0.0204029	0.0157311	0.0158476	0.0174464	0.0291508	0.0422015
a54	0.232442	0.157812	0.123065	0.0896414	0.0437774	0.0404001	0.0272833	0.0355219	0.0479933	0.0708818	0.0334242	0.014019	0.0149859	0.00983435	0.00954785	0.0126551	0.0149136	0.0218015
a15	0.226875	0.219828	0.0808336	0.0396199	0.0210898	0.0191241	0.0181353	0.0251272	0.0273047	0.040428	0.0211445	0.0132019	0.0214988	0.0246928	0.0319943	0.0433452	0.0575683	0.0681883
a25	0.160945	0.136454	0.0793988	0.0480437	0.0307278	0.0341428	0.0341333	0.0792811	0.0799196	0.118493	0.0715952	0.0182007	0.0176758	0.0120799	0.0118238	0.0185138	0.0235364	0.0250344
a69	0.155386	0.14082	0.102186	0.0657193	0.0445964	0.048342	0.045484	0.0840499	0.0765524	0.0816274	0.0560696	0.0156261	0.0138377	0.00849118	0.00786234	0.0125778	0.0185044	0.0222675
a56	0.0910607	0.15481	0.165084	0.108631	0.0561694	0.0400445	0.0339434	0.052663	0.042809	0.0444327	0.0378968	0.0220205	0.0191296	0.0192689	0.0182828	0.0260483	0.0319403	0.0357653
a25	0.0847157	0.112166	0.136344	0.117715	0.0815483	0.0674159	0.0640119	0.0723948	0.0593396	0.0552955	0.0428053	0.0159037	0.0128165	0.0113193	0.0114532	0.0150897	0.0180923	0.0215733
a44	0.0577056	0.0860831	0.141415	0.111304	0.0723747	0.0613058	0.063046	0.0825131	0.0639832	0.0545487	0.0439335	0.0204566	0.0142732	0.0156461	0.0186543	0.0219546	0.0312914	0.0395107
a75	0.0568474	0.0865986	0.135674	0.132307	0.10384	0.0786525	0.0729422	0.0733334	0.0601991	0.0465453	0.0347986	0.0167271	0.0128435	0.0138592	0.0145346	0.0159771	0.020182	0.0241379
a6	0.0405509	0.0747454	0.124374	0.114784	0.0851616	0.0680101	0.0745064	0.08334	0.0733573	0.0614377	0.0556874	0.0214858	0.0162371	0.0169099	0.0196477	0.0200866	0.0232137	0.0264644
a37	0.0232905	0.0493098	0.113992	0.116869	0.0890856	0.0771682	0.0855229	0.0882926	0.0828561	0.0662823	0.0542117	0.0238214	0.0171418	0.0177239	0.0210918	0.021086	0.0243874	0.0278672
a54	0.0142119	0.0250819	0.0910096	0.140374	0.120629	0.100697	0.100956	0.101253	0.0934453	0.0670911	0.0465686	0.0152334	0.0108465	0.011114	0.0123345	0.0119299	0.015657	0.0215676
a36	0.00618473	0.01402	0.0509777	0.106946	0.113483	0.105922	0.111413	0.100213	0.102116	0.0721204	0.0530999	0.0218211	0.0165362	0.017249	0.0239526	0.0208725	0.0265497	0.0365234
