 	l'	épine	de	l'	arbre	ipapaa	est	mordante	</S>
a84	0.194891	0.134214	0.131605	0.161754	0.181595	0.14412	0.0350279	0.00995161	0.00684025
a10	0.449277	0.213103	0.129192	0.0843449	0.0572849	0.0481059	0.00754608	0.00380523	0.00734173
a87	0.321006	0.196135	0.164294	0.135629	0.0969793	0.0491434	0.0100861	0.00961703	0.0171103
a23	0.346179	0.217711	0.169849	0.119907	0.0761756	0.0327295	0.0107465	0.0108324	0.0158712
a50	0.273864	0.179811	0.144571	0.12393	0.112779	0.0789716	0.0285593	0.0238317	0.0336827
a88	0.190664	0.147887	0.138353	0.157763	0.145462	0.120384	0.0404364	0.0250071	0.0340435
a34	0.194687	0.179987	0.177952	0.207171	0.154894	0.0676714	0.0107096	0.00345912	0.00346816
a75	0.178932	0.211456	0.21785	0.190033	0.128022	0.0588594	0.00867214	0.00340064	0.00277433
a25	0.109297	0.161533	0.204615	0.21451	0.169906	0.119822	0.0149054	0.00317812	0.00223291
a98	0.101657	0.13114	0.17226	0.213677	0.192037	0.14148	0.0306214	0.00970263	0.0074244
a85	0.0975629	0.150202	0.191796	0.206679	0.167567	0.126765	0.0366054	0.0130999	0.00972285
a21	0.0984008	0.143071	0.18098	0.187049	0.148628	0.104475	0.0637986	0.0410826	0.0325149
a12	0.167079	0.190487	0.173035	0.175751	0.149059	0.0932305	0.0256349	0.0140833	0.011641
a96	0.0915612	0.0950925	0.117731	0.193824	0.218263	0.157026	0.0559897	0.0358453	0.0346675
a18	0.041516	0.0486183	0.0671114	0.140627	0.22627	0.235173	0.0914779	0.070367	0.078839
a98	0.0283969	0.0448048	0.0534095	0.112882	0.177376	0.217696	0.151146	0.0919498	0.122339
a15	0.0109238	0.0135482	0.020576	0.0680411	0.13308	0.176942	0.185315	0.210469	0.181104
a7	0.00746713	0.0075501	0.0107872	0.0329976	0.0839093	0.148046	0.228344	0.241603	0.239295
a75	0.0149744	0.0158994	0.0164492	0.0341411	0.0834642	0.130793	0.208711	0.200029	0.295538
a12	0.00732727	0.00722502	0.00937371	0.023394	0.055925	0.103132	0.202502	0.266597	0.324524
a47	0.00686756	0.00658973	0.00687144	0.0132239	0.0370903	0.0732222	0.187147	0.261613	0.407375
a61	0.0019587	0.00203193	0.00199391	0.00436731	0.0142264	0.0372508	0.153717	0.306498	0.477956
a21	0.0022104	0.00228791	0.00210983	0.00376864	0.00969691	0.0249892	0.138805	0.351665	0.464467
a92	0.00228003	0.00214453	0.00206253	0.0034153	0.00821412	0.02124	0.153497	0.360298	0.446848
a37	0.000741436	0.000764626	0.000757156	0.00143057	0.00333258	0.0093526	0.110505	0.370973	0.502143
a34	0.000591982	0.000701252	0.000620733	0.00108612	0.00208618	0.00499495	0.065161	0.322142	0.602616
a93	0.000350066	0.000407679	0.000418388	0.000826242	0.00165473	0.00403173	0.0529776	0.278289	0.661044
a34	0.000318016	0.000398041	0.000376676	0.000738723	0.00135295	0.00317507	0.0347618	0.2448	0.714078
a75	0.000206352	0.000261791	0.000197861	0.000366264	0.000701022	0.00185849	0.0266389	0.227228	0.742541
a54	6.74178e-05	8.81648e-05	8.90618e-05	0.000237926	0.000598509	0.00204421	0.0340693	0.263298	0.699508
a47	2.10414e-05	2.73274e-05	2.78674e-05	7.27542e-05	0.000184535	0.000664962	0.0180827	0.246495	0.734424
a36	0.000123731	0.000148381	9.62814e-05	0.000150944	0.000232203	0.000883936	0.0328303	0.316343	0.649191
a2	0.00107235	0.00119249	0.000539954	0.000601011	0.000768897	0.0029293	0.0392298	0.292109	0.661557
a57	0.0285165	0.038164	0.0153521	0.0176911	0.0220372	0.0433194	0.114268	0.271068	0.449584
a87	0.117393	0.0748632	0.0298267	0.0312166	0.040948	0.0570124	0.0977064	0.206717	0.344317
a23	0.267582	0.221445	0.100072	0.0778496	0.0727645	0.064605	0.0561209	0.0651604	0.0744007
a97	0.0709554	0.0537418	0.0149187	0.0075656	0.00646935	0.00913144	0.0464654	0.20196	0.588793
</S>	0.0204715	0.016174	0.00555481	0.00415643	0.00593102	0.0130223	0.0458656	0.224885	0.663939
