 	cette	femme-ci	a	beaucoup	de	bracelets	au	bras	</S>
a10	0.300251	0.262245	0.13122	0.106845	0.0923851	0.0455627	0.0253556	0.0203198	0.0158156
a87	0.270851	0.149708	0.0986017	0.0725748	0.0619693	0.0567975	0.0838388	0.0955615	0.110098
a79	0.169354	0.118464	0.0708648	0.0742686	0.080621	0.0768794	0.0950375	0.121804	0.192706
a93	0.30598	0.275869	0.112225	0.0687282	0.0407952	0.0294817	0.0420843	0.0555699	0.0692673
a34	0.436577	0.262053	0.133003	0.0639643	0.030007	0.0169214	0.0160128	0.019946	0.0215148
a21	0.376583	0.280844	0.176993	0.0856343	0.0397654	0.014291	0.00938604	0.00813435	0.00836851
a75	0.289409	0.339924	0.234983	0.0913108	0.0285671	0.00591625	0.00351241	0.00314346	0.00323331
a56	0.222885	0.340339	0.269991	0.103508	0.0351439	0.00967637	0.00564409	0.00581209	0.00700118
a90	0.179823	0.317499	0.286649	0.130116	0.0493218	0.0134017	0.00729066	0.00739118	0.00850734
a98	0.140517	0.272128	0.257926	0.165568	0.0818342	0.0268039	0.0164151	0.0176903	0.0211174
a41	0.152127	0.240432	0.227141	0.14269	0.0852149	0.0500928	0.0325297	0.0329385	0.0368343
a24	0.118754	0.182741	0.203047	0.188762	0.125647	0.0585193	0.0357915	0.0395403	0.0471983
a31	0.108268	0.141935	0.15794	0.187826	0.152992	0.0862658	0.0491023	0.0502304	0.0654409
a66	0.124618	0.123873	0.143494	0.18724	0.165522	0.11031	0.0543834	0.043898	0.0466619
a98	0.0320386	0.0469886	0.0727272	0.154503	0.179561	0.152178	0.127582	0.114098	0.120323
a41	0.045981	0.0456599	0.049207	0.116535	0.17737	0.20904	0.12732	0.105814	0.123073
a96	0.0470502	0.0472942	0.0381661	0.0690807	0.083105	0.133007	0.134522	0.186442	0.261333
a31	0.0376282	0.0372679	0.0370909	0.0746222	0.131391	0.2048	0.156901	0.14627	0.17403
a96	0.0225441	0.021619	0.026918	0.058971	0.10971	0.205591	0.206222	0.184641	0.163783
a75	0.0131852	0.0126186	0.0150585	0.0307025	0.0695343	0.201303	0.223075	0.223829	0.210694
a44	0.0170307	0.0147002	0.0107763	0.0180591	0.0265732	0.107059	0.195274	0.291693	0.318834
a90	0.00495999	0.00488522	0.00509075	0.010996	0.0208945	0.0957553	0.191456	0.305211	0.360752
a25	0.00508058	0.00440667	0.00436405	0.00945372	0.0204487	0.114235	0.214414	0.307987	0.319611
a69	0.00179656	0.00180597	0.00220744	0.00488336	0.0111041	0.0695377	0.167668	0.294589	0.446408
a58	0.00109531	0.000994233	0.00175142	0.00444252	0.00960577	0.0531142	0.142012	0.296754	0.490231
a82	0.00134958	0.000912848	0.000825481	0.00140687	0.00261467	0.0203674	0.0978494	0.275231	0.599443
a10	0.0561852	0.023799	0.0144235	0.0137311	0.0174317	0.0590136	0.150034	0.251884	0.413499
a87	0.224176	0.112755	0.0667861	0.0442097	0.0390156	0.0793314	0.119945	0.142374	0.171408
a23	0.151891	0.0969672	0.0930298	0.103123	0.111242	0.112673	0.116321	0.108883	0.105869
a97	0.0324133	0.0176224	0.016472	0.0184963	0.0347206	0.0874024	0.19182	0.290914	0.310139
</S>	0.0305984	0.0304485	0.036457	0.0380922	0.0385143	0.0540378	0.121176	0.249781	0.400895
