 	il	viendra	cet	après-midi	</S>
a85	0.571182	0.219355	0.0818608	0.0616718	0.0659302
a87	0.56776	0.158111	0.0952012	0.0707181	0.10821
a23	0.494259	0.223747	0.11946	0.0644554	0.0980795
a20	0.489734	0.26305	0.115549	0.0568977	0.074769
a30	0.40915	0.360368	0.114562	0.0700741	0.0458465
a41	0.353646	0.460368	0.123395	0.0444025	0.0181888
a24	0.283531	0.382252	0.195731	0.0960856	0.0424006
a41	0.206298	0.271168	0.247145	0.180055	0.0953341
a2	0.0994198	0.161794	0.264461	0.305944	0.168381
a20	0.0791223	0.154031	0.180273	0.281447	0.305126
a73	0.119847	0.21029	0.206796	0.244008	0.219059
a41	0.121903	0.217006	0.187321	0.245663	0.228108
a27	0.0463223	0.131476	0.197279	0.299664	0.325258
a41	0.0326221	0.0571884	0.0993157	0.283375	0.527499
a76	0.0145987	0.0345777	0.0718773	0.285456	0.59349
a73	0.0115663	0.0450082	0.0986832	0.326102	0.51864
a2	0.0100629	0.0373844	0.0813786	0.289792	0.581382
a57	0.0223366	0.0422926	0.0487611	0.13806	0.748549
a87	0.00983374	0.0230988	0.0373272	0.129088	0.800653
</S>	0.00683186	0.0270712	0.066359	0.213491	0.686247
