 	ce	petit	enfant	a	une	plaie	au	nombril	</S>
a66	0.457235	0.229342	0.0755303	0.0474803	0.03707	0.0384637	0.0418609	0.0396405	0.0333777
a87	0.561881	0.270219	0.0555355	0.0243286	0.0196617	0.0175608	0.0179015	0.0187464	0.0141657
a23	0.523695	0.255103	0.0794138	0.037853	0.0297545	0.0216154	0.0180242	0.017296	0.017245
a79	0.30489	0.145188	0.0587501	0.0525158	0.0674334	0.0815011	0.0850681	0.0993623	0.105291
a54	0.329638	0.231012	0.0870461	0.0615144	0.0592035	0.0532362	0.0579156	0.062035	0.0583992
a92	0.221807	0.245529	0.158631	0.0995452	0.0962871	0.0803697	0.0558261	0.0239726	0.0180326
a6	0.211285	0.303138	0.220577	0.126276	0.0708128	0.0412461	0.0176966	0.00539655	0.00357288
a36	0.162848	0.226387	0.205495	0.165288	0.111419	0.0737851	0.034726	0.0117667	0.00828582
a47	0.128389	0.133061	0.161983	0.174825	0.157486	0.114408	0.0687737	0.0369708	0.024103
a31	0.108122	0.130104	0.16081	0.182893	0.157009	0.119351	0.0714884	0.0407911	0.0294313
a43	0.110124	0.152735	0.191164	0.174146	0.136641	0.101294	0.0677708	0.0410032	0.0251225
a90	0.028992	0.0467737	0.116209	0.177994	0.19106	0.169278	0.133607	0.0855584	0.0505266
a25	0.0197437	0.0305832	0.0818938	0.148114	0.173403	0.177138	0.150763	0.141067	0.0772938
a6	0.00974108	0.0215833	0.083415	0.142928	0.176182	0.194196	0.170933	0.123082	0.0779399
a37	0.00613569	0.00862582	0.0293243	0.0791984	0.125631	0.194547	0.218835	0.214266	0.123437
a6	0.00684661	0.00638874	0.0151794	0.0390765	0.0741778	0.148274	0.260729	0.258568	0.19076
a36	0.00197611	0.00279189	0.010424	0.0289885	0.0554488	0.117131	0.191967	0.291567	0.299706
a7	0.00215572	0.00180732	0.00421268	0.0103327	0.0219644	0.0547272	0.146407	0.346263	0.41213
a90	0.00188309	0.0013579	0.00243479	0.00467773	0.0106699	0.0290018	0.090731	0.320125	0.539118
a79	0.000622393	0.000556267	0.00141403	0.00320291	0.00799109	0.0239973	0.0754535	0.328758	0.558004
a69	0.000429129	0.000432197	0.00137455	0.00335352	0.00884568	0.0272227	0.0822411	0.302571	0.57353
a58	0.000426498	0.000489009	0.00177791	0.00434309	0.0102526	0.0251726	0.0625015	0.23783	0.657206
a53	0.00131852	0.00118703	0.00234514	0.00461436	0.00956677	0.0205403	0.0521524	0.194791	0.713485
a44	0.000600096	0.000735081	0.00224221	0.00441639	0.00946541	0.0230814	0.0619903	0.240379	0.65709
a58	0.00041488	0.000511331	0.00201879	0.00471601	0.0115605	0.0292287	0.0754343	0.22985	0.646265
a57	0.00136341	0.00148867	0.0036499	0.00719181	0.0151937	0.0285594	0.0705149	0.259618	0.61242
a9	0.0283175	0.0162176	0.0199248	0.0285039	0.04185	0.0588288	0.0997216	0.281069	0.425566
a87	0.323204	0.132245	0.0859401	0.0748624	0.0685676	0.0713011	0.076167	0.0815617	0.0861512
a23	0.333301	0.215994	0.131598	0.0840747	0.0549295	0.0482466	0.0411407	0.046018	0.0446978
a87	0.15795	0.105665	0.0958362	0.0850693	0.088664	0.0979923	0.122206	0.123813	0.122805
</S>	0.0299607	0.0284905	0.0482375	0.0581294	0.0804692	0.113918	0.185589	0.217849	0.237357
