 	j'	ai	vu	une	nappe	de	sang	là	où	une	voiture	a	heurté	quelqu'	un	</S>
a87	0.0485371	0.0271679	0.0289942	0.0397772	0.0848438	0.0663615	0.0701219	0.106897	0.0973094	0.10176	0.119909	0.0889028	0.0878271	0.0195332	0.00709613	0.00496077
a23	0.12026	0.0430424	0.0294231	0.0231697	0.0379225	0.0444944	0.0480543	0.0676937	0.0672924	0.071269	0.0800961	0.0905169	0.102363	0.0681821	0.0518825	0.0543382
a83	0.157014	0.0876107	0.0679257	0.0471666	0.0445189	0.0356324	0.0390335	0.0496085	0.040603	0.0483507	0.0596725	0.0491127	0.0968679	0.0369683	0.0465886	0.0933259
a62	0.256401	0.158135	0.0804858	0.0685974	0.0504524	0.0366551	0.0405119	0.0338378	0.0326794	0.0363889	0.0425685	0.0327115	0.0333174	0.0207755	0.0302325	0.0462502
a47	0.35637	0.269958	0.142684	0.0872087	0.035914	0.0145065	0.0128966	0.010852	0.00906773	0.0126298	0.0173919	0.0104047	0.00741042	0.00379779	0.00385697	0.00505058
a88	0.264388	0.254518	0.156572	0.0829961	0.0523829	0.0246002	0.0203693	0.0210583	0.015718	0.0231056	0.0339176	0.0171332	0.0128552	0.00625968	0.00624998	0.00787547
a9	0.220927	0.256178	0.181042	0.108982	0.0536884	0.0224857	0.0162821	0.0159086	0.0125622	0.0175956	0.0271554	0.0173503	0.0153342	0.00876832	0.0107483	0.0149917
a38	0.132717	0.147663	0.112158	0.0893568	0.0550182	0.0341072	0.0246709	0.0276424	0.0253434	0.0335996	0.0520501	0.0376829	0.035269	0.0420947	0.0624302	0.0881969
a47	0.130255	0.150147	0.125587	0.127078	0.0798968	0.0525819	0.0340701	0.0324434	0.0254605	0.0292834	0.0363449	0.0225637	0.0197585	0.0241276	0.0410331	0.0693686
a88	0.0860183	0.119973	0.139946	0.160965	0.139268	0.0739792	0.0481709	0.0467501	0.0326357	0.0360797	0.0450513	0.0206907	0.0131894	0.0105998	0.0112194	0.0154624
a71	0.0680924	0.105596	0.134544	0.152018	0.144476	0.0841016	0.0496077	0.050694	0.0329822	0.0359294	0.0434621	0.0234887	0.0176127	0.015596	0.0170625	0.0247369
