 	le	poisson	éléphant	est	gras	</S>
a66	0.509867	0.241577	0.102323	0.0545037	0.0545211	0.0372079
a87	0.346782	0.25463	0.221684	0.130953	0.0379271	0.00802507
a23	0.460173	0.250255	0.190516	0.0558362	0.0285497	0.0146703
a83	0.439866	0.256764	0.203653	0.0512327	0.0250199	0.0234639
a62	0.262263	0.228609	0.213642	0.095241	0.0931358	0.107109
a12	0.255518	0.259741	0.283863	0.118093	0.0548741	0.0279105
a61	0.16887	0.200477	0.341256	0.185962	0.0734351	0.0300001
a93	0.113898	0.16848	0.317712	0.247311	0.104985	0.0476133
a70	0.102435	0.134029	0.233717	0.332028	0.149703	0.0480883
a62	0.0518892	0.0677703	0.123762	0.310387	0.309356	0.136836
a61	0.0492068	0.0433824	0.0548997	0.170082	0.363767	0.318662
a75	0.0555382	0.0417002	0.048857	0.16641	0.347102	0.340393
a85	0.0100533	0.00592332	0.00696068	0.0720086	0.374711	0.530343
a47	0.00655917	0.00307237	0.00396889	0.0383284	0.282079	0.665992
a92	0.00362809	0.00164549	0.00188546	0.01951	0.231216	0.742115
a44	0.00171851	0.000833417	0.00132101	0.012792	0.180178	0.803157
a34	0.0042026	0.00244288	0.00351915	0.0186905	0.156579	0.814565
a75	0.00446445	0.00281392	0.00454184	0.0236378	0.133813	0.830729
a37	0.000870199	0.000684997	0.0013117	0.0109128	0.0988215	0.887399
a26	0.00248381	0.00215887	0.00450148	0.0261872	0.150441	0.814228
a9	0.0827685	0.0620509	0.0648718	0.113804	0.221063	0.455441
a87	0.39589	0.223864	0.127237	0.0594563	0.0743328	0.119221
a23	0.335225	0.262407	0.201774	0.0709573	0.0505598	0.0790769
a87	0.224102	0.147788	0.10288	0.0614927	0.104435	0.359302
</S>	0.0283841	0.0218799	0.0188017	0.0374913	0.155274	0.738169
