 	mbomi	ne	sait	pas	fabriquer	la	nasse	kokora	</S>
a66	0.294357	0.124352	0.103038	0.105545	0.11511	0.113437	0.091759	0.0323445	0.0200581
a87	0.17159	0.107692	0.101316	0.117907	0.149734	0.151272	0.123631	0.0451076	0.0317504
a23	0.364442	0.24055	0.143806	0.0892927	0.0765459	0.0352868	0.0227842	0.0120021	0.0152902
a99	0.364843	0.230945	0.138057	0.104273	0.094137	0.0346364	0.0174472	0.00755875	0.00810269
a18	0.420574	0.1955	0.0949595	0.0680612	0.0735826	0.0407327	0.0402612	0.0316589	0.03467
a93	0.423944	0.211819	0.0887568	0.0731554	0.076451	0.0368414	0.0368095	0.0241292	0.0280938
a94	0.325082	0.230377	0.166441	0.11472	0.0696573	0.0323963	0.0242247	0.0161339	0.0209678
a75	0.189317	0.194478	0.205963	0.175763	0.105661	0.0506743	0.0343813	0.0192979	0.0244653
a92	0.0978618	0.124977	0.202405	0.205626	0.139205	0.0762148	0.0556309	0.0416914	0.0563875
a56	0.0622596	0.104585	0.1999	0.206816	0.14787	0.0903403	0.0655609	0.0555718	0.0670955
a44	0.0648971	0.118875	0.247351	0.227382	0.146545	0.0740255	0.0429113	0.0331195	0.0448926
a56	0.0428487	0.0966909	0.223164	0.231877	0.158777	0.0877264	0.0522141	0.0447612	0.0619405
a94	0.0406714	0.0976439	0.220815	0.204404	0.148049	0.101227	0.0711404	0.0522501	0.0638002
a56	0.0160785	0.043849	0.158142	0.203066	0.171685	0.140186	0.104259	0.0736106	0.0891245
a25	0.0121502	0.0346183	0.131071	0.178707	0.164139	0.15804	0.125247	0.0921168	0.103911
a20	0.00434093	0.0144606	0.0569707	0.109353	0.113041	0.137378	0.165895	0.177673	0.220888
a90	0.00763151	0.0140546	0.0405655	0.0727684	0.0877257	0.143761	0.212245	0.218522	0.202726
a4	0.00503223	0.00944943	0.0287524	0.0603979	0.0798163	0.148286	0.229318	0.228457	0.21049
a53	0.00459707	0.00637975	0.0143729	0.0302384	0.0420949	0.0868404	0.15353	0.282461	0.379486
a90	0.00292793	0.00350771	0.00692782	0.0141586	0.0215021	0.0611929	0.149035	0.338021	0.402726
a25	0.00109856	0.0012586	0.00254119	0.0053358	0.00829537	0.0238427	0.0762747	0.328075	0.553279
a98	0.000412138	0.00053756	0.00105987	0.00212626	0.00290736	0.00795349	0.032282	0.27634	0.676381
a15	0.000418451	0.00078536	0.00218403	0.0050023	0.00669483	0.017589	0.0532177	0.332637	0.581472
a98	0.000587826	0.000636586	0.00114188	0.00227405	0.00303594	0.00844526	0.0359161	0.304764	0.643198
a47	0.000448201	0.00051177	0.00091252	0.00184981	0.00252987	0.00725007	0.0320079	0.310587	0.643902
a36	0.000660465	0.000550721	0.000757764	0.00135575	0.00189908	0.00599256	0.0373626	0.318803	0.632618
a2	0.00224723	0.0017836	0.00198221	0.00305155	0.00462555	0.0123735	0.0666842	0.328627	0.578625
a57	0.0564263	0.0438293	0.037503	0.038945	0.0479947	0.0681609	0.121552	0.21724	0.368349
a87	0.203411	0.104989	0.0780821	0.0634024	0.0707691	0.0675425	0.110533	0.13582	0.165451
a97	0.0836496	0.0346503	0.024944	0.021779	0.0265368	0.0398681	0.109444	0.288369	0.370759
a99	0.069548	0.0369769	0.0368776	0.040012	0.0486172	0.0598599	0.11129	0.239243	0.357576
a87	0.0153556	0.0117865	0.013206	0.0178547	0.0212225	0.0365097	0.0805871	0.273551	0.529927
</S>	0.0141259	0.0135892	0.0167162	0.0201574	0.0216172	0.0278299	0.0564761	0.255368	0.57412
