 	elle	s'	étendit	du	baume	sur	le	corps	</S>
a23	0.35756	0.215158	0.161466	0.0649019	0.055358	0.0477135	0.0361728	0.0334159	0.0282537
a53	0.343198	0.112237	0.130268	0.101548	0.0847064	0.0782353	0.0571762	0.0492986	0.0433329
a76	0.351174	0.144786	0.0824723	0.0541618	0.0571776	0.0687128	0.0655014	0.0797007	0.0963129
a69	0.267417	0.240998	0.154589	0.104405	0.0832936	0.057694	0.0362842	0.0328477	0.0224716
a4	0.214315	0.249694	0.201086	0.149486	0.0733154	0.0327407	0.0220253	0.0300119	0.027326
a93	0.128397	0.196056	0.235974	0.191423	0.105505	0.0393495	0.0261534	0.0359034	0.0412399
a56	0.115069	0.183949	0.231302	0.184025	0.102047	0.0419704	0.0352638	0.047651	0.0587227
a0	0.131463	0.180843	0.22567	0.182428	0.105796	0.0450955	0.0341483	0.0420421	0.0525138
a83	0.088481	0.0992251	0.168117	0.219834	0.159458	0.0761557	0.0551318	0.0587845	0.0748124
a24	0.0727642	0.066887	0.104825	0.172581	0.16978	0.106019	0.0827139	0.09275	0.13168
a62	0.0638494	0.0498223	0.0831033	0.141374	0.149658	0.114553	0.110486	0.120057	0.167097
a21	0.0386675	0.0337199	0.0586754	0.119119	0.159513	0.150342	0.146767	0.132545	0.160651
a75	0.0579211	0.0554688	0.0564387	0.0855207	0.139241	0.140414	0.146266	0.141492	0.177237
a96	0.0403578	0.0340661	0.0382981	0.0433272	0.0595059	0.091641	0.161926	0.203358	0.32752
a11	0.0360381	0.0285781	0.0359034	0.0439911	0.0606238	0.092309	0.167864	0.220215	0.314477
a56	0.0158708	0.0127031	0.0156877	0.0236083	0.0381272	0.0683945	0.160731	0.24947	0.415408
a93	0.0120441	0.0104683	0.0127649	0.0207361	0.0318132	0.0540707	0.135014	0.240744	0.482345
a70	0.00741365	0.00653029	0.00766469	0.0130642	0.0208716	0.0394207	0.114056	0.23228	0.558699
a13	0.00304353	0.00244188	0.00343811	0.00672759	0.0119341	0.0249427	0.0881215	0.228678	0.630672
a9	0.00109518	0.000677651	0.000755435	0.00248742	0.00832097	0.0245943	0.0834409	0.224754	0.653875
a87	0.0156911	0.00718647	0.00495412	0.0127238	0.0211881	0.0445666	0.0946822	0.210127	0.588881
a23	0.0860007	0.0358278	0.0265105	0.0278965	0.0374649	0.0857514	0.178946	0.226394	0.295208
a87	0.00500281	0.00240826	0.00228296	0.00468438	0.0090736	0.0311793	0.133624	0.287662	0.524082
</S>	0.0037039	0.00227886	0.00200896	0.00375337	0.00826914	0.0330441	0.127584	0.270331	0.549027
