 	un	malade	qui	a	des	plaies	a	besoin	d'	un	chasse-mouche	</S>
a85	0.15849	0.113471	0.0915496	0.120681	0.152818	0.129434	0.10178	0.0723861	0.0279226	0.0123094	0.0108688	0.00828866
a87	0.159348	0.0978662	0.109575	0.127493	0.118838	0.0874364	0.0607857	0.0446961	0.0394343	0.0423544	0.0562193	0.0559531
a23	0.120465	0.109929	0.139205	0.15091	0.135211	0.102742	0.0543326	0.0344328	0.0253228	0.0355664	0.0338566	0.0580272
a79	0.166337	0.135295	0.1497	0.146818	0.116619	0.0745844	0.0483272	0.0352844	0.0287262	0.03181	0.0305292	0.0359699
a4	0.341515	0.251167	0.135156	0.0959335	0.0526567	0.0272991	0.0184378	0.0135236	0.00881818	0.0142362	0.0156617	0.0255943
a57	0.275679	0.213992	0.164162	0.126861	0.0847159	0.0469253	0.0251084	0.017808	0.00927982	0.0107938	0.00908972	0.015584
a9	0.190957	0.16587	0.156504	0.132254	0.104647	0.0702161	0.0441778	0.0354409	0.0235451	0.0262578	0.0215592	0.0285726
a53	0.126392	0.145676	0.13055	0.106223	0.0805025	0.0658449	0.053359	0.045458	0.0406779	0.0594856	0.055031	0.0907998
a44	0.0806789	0.101981	0.101918	0.0888851	0.0737927	0.0716522	0.0673833	0.0570368	0.0430762	0.0571053	0.0774517	0.179038
a96	0.0773368	0.0896728	0.118664	0.121958	0.125404	0.114318	0.10075	0.0770894	0.0395164	0.0360202	0.0346831	0.0645868
a61	0.074453	0.083718	0.121844	0.129739	0.13778	0.12624	0.110398	0.0817665	0.0388663	0.0309148	0.0250122	0.0392687
a96	0.063626	0.0741864	0.116652	0.131225	0.142988	0.132397	0.116963	0.0873057	0.0417019	0.0326765	0.0254272	0.0348513
a56	0.0553637	0.0636968	0.10301	0.124115	0.146489	0.143499	0.125647	0.0949712	0.0461747	0.0345468	0.0268694	0.0356175
a44	0.0554856	0.0658462	0.108011	0.131039	0.152109	0.138977	0.121834	0.0916855	0.0458456	0.0319673	0.025016	0.0321823
a34	0.036177	0.0446814	0.0831708	0.116626	0.152563	0.154481	0.138382	0.108885	0.0610886	0.0427759	0.0277853	0.0333841
a75	0.0332989	0.0403896	0.0739571	0.111303	0.161314	0.170308	0.144205	0.109374	0.0583164	0.0404573	0.0274256	0.0296516
a85	0.029681	0.0366159	0.0580697	0.0861681	0.130295	0.133525	0.127841	0.108587	0.0730428	0.0673787	0.0651565	0.0836404
a44	0.0358942	0.0405262	0.0621811	0.0935774	0.136092	0.133766	0.108008	0.0903932	0.0660163	0.0631174	0.0735332	0.0968943
a26	0.0337139	0.0435655	0.0639869	0.093459	0.144543	0.174047	0.167385	0.136566	0.0646143	0.0342122	0.0201833	0.0237245
a38	0.00927171	0.0147332	0.0262069	0.0393972	0.0678086	0.126481	0.183376	0.17418	0.119877	0.0814584	0.0776669	0.0795434
a90	0.0131751	0.0174347	0.0257125	0.0354888	0.0592839	0.101854	0.142987	0.151474	0.127437	0.0951237	0.098824	0.131205
a25	0.0134471	0.0179975	0.0235379	0.0328105	0.0584967	0.123462	0.163974	0.158901	0.114357	0.0882289	0.0827254	0.122061
a85	0.013726	0.01769	0.0242065	0.0334919	0.0581345	0.11309	0.15716	0.165106	0.124063	0.0838851	0.0891273	0.120319
a47	0.0212363	0.0241679	0.0287839	0.0371973	0.0593608	0.108783	0.144822	0.145721	0.107834	0.0793661	0.0958154	0.146912
a36	0.0365155	0.0375505	0.0398265	0.0451154	0.0574219	0.089774	0.130293	0.136672	0.0980487	0.0722685	0.0981203	0.158394
a2	0.03145	0.0301478	0.0354227	0.0378577	0.0438998	0.0634359	0.1079	0.136005	0.143323	0.104382	0.10067	0.165506
a57	0.00720038	0.00728096	0.00963161	0.0112893	0.0159063	0.0349071	0.0665574	0.0676052	0.0767408	0.0698708	0.211997	0.421013
a82	0.0184496	0.0141357	0.0157758	0.0174371	0.0253654	0.0605965	0.0986898	0.0941615	0.0938423	0.073446	0.16567	0.32243
a79	0.0265415	0.0169828	0.0196866	0.0273457	0.0559451	0.113419	0.130431	0.109856	0.102233	0.0803149	0.131963	0.185282
a4	0.0105783	0.00775937	0.0119244	0.0153077	0.0257353	0.0559021	0.0569758	0.0397086	0.0393615	0.0654999	0.171084	0.500163
a13	0.00868318	0.0100503	0.0129117	0.0167797	0.0258764	0.0552149	0.0780855	0.0713208	0.0548731	0.0580788	0.159599	0.448527
a61	0.00281637	0.00380881	0.00649071	0.0093022	0.016662	0.0389989	0.0606887	0.0555011	0.0509863	0.0625	0.156387	0.535857
a66	0.00629612	0.00743491	0.0103455	0.0127626	0.0192784	0.0391918	0.0615147	0.0605957	0.0550738	0.0681132	0.162548	0.496845
a9	0.00183182	0.00237573	0.00390984	0.00513718	0.00812339	0.0198455	0.0378549	0.0410679	0.048506	0.06503	0.205336	0.560982
a40	0.0016229	0.00192867	0.00288989	0.00379425	0.00563155	0.0144714	0.0345785	0.0404051	0.0603392	0.0926535	0.293437	0.448248
a75	0.00243484	0.00309423	0.00372241	0.00430949	0.00548724	0.0109087	0.020517	0.0278064	0.0523845	0.0748645	0.204922	0.589549
a47	0.00346936	0.00505468	0.00603955	0.00736802	0.010199	0.0212021	0.038091	0.0454336	0.0693339	0.0976153	0.215169	0.481024
a44	0.00156408	0.00211828	0.00271269	0.00345278	0.00532905	0.012292	0.0271003	0.0333316	0.0563473	0.105482	0.230801	0.519469
a79	0.000752939	0.000970298	0.0014738	0.00189273	0.0028643	0.00650083	0.0150144	0.0201021	0.039435	0.080987	0.216157	0.61385
a70	0.00185103	0.00254004	0.00383766	0.00501283	0.00754966	0.0149243	0.0279565	0.0325641	0.0554343	0.0905213	0.215476	0.542332
a62	0.00037156	0.000434624	0.00072635	0.00101657	0.0017049	0.00379467	0.00756406	0.00899356	0.0183381	0.0466281	0.201349	0.709078
a0	0.000366895	0.000372317	0.000534925	0.000712561	0.00120773	0.00272328	0.00523357	0.00581154	0.0128379	0.0343042	0.244723	0.691172
a66	0.00071621	0.000698565	0.000769199	0.000963592	0.00147265	0.00259302	0.00474355	0.00530861	0.0137821	0.0438154	0.325419	0.599718
a13	0.00238004	0.00212429	0.00194843	0.00211981	0.00265599	0.00387285	0.00770946	0.009187	0.0231415	0.069215	0.336408	0.539237
a99	0.00205153	0.00178787	0.00176038	0.0018089	0.00213757	0.002894	0.00571292	0.00680191	0.0196564	0.0600123	0.314971	0.580405
a87	0.00551997	0.00415123	0.00365358	0.00342181	0.00395115	0.00491462	0.00779634	0.00849577	0.0243229	0.0688669	0.317742	0.547163
a23	0.0443367	0.0240022	0.0203911	0.0217498	0.031433	0.0358606	0.0468631	0.0468062	0.0935616	0.160571	0.207244	0.26718
a87	0.0178869	0.0103288	0.0115019	0.0133546	0.0210154	0.0287395	0.0384863	0.0374498	0.0941411	0.184835	0.224006	0.318255
</S>	0.00904176	0.00673957	0.00896147	0.0119788	0.0217162	0.0398528	0.0537826	0.0446036	0.0800791	0.160445	0.183865	0.378934
