 	l'	enfant	a	expulsé	les	excréments	</S>
a66	0.295517	0.278879	0.229529	0.126139	0.0264677	0.0231108	0.0203579
a87	0.27593	0.171571	0.131802	0.153985	0.110382	0.0978236	0.0585068
a23	0.438934	0.33256	0.140961	0.0388206	0.0128685	0.0197899	0.0160652
a54	0.427732	0.306428	0.157102	0.0524434	0.0179485	0.0207571	0.0175888
a92	0.333076	0.197097	0.176718	0.136532	0.0645674	0.0484112	0.0435982
a6	0.13485	0.121475	0.233535	0.314614	0.143305	0.0352306	0.0169904
a36	0.0819704	0.0789364	0.191491	0.321696	0.239417	0.0571064	0.0293823
a0	0.0474727	0.0382505	0.0661353	0.18166	0.386805	0.167758	0.111919
a56	0.0750333	0.0358032	0.0333819	0.0681326	0.286767	0.300789	0.200093
a34	0.0326951	0.0212956	0.0288458	0.0536864	0.194659	0.359397	0.309421
a90	0.022139	0.0131548	0.0138594	0.0227423	0.154692	0.407957	0.365455
a98	0.009729	0.00595735	0.00463141	0.00640138	0.0633093	0.400043	0.509928
a47	0.00223556	0.00168666	0.00188972	0.00543296	0.0567633	0.340416	0.591576
a37	0.00206203	0.00148837	0.00150659	0.00589893	0.0457162	0.232234	0.711094
a18	0.0180517	0.0105393	0.008684	0.0103249	0.0490792	0.241634	0.661687
a9	0.0613647	0.0330712	0.0317236	0.0174943	0.0605502	0.24233	0.553466
a10	0.326975	0.28371	0.197123	0.0470608	0.0237487	0.0501246	0.0712584
a87	0.242513	0.23153	0.178337	0.0839575	0.0564308	0.0944947	0.112738
a23	0.21049	0.205235	0.174742	0.11783	0.0891419	0.0982679	0.104294
a87	0.260389	0.169658	0.120962	0.0673945	0.0447664	0.156434	0.180396
a23	0.056351	0.0454142	0.0350947	0.0294314	0.0815844	0.300967	0.451157
a87	0.0771526	0.0644119	0.0611402	0.0581373	0.0771869	0.29586	0.366111
</S>	0.03568	0.025353	0.0224724	0.0201752	0.0691713	0.344711	0.482437
