 	il	est	brûlant	de	fièvre	</S>
a87	0.348528	0.210986	0.131758	0.1156	0.105067	0.0880617
a23	0.202115	0.128199	0.161522	0.190489	0.17898	0.138694
a87	0.307292	0.205201	0.148064	0.104968	0.117312	0.117163
a23	0.31073	0.226754	0.148569	0.0972198	0.103333	0.113394
a79	0.213571	0.195236	0.148858	0.108066	0.150173	0.184096
a20	0.382634	0.268406	0.136141	0.0696815	0.0706706	0.0724679
a30	0.387749	0.370571	0.153394	0.0428977	0.0264749	0.0189134
a35	0.316683	0.353612	0.187353	0.0642745	0.0438448	0.0342321
a94	0.316832	0.323767	0.198719	0.073976	0.0478134	0.0388915
a38	0.329208	0.304518	0.181152	0.0801148	0.0564938	0.0485133
a76	0.315041	0.286952	0.192677	0.0907826	0.0619932	0.0525548
a94	0.312463	0.25915	0.193657	0.112112	0.0695393	0.0530789
a35	0.270875	0.228877	0.191791	0.136194	0.0940122	0.0782503
a41	0.205585	0.202039	0.196567	0.159428	0.122089	0.114292
a32	0.158788	0.163189	0.188058	0.188466	0.155166	0.146333
a26	0.0534537	0.0638058	0.0999552	0.193095	0.252725	0.336966
a75	0.0353966	0.0428614	0.0774394	0.169411	0.276816	0.398075
a14	0.0190793	0.0225837	0.0505974	0.164987	0.302909	0.439843
a35	0.0163931	0.0218469	0.0513179	0.158557	0.308084	0.443801
a24	0.0106829	0.0143807	0.0340847	0.112449	0.291236	0.537167
a41	0.00590371	0.00959006	0.0261477	0.0828067	0.254553	0.620998
a14	0.00647578	0.00780656	0.0210591	0.0753593	0.249448	0.639851
a30	0.010668	0.0118711	0.0291028	0.0924836	0.257938	0.597936
a2	0.0170824	0.0177948	0.0366252	0.100748	0.246569	0.58118
a57	0.0433045	0.0322117	0.0495727	0.100785	0.225743	0.548383
a87	0.0728936	0.0631749	0.0758349	0.137567	0.232624	0.417905
</S>	0.0285543	0.0289324	0.0518341	0.166122	0.294991	0.429567
