 	c'	est	par	un	anneau	que	cette	femme	a	porté	au	doigt	que	j'	ai	su	qu'	elle	est	mariée	</S>
a66	0.019886	0.0194861	0.0185812	0.0234358	0.0418825	0.0455163	0.0521018	0.0533584	0.0585607	0.0631794	0.0571317	0.0519791	0.0536189	0.0695295	0.105347	0.143624	0.0928223	0.0188813	0.0059974	0.00269788	0.00238254
a87	0.073789	0.0623592	0.054311	0.0662201	0.0900138	0.0612275	0.0484167	0.0418553	0.0433097	0.0453211	0.0365268	0.0327373	0.0359759	0.0511906	0.0554709	0.108175	0.0439005	0.0148355	0.0123668	0.0120067	0.00999026
a23	0.145993	0.100857	0.0917816	0.071221	0.0684604	0.0658623	0.0626834	0.0478085	0.0415033	0.0378492	0.0303254	0.0257531	0.0234066	0.0345596	0.0311299	0.0510737	0.0309285	0.0141441	0.00988482	0.00662828	0.00814619
a18	0.119524	0.0930811	0.0998519	0.0846816	0.146316	0.0721128	0.063694	0.0437072	0.0384307	0.0271006	0.0227127	0.0150583	0.0172178	0.0239068	0.0239388	0.0656651	0.0148583	0.00672763	0.00601999	0.00603549	0.00935913
a50	0.0786245	0.0722784	0.0805909	0.0854862	0.16933	0.0912341	0.0978403	0.0577342	0.0543873	0.0356161	0.029552	0.021813	0.0186869	0.0188646	0.0177838	0.0334119	0.00932462	0.00527115	0.00471412	0.00720667	0.0102491
a62	0.11069	0.117371	0.143727	0.139836	0.219248	0.0943685	0.0516866	0.0189098	0.0171206	0.0096669	0.00683748	0.00571994	0.00511518	0.006212	0.00629772	0.0328367	0.00635898	0.00259494	0.00217716	0.00165171	0.00157488
a31	0.124033	0.145443	0.169923	0.158924	0.169263	0.0771529	0.0368862	0.0174481	0.0134886	0.00977371	0.00693408	0.00617997	0.00653201	0.00756579	0.00708738	0.0228397	0.00727881	0.00440163	0.00412995	0.00272506	0.00198959
a21	0.106845	0.125915	0.150918	0.16096	0.186998	0.0884906	0.0429625	0.0216917	0.0152318	0.0114567	0.00795344	0.00683223	0.00713187	0.00859124	0.00807038	0.0210083	0.00776081	0.00633252	0.0067002	0.00472508	0.00342428
a56	0.0727978	0.0805099	0.0942541	0.128583	0.180308	0.115596	0.0660247	0.0441141	0.0329368	0.0263126	0.0200168	0.0168497	0.0129032	0.0149099	0.0152976	0.0329355	0.0144272	0.0107583	0.0102222	0.0059486	0.00429383
a92	0.0579347	0.0677901	0.0814487	0.111802	0.158367	0.114665	0.0820524	0.0583999	0.0424142	0.0334967	0.0254606	0.0207483	0.0171983	0.0190497	0.0201079	0.0385674	0.0149791	0.0104077	0.0105636	0.0077051	0.00684204
a90	0.0301607	0.040363	0.0624051	0.0962601	0.156799	0.108132	0.0716728	0.0575133	0.0434508	0.0385415	0.0338655	0.0309328	0.0319322	0.0325282	0.032278	0.0565351	0.0223517	0.0132809	0.0121354	0.012245	0.0166171
a25	0.0355582	0.0452045	0.0669641	0.10087	0.139575	0.106483	0.0761469	0.0588754	0.0479067	0.0408917	0.0340486	0.0310464	0.0296688	0.0312683	0.0316519	0.0502831	0.0197371	0.0116458	0.0112239	0.0126617	0.0182892
a79	0.0227046	0.0320584	0.0528545	0.0824396	0.11285	0.107408	0.0909404	0.0728003	0.0587855	0.0517808	0.0442409	0.0408206	0.036818	0.0355315	0.0345161	0.0422664	0.0201235	0.0120515	0.0106231	0.0137241	0.0246622
a56	0.0164523	0.0215765	0.0335856	0.0511276	0.0741808	0.0820395	0.0864797	0.080921	0.0753181	0.0670631	0.0624362	0.0599605	0.0503961	0.0424332	0.0392465	0.038097	0.0204747	0.0167011	0.0135859	0.0227096	0.0452148
a96	0.00873366	0.0101994	0.016125	0.0290087	0.0531394	0.067823	0.0790613	0.0871802	0.0846039	0.0757618	0.0704599	0.0704876	0.0620627	0.0562572	0.0513383	0.0494494	0.0293575	0.0203098	0.0163757	0.0216218	0.0406439
a62	0.00617605	0.0067406	0.0100073	0.0170337	0.0312008	0.0466583	0.0545705	0.0775602	0.0779383	0.0749831	0.0748063	0.0813076	0.0799988	0.0752673	0.0715076	0.0759653	0.0469971	0.0240282	0.0162221	0.0188481	0.0321825
a12	0.0033366	0.00353036	0.00518001	0.00820243	0.0139197	0.0274455	0.0429007	0.0809297	0.0866228	0.084998	0.0951799	0.107658	0.110974	0.0922664	0.0744852	0.0631467	0.0462281	0.0192355	0.0101899	0.00939712	0.0141738
a34	0.00212867	0.00215272	0.00283908	0.0040082	0.00624566	0.0127403	0.0214121	0.0529273	0.0572795	0.0664756	0.0841919	0.105217	0.111277	0.0966412	0.0968773	0.0858318	0.0852338	0.0408258	0.0190224	0.0177854	0.0288873
a62	0.00203987	0.00211676	0.0030267	0.00442021	0.00655074	0.0125637	0.0240387	0.0651157	0.0727896	0.0788716	0.0981648	0.116155	0.128092	0.101308	0.0866161	0.0628858	0.0580617	0.0254889	0.0119551	0.0135762	0.0261633
a47	0.00258431	0.00259058	0.00353118	0.00453171	0.0059195	0.010809	0.0194902	0.0595828	0.0664255	0.0752691	0.0966217	0.125596	0.13101	0.100777	0.0876792	0.0658332	0.0633933	0.0276499	0.0127634	0.0132024	0.0247397
a88	0.00289009	0.00316938	0.00453574	0.00593024	0.00760295	0.012633	0.0249288	0.06773	0.0760971	0.0856313	0.112299	0.126496	0.135908	0.0934901	0.0711955	0.0362418	0.0404658	0.0230025	0.0114421	0.0169685	0.0413424
a98	0.00175489	0.00192434	0.00256334	0.00345689	0.00462235	0.00986375	0.0226866	0.0647013	0.0747743	0.08669	0.130741	0.137821	0.158874	0.0904051	0.0606518	0.0185575	0.0239665	0.017454	0.00857286	0.0204616	0.0594568
a47	0.00208674	0.00224219	0.00288557	0.00327854	0.00400022	0.00687293	0.0157759	0.05492	0.0635472	0.0784858	0.134728	0.146777	0.1386	0.0615889	0.0399436	0.0147953	0.01963	0.0202405	0.015247	0.0510072	0.123349
a36	0.00386485	0.00407689	0.00519244	0.00563078	0.00649177	0.00979898	0.0195935	0.061486	0.0691596	0.0853777	0.156272	0.159184	0.149878	0.0663178	0.0374066	0.0104942	0.0154187	0.0162587	0.0113426	0.0287695	0.0779856
a2	0.00985455	0.0102782	0.0122159	0.0138241	0.0158805	0.019695	0.0260888	0.0534282	0.059786	0.0765538	0.132581	0.140095	0.151745	0.0737959	0.0475913	0.0202187	0.022536	0.0186511	0.0106674	0.0235558	0.0609574
a57	0.0147154	0.0142724	0.0156139	0.0163421	0.0197945	0.0268296	0.0372702	0.0612906	0.0604128	0.0717447	0.107534	0.102275	0.111179	0.0669656	0.0531576	0.0358801	0.043437	0.0264841	0.0142742	0.0208595	0.079667
a97	0.0190736	0.0145002	0.0127675	0.0122717	0.0168693	0.022436	0.032564	0.0582392	0.0552063	0.0667151	0.0909185	0.0771021	0.081877	0.0664784	0.0627942	0.0616574	0.0650457	0.0394471	0.0244823	0.0295806	0.0899737
a87	0.0392441	0.0275421	0.0224119	0.0214762	0.0274348	0.0306804	0.037126	0.0593277	0.0549365	0.0591594	0.0698769	0.0521501	0.0516503	0.054406	0.0536699	0.0796648	0.0836611	0.0589138	0.0441674	0.0289147	0.0435861
a97	0.0417	0.0306415	0.0307345	0.038362	0.062002	0.0617653	0.0577073	0.0572051	0.0559353	0.0546972	0.057586	0.045001	0.0381113	0.041723	0.0391103	0.0899026	0.0756533	0.0526664	0.0374981	0.0152184	0.0167794
a3	0.0466694	0.0351944	0.0351547	0.0448337	0.0792569	0.0771245	0.0652359	0.0564744	0.0537707	0.0482866	0.0495731	0.0380755	0.0334066	0.0356916	0.0321277	0.0622237	0.0563676	0.0502962	0.0509044	0.0270595	0.022273
a87	0.0507998	0.0406053	0.0451255	0.0617254	0.103406	0.086047	0.0645722	0.0494388	0.0451124	0.0393883	0.0383745	0.0301412	0.0281823	0.0338091	0.029492	0.053325	0.0478821	0.0520434	0.0584636	0.0252445	0.0168216
a23	0.0490993	0.0412629	0.0473113	0.0643373	0.103905	0.0920598	0.0679035	0.0517619	0.0459263	0.0416522	0.0406727	0.0320266	0.0280005	0.0311327	0.025697	0.0406089	0.0406818	0.0528786	0.0607751	0.0255564	0.0167502
a87	0.0179389	0.0145319	0.0181977	0.0288213	0.0527303	0.0596374	0.0538101	0.0520146	0.0503187	0.048244	0.0505692	0.0421686	0.048731	0.0464776	0.0420951	0.0685171	0.0516836	0.0685697	0.0826939	0.054493	0.0477562
a23	0.0165167	0.0142869	0.0194902	0.0309066	0.0459668	0.0532329	0.0458321	0.0473693	0.0415921	0.0449126	0.0452501	0.0395428	0.0442393	0.0437225	0.0326584	0.0467213	0.047578	0.087283	0.11383	0.074378	0.0646909
a83	0.0146871	0.0129925	0.0186793	0.0330673	0.0471467	0.0526255	0.0442934	0.0411528	0.0339992	0.0350242	0.0357128	0.0295882	0.0405322	0.0416033	0.0320283	0.0474811	0.0405367	0.0865652	0.116113	0.0958511	0.10032
a62	0.00291716	0.00271422	0.00423654	0.0100276	0.0139209	0.0222994	0.0246964	0.0271358	0.0234268	0.0238006	0.0269402	0.0222278	0.037893	0.036829	0.0232737	0.0239766	0.0227537	0.0772028	0.123361	0.199162	0.251205
a34	0.00331214	0.00337047	0.00474337	0.0102727	0.0123184	0.0155919	0.010997	0.0142711	0.0133812	0.016586	0.0188878	0.0198437	0.0284439	0.032881	0.024457	0.0285174	0.0442314	0.124974	0.148224	0.189182	0.235513
a98	0.0016832	0.00145577	0.00167244	0.0036965	0.00646701	0.00784725	0.00696796	0.0110768	0.0110883	0.013086	0.0160295	0.0172817	0.0219133	0.0246074	0.0225921	0.0236435	0.0384108	0.113073	0.169525	0.226795	0.261088
a47	0.000658921	0.000755182	0.00113365	0.00216477	0.00439777	0.00913371	0.0103602	0.0154895	0.0132144	0.0142138	0.016923	0.0190625	0.0219107	0.0206233	0.0195507	0.0148332	0.0196523	0.039035	0.0928827	0.257464	0.40654
a5	0.00152232	0.00166565	0.00236147	0.00437863	0.00818583	0.0141291	0.0165404	0.0237858	0.0239628	0.0253003	0.028508	0.0327117	0.0325764	0.0279765	0.0250269	0.0162787	0.0228239	0.0520029	0.0946493	0.212313	0.3333
a12	0.00168833	0.00167886	0.0022946	0.00378273	0.00734821	0.0136381	0.0211831	0.0368631	0.0412524	0.0453197	0.0506563	0.0582474	0.0552541	0.0486718	0.0445971	0.0272918	0.0417604	0.0742527	0.109725	0.14778	0.166715
a61	0.000957248	0.000890153	0.00103776	0.00160194	0.00282652	0.0065693	0.0106684	0.0244947	0.0293421	0.0343678	0.0421575	0.051647	0.0492504	0.0426867	0.038605	0.0279344	0.0400709	0.073341	0.132184	0.192451	0.196916
a75	0.00126588	0.00113711	0.00126633	0.00168636	0.00252522	0.00691993	0.0124784	0.0283855	0.0336081	0.037345	0.0466451	0.0555305	0.0569238	0.0464524	0.0419653	0.026812	0.0366849	0.059924	0.109933	0.190769	0.201742
a5	0.000283438	0.000266429	0.000330627	0.000451883	0.000704296	0.00154011	0.0032628	0.0120593	0.0143906	0.0178271	0.0270586	0.0351458	0.0370425	0.0256291	0.020948	0.0107714	0.0174512	0.0427982	0.0834114	0.238854	0.409773
a92	0.00075237	0.000693314	0.000831217	0.00108156	0.00148398	0.00374987	0.0077715	0.0223238	0.0262204	0.0304592	0.0418193	0.0520413	0.0590311	0.0403528	0.0325453	0.0152809	0.0225288	0.0513562	0.0879649	0.202362	0.29935
a56	0.00044925	0.000415031	0.00046416	0.000566221	0.000737115	0.00159084	0.00334698	0.0114891	0.0139528	0.0178496	0.0274665	0.0349261	0.0386493	0.0250939	0.0199066	0.00912618	0.0148259	0.037156	0.0681028	0.225973	0.447913
a90	0.000650119	0.000573614	0.000633255	0.00077302	0.000972059	0.0021449	0.00448058	0.0141756	0.0160103	0.0195986	0.0285352	0.0363683	0.0347056	0.0216818	0.0171237	0.00782706	0.0140039	0.0301539	0.0558193	0.190194	0.503575
a25	0.000338565	0.000315462	0.000351171	0.000440299	0.000553014	0.00101841	0.00192869	0.00690338	0.00810573	0.0108368	0.017998	0.0224435	0.0257207	0.0168108	0.0135574	0.00650461	0.0113428	0.0259015	0.047898	0.198829	0.582202
a56	0.000487284	0.000417587	0.000454099	0.000485708	0.000530515	0.000812698	0.00131398	0.00354246	0.00367984	0.00461273	0.00707022	0.00875294	0.00995588	0.00724613	0.00562094	0.00325742	0.00419761	0.00749919	0.0177007	0.140032	0.77233
a75	0.000433704	0.00041792	0.000451549	0.00054146	0.00064542	0.00107726	0.00197939	0.00571283	0.00613361	0.00832214	0.0131668	0.0164225	0.0162428	0.0103329	0.00830535	0.0042448	0.00805274	0.0192368	0.0361088	0.188686	0.653485
a6	0.00037434	0.000348094	0.00038236	0.000407289	0.000435844	0.000598719	0.000910668	0.00289361	0.00309258	0.00441926	0.00794904	0.00953042	0.0118628	0.00758219	0.00610812	0.00301335	0.00531578	0.0142063	0.0306166	0.17959	0.710362
a36	0.000320627	0.000297132	0.000351044	0.000373213	0.00040329	0.000589036	0.000914775	0.00295902	0.00305948	0.00430325	0.00767512	0.0091975	0.0122342	0.00711992	0.00503874	0.00226297	0.00364938	0.0104908	0.023162	0.167239	0.738359
a27	0.00310707	0.00260444	0.0027969	0.00283399	0.00255039	0.00425258	0.00712631	0.0122679	0.0115678	0.0133555	0.0213348	0.0236886	0.0210087	0.011805	0.00736257	0.00256308	0.0046075	0.00970812	0.0277761	0.16284	0.644842
a84	0.0189002	0.0133894	0.0113246	0.0108714	0.0082195	0.0119677	0.0130947	0.020137	0.0201831	0.0255207	0.0375093	0.0447601	0.0357139	0.0238909	0.019273	0.0127462	0.0267728	0.062559	0.123593	0.190125	0.269449
a82	0.034084	0.0220221	0.0187391	0.0178669	0.0115332	0.017258	0.0193185	0.0320237	0.0305162	0.0432643	0.0585307	0.0657946	0.0491864	0.0380435	0.0284961	0.0242281	0.0486739	0.0946895	0.110381	0.116712	0.118638
a10	0.0374492	0.0223667	0.0191622	0.0175242	0.0143664	0.0219748	0.0301216	0.0456879	0.0416999	0.0555511	0.0630117	0.0634049	0.0501194	0.0474451	0.0324054	0.0341808	0.0557581	0.0942395	0.0994988	0.0763891	0.0776433
a87	0.0475343	0.0278015	0.022796	0.0215433	0.0228317	0.031329	0.0404286	0.0470409	0.0416436	0.0497351	0.0542217	0.052322	0.0469681	0.0514297	0.0334868	0.0321688	0.0580769	0.0867393	0.0907398	0.0648082	0.0763549
a23	0.0466269	0.0288409	0.0230421	0.022452	0.0247372	0.0371388	0.0425754	0.0472054	0.0412505	0.0505917	0.054903	0.0532193	0.0421044	0.0452906	0.0288979	0.0278867	0.054442	0.0847925	0.0883893	0.0658491	0.0897644
a99	0.0210381	0.0121423	0.0100498	0.00811072	0.00582748	0.0101014	0.00909866	0.0123238	0.0124254	0.015917	0.0169998	0.0197458	0.0208123	0.027237	0.0170381	0.01754	0.0390092	0.0664877	0.10067	0.17991	0.377516
a97	0.0216305	0.0131792	0.0105801	0.00980155	0.0101584	0.0157575	0.0119023	0.0126604	0.0119984	0.0153092	0.0163046	0.0198457	0.0201039	0.0222548	0.0135481	0.0188549	0.0329962	0.059539	0.10274	0.202374	0.358461
</S>	0.0236195	0.0165561	0.0149878	0.0156752	0.0184676	0.0279135	0.0240478	0.0240359	0.0187902	0.0235137	0.0249236	0.0252857	0.0246078	0.0241984	0.0136148	0.0164358	0.0230611	0.035873	0.0496909	0.126259	0.428443
