 	il	buvait	le	vin	de	palme	à	grandes	gorgées	</S>
a66	0.109938	0.104098	0.0861601	0.0944756	0.145443	0.190089	0.187981	0.0601832	0.0104706	0.0111627
a87	0.471274	0.127347	0.088872	0.0625332	0.0507086	0.05463	0.0508451	0.0383176	0.0215608	0.0339112
a23	0.566173	0.137503	0.0704034	0.0420651	0.0376506	0.0452955	0.0395654	0.0244333	0.0125522	0.0243586
a20	0.293038	0.140328	0.0870997	0.0629506	0.0636434	0.0731982	0.067772	0.0423591	0.0576025	0.112008
a7	0.268088	0.190064	0.103281	0.0791291	0.0628932	0.0720458	0.0856946	0.0726358	0.0296286	0.0365399
a27	0.334762	0.167836	0.123773	0.11276	0.0738033	0.0594825	0.0466331	0.0334847	0.0185841	0.028881
a18	0.286472	0.141551	0.146937	0.136137	0.0789826	0.0617391	0.0502619	0.0475796	0.0233214	0.0270178
a75	0.243059	0.227916	0.181159	0.110251	0.0541137	0.0383608	0.0323323	0.050363	0.0278573	0.0345877
a6	0.106329	0.0956577	0.128454	0.145727	0.116593	0.103836	0.0929276	0.0895126	0.0574559	0.0635067
a36	0.117607	0.10403	0.121797	0.136519	0.130072	0.115378	0.0902249	0.0738307	0.0494827	0.0610591
a37	0.126639	0.11059	0.188344	0.14889	0.0994679	0.0763342	0.0628262	0.0528949	0.0510657	0.0829473
a18	0.0589265	0.106814	0.225985	0.207855	0.127175	0.0870336	0.0673664	0.0325389	0.033645	0.0526609
a5	0.0402525	0.0731806	0.187126	0.228581	0.165369	0.117677	0.0843248	0.0310398	0.0289015	0.043547
a12	0.0245916	0.0476977	0.103735	0.175729	0.176537	0.148437	0.116957	0.0631625	0.0593917	0.0837607
a18	0.0166112	0.0350778	0.067217	0.138406	0.223663	0.205319	0.142904	0.0515829	0.052523	0.0666965
a11	0.014597	0.020431	0.0477144	0.117847	0.213809	0.215416	0.15954	0.0525571	0.0640043	0.0940839
a62	0.0228183	0.021396	0.048492	0.126817	0.219907	0.193825	0.156182	0.0534911	0.0621922	0.0948791
a88	0.0141746	0.0246655	0.0549698	0.101678	0.178759	0.202952	0.199203	0.0889563	0.0599716	0.0746708
a18	0.0138667	0.0170041	0.0404896	0.0863922	0.142668	0.157759	0.188587	0.104879	0.115059	0.133296
a66	0.0312808	0.0256008	0.0483994	0.0929263	0.117912	0.120889	0.152585	0.0788289	0.13528	0.196299
a71	0.0301496	0.0268678	0.0375302	0.0647887	0.0929327	0.11654	0.166357	0.095736	0.165754	0.203343
a9	0.0340633	0.0281246	0.0309786	0.0437012	0.056597	0.0817443	0.140415	0.101672	0.204461	0.278242
a99	0.0628562	0.046346	0.0457884	0.0602557	0.0736924	0.105922	0.179706	0.111036	0.139691	0.174705
a87	0.112744	0.0564857	0.0498517	0.0661313	0.0842131	0.120547	0.167004	0.115045	0.0984574	0.129521
a23	0.342362	0.0818738	0.0399702	0.0407603	0.0559305	0.0972186	0.115008	0.0985649	0.0558848	0.072427
a71	0.0857316	0.0314784	0.0228571	0.0252548	0.0499903	0.0967471	0.144353	0.134259	0.148816	0.260513
a62	0.0189533	0.00712024	0.00737132	0.0129102	0.0324115	0.0629101	0.0952088	0.223767	0.26518	0.274167
a94	0.0202	0.00556544	0.00378105	0.00620407	0.0157569	0.0395363	0.0571297	0.145906	0.270447	0.435474
a53	0.0150286	0.0042273	0.00404071	0.00737299	0.0197198	0.0463448	0.0686386	0.126613	0.289463	0.418552
a15	0.00621057	0.00428934	0.00458345	0.00685154	0.014113	0.0311306	0.0511914	0.0956571	0.319401	0.466572
a47	0.00252573	0.00252297	0.00321824	0.00471303	0.00755054	0.0150599	0.0276225	0.0681	0.367422	0.501265
a36	0.00153934	0.00135912	0.00206488	0.00363256	0.00804022	0.0177069	0.0302161	0.0708368	0.417078	0.447526
a69	0.00367151	0.0019987	0.0027337	0.00534955	0.00959585	0.0153067	0.0254552	0.0611094	0.440835	0.433944
a79	0.00149461	0.00137263	0.00178863	0.00304429	0.00586197	0.0107814	0.0205266	0.0419196	0.39418	0.519031
a7	0.00067568	0.000967767	0.00136492	0.00250727	0.00501219	0.00892574	0.016362	0.0359859	0.37753	0.550668
a37	0.00102869	0.000917375	0.00125009	0.0026186	0.00636468	0.0121277	0.0242724	0.0477857	0.391657	0.511978
a12	0.000984794	0.000798602	0.00114972	0.00251961	0.00650409	0.0127071	0.0242077	0.0478807	0.386268	0.516979
a18	0.000471741	0.00040667	0.000709461	0.00188925	0.00533144	0.0109481	0.0193535	0.0349588	0.362589	0.563342
a25	0.0028469	0.00170363	0.00201849	0.00404187	0.00805355	0.013757	0.0199915	0.041458	0.32987	0.576259
a87	0.00107304	0.000983625	0.00153419	0.00342958	0.00797943	0.0125378	0.0139755	0.0282795	0.324711	0.605496
a23	0.0249666	0.0135412	0.0166332	0.0199145	0.0242214	0.0293157	0.0238203	0.0628487	0.261204	0.523535
a87	0.0284329	0.0157105	0.0201449	0.032797	0.0512146	0.0708379	0.0612808	0.13036	0.254829	0.334393
</S>	0.0409419	0.0119501	0.0121778	0.0170688	0.0281194	0.0417679	0.0423363	0.121227	0.260825	0.423585
