 	les	cabris	sont	en	train	de	s'	accoupler	</S>
a66	0.157204	0.159075	0.166857	0.158433	0.126188	0.119173	0.08974	0.0162098	0.0071193
a87	0.347253	0.177529	0.112846	0.0776604	0.0614621	0.0830161	0.0876821	0.0323422	0.0202089
a23	0.306206	0.161635	0.0978059	0.0764853	0.0688453	0.105657	0.129962	0.0291206	0.0242831
a40	0.315629	0.155427	0.08198	0.0620118	0.0667055	0.0916454	0.122291	0.0432858	0.0610246
a7	0.35561	0.191449	0.126437	0.0912178	0.0698735	0.0650571	0.0681613	0.0153479	0.0168466
a66	0.298358	0.214268	0.146004	0.0840807	0.0612216	0.056671	0.0864772	0.0277582	0.0251621
a53	0.189794	0.18741	0.152024	0.10112	0.0837306	0.0890528	0.119656	0.0501434	0.0270688
a44	0.151757	0.184626	0.166764	0.117464	0.0995831	0.086246	0.101443	0.0572311	0.0348854
a94	0.151844	0.18156	0.174696	0.12579	0.101111	0.0769049	0.0776592	0.0586299	0.0518056
a32	0.151777	0.175687	0.168589	0.12616	0.101206	0.0769327	0.0733811	0.0607026	0.065564
a24	0.130913	0.153116	0.163989	0.129058	0.100068	0.0746161	0.070905	0.0709177	0.106417
a9	0.0976947	0.102941	0.132659	0.133535	0.115334	0.0886603	0.08186	0.0922777	0.155037
a99	0.0652852	0.0710326	0.0889071	0.109047	0.109863	0.120111	0.126124	0.131102	0.178528
a87	0.0454814	0.0564724	0.0793884	0.11845	0.129999	0.148017	0.133284	0.134544	0.154364
a23	0.12112	0.0833298	0.0853856	0.10174	0.138236	0.165765	0.127492	0.0840929	0.092838
a30	0.0603263	0.0376984	0.0355576	0.042501	0.0776144	0.126017	0.138004	0.143731	0.338551
a4	0.0346325	0.0358665	0.0491638	0.0730644	0.137059	0.201771	0.231359	0.143316	0.0937675
a15	0.0644757	0.0685328	0.0916347	0.0977581	0.123299	0.145633	0.18722	0.121276	0.100171
a7	0.0366189	0.0461512	0.0669937	0.0798295	0.104876	0.132193	0.194247	0.172902	0.166188
a56	0.00877358	0.0100752	0.0198491	0.0388542	0.0715835	0.104498	0.13995	0.257285	0.349131
a96	0.00977237	0.00918644	0.0152373	0.0276409	0.0468534	0.079705	0.127075	0.290523	0.394007
a54	0.0084682	0.00734628	0.0110869	0.0219767	0.0430859	0.0779132	0.106759	0.284737	0.438626
a47	0.00600183	0.00789083	0.0147268	0.0284198	0.0468108	0.0616445	0.0808681	0.289145	0.464492
a36	0.00494375	0.00578432	0.0108593	0.0221056	0.0417335	0.051831	0.0669424	0.240593	0.555207
a26	0.00287356	0.00215651	0.00275842	0.0051074	0.0112516	0.0214473	0.0402423	0.226203	0.68796
a37	0.00480366	0.00358746	0.00478234	0.00833433	0.0159885	0.0320707	0.0495966	0.239343	0.641493
a18	0.0038708	0.00268453	0.00348344	0.0062797	0.012602	0.0276932	0.0454971	0.216761	0.681128
a27	0.036418	0.0239708	0.0265685	0.0368996	0.0564601	0.0724812	0.0877401	0.195695	0.463767
a57	0.114002	0.0612189	0.0555803	0.0637807	0.0881361	0.109689	0.112711	0.130364	0.264518
a87	0.181378	0.0955634	0.0800944	0.0875981	0.116944	0.12905	0.110264	0.0740348	0.125074
a23	0.140572	0.0985781	0.0953759	0.11314	0.134734	0.142631	0.116085	0.0773874	0.0814966
a87	0.172471	0.0782137	0.0617461	0.0691349	0.100699	0.111719	0.117549	0.115645	0.172823
</S>	0.0715853	0.0351908	0.0308972	0.0398856	0.0715055	0.083648	0.0995932	0.171587	0.396107
