 	je	ne	comprends	pas	ce	que	tu	dis	tu	bredouilles	</S>
a85	0.422164	0.164669	0.0732992	0.0520957	0.0502835	0.048427	0.0369872	0.0357286	0.0325554	0.0378993	0.0458907
a87	0.294464	0.143508	0.146671	0.0888342	0.0755626	0.0485612	0.0382861	0.0329571	0.0359036	0.0387262	0.0565258
a23	0.215581	0.198351	0.198119	0.101161	0.0774929	0.0487693	0.0360595	0.0302833	0.0341764	0.0287139	0.0312939
a18	0.329354	0.248338	0.182417	0.0630265	0.0388101	0.0215459	0.0163374	0.0168927	0.0223391	0.0278854	0.0330537
a38	0.497666	0.274708	0.082202	0.0336869	0.0203469	0.0148569	0.0122037	0.0097585	0.00968343	0.0160839	0.0288039
a26	0.496536	0.334446	0.0935197	0.0283428	0.0147614	0.00943889	0.0061889	0.00377313	0.00342856	0.00435137	0.00521321
a32	0.314633	0.293193	0.158959	0.0735511	0.0516462	0.0338595	0.0225209	0.0129459	0.0123458	0.012703	0.0136428
a35	0.161956	0.198045	0.193124	0.130698	0.11158	0.0738387	0.0464777	0.0245311	0.0229988	0.0195563	0.0171941
a76	0.146088	0.161443	0.150615	0.139567	0.13242	0.103313	0.0747656	0.0302949	0.0254178	0.0199283	0.0161481
a41	0.170449	0.164125	0.130524	0.127607	0.123203	0.105747	0.0828786	0.0358558	0.0283807	0.0182061	0.0130239
a94	0.18595	0.169484	0.136619	0.131453	0.124011	0.0987077	0.072757	0.0306149	0.0232352	0.0153599	0.0118073
a76	0.114342	0.128189	0.13768	0.153636	0.150621	0.118796	0.0893182	0.0383233	0.0290882	0.0201303	0.0198769
a14	0.0918268	0.102663	0.115321	0.14533	0.149005	0.130129	0.109597	0.0559736	0.0444254	0.02839	0.0273393
a41	0.111822	0.11525	0.12842	0.143688	0.14136	0.115269	0.0895302	0.0540929	0.0450917	0.0300308	0.0254453
a43	0.0721204	0.0839002	0.112155	0.145752	0.153219	0.135716	0.108079	0.0638421	0.0522275	0.0365202	0.0364699
a21	0.0430544	0.0589648	0.104085	0.146007	0.158239	0.149537	0.120409	0.0752296	0.0582328	0.0397865	0.0464561
a41	0.0422424	0.0434469	0.0723397	0.114069	0.130082	0.124742	0.106617	0.110528	0.105714	0.079592	0.0706276
a35	0.0365403	0.0382679	0.0571837	0.0992059	0.12559	0.131196	0.115663	0.116835	0.106856	0.0783646	0.0942972
a76	0.0417918	0.0424356	0.056322	0.0890093	0.113177	0.127459	0.114602	0.115871	0.108051	0.0841834	0.107098
a94	0.0293796	0.0299317	0.0454129	0.0801886	0.107613	0.120828	0.108822	0.123962	0.126563	0.109512	0.117787
a84	0.0247371	0.0274756	0.0468518	0.0725728	0.100109	0.123782	0.120474	0.1376	0.128949	0.0980791	0.119371
